Baarle	b ɛːᵈ l
Brasseel	b r a z iː l
Breeshey	b r iː ʒ ə
Jecrean	d ʒ e k r eː nʲ
Jecrean	d ʒ e k r əː nʲ
Jeheiney	d ʒ e h eː nʲ ə
Jeheiney	d ʒ e h əː nʲ ə
Jelhein	d ʒ e l eːᵈ nʲ
Jelhein	d ʒ e l iᵈ nʲ
Jelhein	d ʒ ə l əː nʲ
Jemayrt	d ʒ e m aː r t
Jemayrt	d ʒ e m əː r t
aashagh	ɛː ʒ a x
accrys	aː ɣ ə r ə s
ayd	ɛ d
baatey	b ɛː d ə
baatey	b ɛː ð ə
beggan	b e ɡ a n
beggan	b e ɣ a n
ben	b ɛᵈ n
benrein	b ɛᵈ n r eː nʲ
bio	b lʲ oː
bio	bʲ oː
blein	b lʲ eː nʲ
blein	b lʲ iᵈ n
cadley	k a d l ə
cadley	k aː l ə
caggey	k aː ɣ ə
cappan	k a v a n
casherick	k aː ʒ ə r ə kʲ
cass	k aː s
cloie	k l ɛ i
credjue	k r e j u
credjue	k r e ʒ u
cushag	k ʊ ʒ a ɡ
dhone	d̪ ɔː n
dreeym	d̪ r iː m
dreeym	d̪ r iᵇ m
duillag	d̪ o lʲ a ɡ
eddyr	ɛ ð ə r
eeast	j iː s
eeym	iː m
eeym	iːᵇ m
eisht	e ʃ
eisht	eː ʃ
faasaag	f ə z ɛː ɡ
fedjag	f a j a ɡ
fedjag	f ɛ d ʒ a ɡ
fedjag	f ɛ j a ɡ
fedjag	f ɛ ʒ a ɡ
fliaghey	f lʲ aː
fliaghey	f lʲ aː ɣ ə
fockle	f ɔː ɡ ə l
fys	f ɪ z
geay	ɡ iː
geayl	ɡ iː l
geayl	ɡ uː l
geayl	ɡ yː l
geayl	ɡ ɯː l
gioot	ɡʲ i u t
gioot	ɡʲ uː t
glion	lʲ ɔᵈ n
glion	ɡ lʲ ɔᵈ n
grian	ɡ r iᵈ n
lane	l ɛ d n
lane	l ɛː n
leigh	l ɛ i
lhiabbee	lʲ aː v i
lhiattee	lʲ aː ð i
lhong	l oᶢ ŋ
maidjey	m aː d ʒ ə
maidjey	m aː j ə
maidjey	m aː ʒ ə
mio	m lʲ oː
mio	mʲ oː
moddey	m ɔː ð ə
mooar	m u ə r
mooar	m uː
mooar	m uː r
mooar	m uː ə
nuy	n e i
nuy	n iː
nuy	n əː i
oie	iː
oie	ɛ i
peccah	p ɛ ɡ ə
pibbin	p ɪ v ɪ n
reddyn	r ɛ ð ə n
rollage	r ɔ l ɛː ɡ
rollage	r ə l ɛː ɡ
roost	r uː s
ruy	r ɛ i
seihll	s eː l
seihll	s iː l
seihll	s ɯː l
shassoo	ʃ aː s u
shassoo	ʃ aː z u
shassoo	ʃ aː ð u
shen	ʃ ɛ n
shen	ʃ ɛᵈ n
sheshaght	ʃ ɛ ʃ a x
sheshaght	ʃ ɛ ʒ a x
shiaght	ʃ aː x
skeddan	s k ɛ ð a n
slane	s l ɛᵈ n
sleityn	s l eː d ʒ ə n
toshiaght	t̪ ɔ j a x
toshiaght	t̪ ɔ ʒ a x
trome	t̪ r oː m
trome	t̪ r oᵇ m
ushag	o ʒ a ɡ
ushag	u ʒ a ɡ
vio	v lʲ oː
vio	vʲ oː
