Ա	ɑ
ԱԱ	ɑ ɑ
ԱԱԱԿ	ɑ ɑ ɑ k
ԱԱԲ	ɑ ɑ b ə
ԱԱԳ	ɑ ɑ ɡ ə
ԱԱԳԽ	ɑ ɑ ɡ ə χ ə
ԱԱԻ	ɑ ɑ j i
ԱԱԽ	ɑ ɑ χ ə
ԱԱԾ	ɑ ɑ t͡s ə
ԱԱԿ	ɑ ɑ k ə
ԱԱՀ	ɑ ɑ h ə
ԱԱՀՀԻ	ɑ ɑ h ə h ə i
ԱԱՆ	ɑ ɑ n ə
ԱԱՊ	ɑ ɑ p ə
ԱԱՊԲ	ɑ ɑ p ə b ə
ԱԱՊՎ	ɑ ɑ p ə v ə
ԱԱՌ	ɑ ɑ r ə
ԱԳՆ	ɑ ɡ ə n ə
ԱԶԲ	ɑ z ə b ə
ԱԹՍ	ɑ tʰ ə s ə
ԱԺ	ɑ ʒ ə
ԱՄՆ	ɑ m ə n ə
ԱՊՀ	ɑ p ə h ə
Աբադան	ɑ b ɑ d ɑ n
Աբական	ɑ b ɑ k ɑ n
Աբայ	ɑ b ɑ j
Աբաջյան	ɑ b ɑ d͡ʒ j ɑ n
Աբաս	ɑ b ɑ s
Աբասթուման	ɑ b ɑ s tʰ u m ɑ n
Աբարան	ɑ b ɑ ɾ ɑ n
Աբգար	ɑ b ɡ ɑ ɾ
Աբգարյան	ɑ b ɡ ɑ ɾ j ɑ n
Աբիջան	ɑ b i d͡ʒ ɑ n
Աբխազիա	ɑ pʰ χ ɑ z i j ɑ
Աբուջա	ɑ b u d͡ʒ ɑ
Աբրահամ	ɑ b ɾ ɑ h ɑ m
Աբրահամյան	ɑ b ɾ ɑ h ɑ m j ɑ n
Աբրամ	ɑ b ɾ ɑ m
Աբքայք	ɑ pʰ kʰ ɑ j kʰ
Ագա	ɑ ɡ ɑ
Ագանյա	ɑ ɡ ɑ n j ɑ
Ագապի	ɑ ɡ ɑ p i
Ագարակ	ɑ ɡ ɑ ɾ ɑ k
Ագարտալա	ɑ ɡ ɑ ɾ t ɑ l ɑ
Ագրիպպաս	ɑ ɡ ɾ i pː ɑ s
Ադամ	ɑ d ɑ m
Ադամյան	ɑ d ɑ m j ɑ n
Ադանա	ɑ d ɑ n ɑ
Ազատ	ɑ z ɑ t
Ազնիվ	ɑ z n i v
Աթանաս	ɑ tʰ ɑ n ɑ s
Աժդահակ	ɑ ʒ d ɑ h ɑ k
Աիդա	ɑ j i d ɑ
Ալադին	ɑ l ɑ d i n
Ալազան	ɑ l ɑ z ɑ n
Ալանք	ɑ l ɑ ŋ kʰ
Ալբանիա	ɑ l b ɑ n i j ɑ
Ալբարյան	ɑ l b ɑ ɾ j ɑ n
Ալբինա	ɑ l b i n ɑ
Ալթըբարմագյան	ɑ l tʰ ə b ɑ ɾ m ɑ ɡ j ɑ n
Ալթըբարմաքյան	ɑ l tʰ ə b ɑ ɾ m ɑ kʰ j ɑ n
Ալթըփարմագյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ ɡ j ɑ n
Ալթըփարմաքյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ n
Ալթիպարմաղյան	ɑ l tʰ i p ɑ ɾ m ɑ ʁ j ɑ n
Ալժիր	ɑ l ʒ i ɾ
Ալինա	ɑ l i n ɑ
Ալլա	ɑ lː ɑ
Ալլահ	ɑ lː ɑ h
Ալկման	ɑ l k m ɑ n
Ալմաթի	ɑ l m ɑ tʰ i
Ալյասկա	ɑ l j ɑ s k ɑ
Ալջունիդ	ɑ l d͡ʒ u n i d
Ախալցխա	ɑ χ ɑ l t͡sʰ ə χ ɑ
Ախալքալաք	ɑ χ ɑ l kʰ ɑ l ɑ kʰ
Ախալքալաքի	ɑ χ ɑ l kʰ ɑ l ɑ kʰ i
Ախուրյան	ɑ χ u ɾ j ɑ n
Ահրիման	ɑ h ɾ i m ɑ n
Աղայան	ɑ ʁ ɑ j ɑ n
Աղաջանյան	ɑ ʁ ɑ d͡ʒ ɑ n j ɑ n
Աղասի	ɑ ʁ ɑ s i
Աղդամ	ɑ ʁ d ɑ m
Աղձնիք	ɑ ʁ d͡z n i kʰ
Աղջայան	ɑ ʁ d͡ʒ ɑ j ɑ n
Աղվան	ɑ ʁ v ɑ n
Աղվանք	ɑ ʁ v ɑ ŋ kʰ
Աճառյան	ɑ t͡ʃ ɑ r j ɑ n
Ամալյա	ɑ m ɑ l j ɑ
Ամբակում	ɑ m b ɑ k u m
Ամիրան	ɑ m i ɾ ɑ n
Ամիրանյան	ɑ m i ɾ ɑ n j ɑ n
Ամիրխանյան	ɑ m i ɾ χ ɑ n j ɑ n
Ամիրյան	ɑ m i ɾ j ɑ n
Ամման	ɑ mː ɑ n
Ամուդարյա	ɑ m u d ɑ ɾ j ɑ
Ամուր	ɑ m u ɾ
Ամուրի	ɑ m u ɾ i
Այուբյան	ɑ j u b j ɑ n
Այվազյան	ɑ j v ɑ z j ɑ n
Այրարատ	ɑ j ɾ ɑ ɾ ɑ t
Անադիր	ɑ n ɑ d i ɾ
Անակ	ɑ n ɑ k
Անահիտ	ɑ n ɑ h i t
Անանիա	ɑ n ɑ n i j ɑ
Անաստաս	ɑ n ɑ s t ɑ s
Անգլիա	ɑ ŋ ɡ l i j ɑ
Անդրանիկ	ɑ n d ɾ ɑ n i k
Անդրբայկալ	ɑ n d ə ɾ b ɑ j k ɑ l
Անդրիասյան	ɑ n d ɾ i j ɑ s j ɑ n
Անթառամ	ɑ n tʰ ɑ r ɑ m
Անժու	ɑ n ʒ u
Անի	ɑ n i
Անկարա	ɑ ŋ k ɑ ɾ ɑ
Աննա	ɑ nː ɑ
Անուշ	ɑ n u ʃ
Անուշավան	ɑ n u ʃ ɑ v ɑ n
Անտանանարիվու	ɑ n t ɑ n ɑ n ɑ ɾ i v u
Անտարկտիկա	ɑ n t ɑ ɾ k t i k ɑ
Աշգաբատ	ɑ ʃ ɡ ɑ b ɑ t
Աշխաբադ	ɑ ʃ χ ɑ b ɑ d
Աշտարակ	ɑ ʃ t ɑ ɾ ɑ k
Աուլիս	ɑ u l i s
Ապարան	ɑ p ɑ ɾ ɑ n
Ապիրատ	ɑ p i ɾ ɑ t
Ապուլիա	ɑ p u l i j ɑ
Աջարիա	ɑ d͡ʒ ɑ ɾ i j ɑ
Առինջ	ɑ r i n d͡ʒ
Առյուծ	ɑ r j u t͡s
Առուշանյան	ɑ r u ʃ ɑ n j ɑ n
Առտիալ	ɑ r t i j ɑ l
Ասատուր	ɑ s ɑ t u ɾ
Ասատուրյան	ɑ s ɑ t u ɾ j ɑ n
Ասատրյան	ɑ s ɑ t ə ɾ j ɑ n
Ասատրյան	ɑ s ɑ t ɾ j ɑ n
Ասիա	ɑ s i j ɑ
Ասլանճյան	ɑ s l ɑ n t͡ʃ j ɑ n
Ասլանյան	ɑ s l ɑ n j ɑ n
Ասմարա	ɑ s m ɑ ɾ ɑ
Ասպահան	ɑ s p ɑ h ɑ n
Ասսամ	ɑ sː ɑ m
Աստանա	ɑ s t ɑ n ɑ
Աստղիկ	ɑ s t ʁ i k
Աստվածատուր	ɑ s t v ɑ t͡s ɑ t u ɾ
Աստրախան	ɑ s t ɾ ɑ χ ɑ n
Ասքանազ	ɑ s kʰ ɑ n ɑ z
Ավագ	ɑ v ɑ kʰ
Ավագյան	ɑ v ɑ kʰ j ɑ n
Ավանիսյան	ɑ v ɑ n i s j ɑ n
Ավգիաս	ɑ v ɡ i j ɑ s
Ավգուստ	ɑ v ɡ u s t
Ավլիս	ɑ v l i s
Ավստրալիա	ɑ f s t ɾ ɑ l i j ɑ
Ավստրիա	ɑ f s t ɾ i j ɑ
Ատալիա	ɑ t ɑ l i j ɑ
Ատրպատական	ɑ t ə ɾ p ɑ t ɑ k ɑ n
Արա	ɑ ɾ ɑ
Արաբաջյան	ɑ ɾ ɑ b ɑ d͡ʒ j ɑ n
Արաբիա	ɑ ɾ ɑ b i j ɑ
Արագած	ɑ ɾ ɑ ɡ ɑ t͡s
Արախա	ɑ ɾ ɑ χ ɑ
Արածանի	ɑ ɾ ɑ t͡s ɑ n i
Արամ	ɑ ɾ ɑ m
Արամազդ	ɑ ɾ ɑ m ɑ z d
Արամայիս	ɑ ɾ ɑ m ɑ j i s
Արամանյակ	ɑ ɾ ɑ m ɑ n j ɑ k
Արամյան	ɑ ɾ ɑ m j ɑ n
Արայիկ	ɑ ɾ ɑ j i k
Արապաճյան	ɑ ɾ ɑ p ɑ t͡ʃ j ɑ n
Արարատ	ɑ ɾ ɑ ɾ ɑ t
Արաքս	ɑ ɾ ɑ kʰ s
Արաքսի	ɑ ɾ ɑ kʰ s i
Արգավանդ	ɑ ɾ ɡ ɑ v ɑ n d
Արգիշտի	ɑ ɾ ɡ i ʃ t i
Արզումանյան	ɑ ɾ z u m ɑ n j ɑ n
Արթիկ	ɑ ɾ tʰ i k
Արթունյան	ɑ ɾ tʰ u n j ɑ n
Արթուր	ɑ ɾ tʰ u ɾ
Արժանթին	ɑ ɾ ʒ ɑ n tʰ i n
