ئا	a
ئائىت	ʔ ɑ ʔ i t
ئائىلە	ʔ ɑ ʔ i l ɛ
ئابلىز	ʔ ɑ b l i z
ئابنۇس	ʔ ɑ b n u s
ئات	ɑ t
ئاتا	ʔ ɑ t ɑ
ئاتمىش	ɑ t m i ʃ
ئاجايىپ	ʔ ɑ d͡ʒ ɑ j i p
ئاجىز	ʔ ɑ d͡ʒ i z
ئاخشام	ʔ ɑ χ ʃ ɑ m
ئاخىرەت	ʔ ɑ χ i r ɛ t
ئادالەت	ʔ ɑ d ɑ l ɛ t
ئادرىس	ʔ ɑ d r i s
ئادىل	ʔ ɑ d i l
ئادۋوكات	ʔ ɑ d w o k ɑ t
ئادەت	ʔ ɑ d ɛ t
ئادەم	ɑ d æ m
ئارزۇ	ʔ ɑ r z u
ئارسىن	ʔ ɑ r s i n
ئارغىماق	ʔ ɑ r ʁ i m ɑ q
ئارغۇن	ʔ ɑ r ʁ u n
ئارقا	ʔ ɑ r q ɑ
ئارماغان	ʔ ɑ r m ɑ ʁ ɑ n
ئارىفمېتىكا	ʔ ɑ r i f m e t i k ɑ
ئارگون	ʔ ɑ r ɡ o n
ئاز	ʔ ɑ z
ئازات	ʔ ɑ z ɑ t
ئازاپ	ʔ ɑ z ɑ p
ئازوت	ʔ ɑ z o t
ئاسان	ʔ ɑ s ɑ n
ئاسايىش	ʔ ɑ s ɑ j i ʃ
ئاستاتىن	ʔ ɑ s t ɑ t i n
ئاسفالت	ʔ ɑ s f ɑ l t
ئاسلان	ʔ ɑ s l ɑ n
ئاسمان	ɑ s m ɑ n
ئاسى	ʔ ɑ s i
ئاسىيا	ʔ ɑ s i j ɑ
ئاش	ʔ ɑ ʃ
ئاشيان	ʔ ɑ ʃ j ɑ n
ئاشپەز	ʔ ɑ ʃ p ɛ z
ئاغ	ʔ ɑ ʁ
ئاغرىق	ʔ ɑ ʁ r i q
ئافغان	ʔ ɑ f ʁ ɑ n
ئاق	ɑ q
ئاقرابا	ʔ ɑ q r ɑ b ɑ
ئاقراپ	ʔ ɑ q r ɑ p
ئاققۇ	ʔ ɑ q q u
ئاقىۋەت	ʔ ɑ q i w ɛ t
ئاكا	ʔ ɑ k ɑ
ئاكتىنىي	ʔ ɑ k t i n i j
ئالا	ʔ ɑ l ɑ
ئالاقە	ʔ ɑ l ɑ q ɛ
ئالاڭ	ʔ ɑ l ɑ ŋ
ئالتىنچى	ɑ l t i n t ʃ i
ئالتە	a l t æ
ئالتە	a l t ɛ
ئالتە	ɑ l t æ
ئالتە	ɑ l t ɛ
ئالقىش	ʔ ɑ l q i ʃ
ئالما	ɑ l m ɑ
ئالماس	ʔ ɑ l m ɑ s
ئالىم	ʔ ɑ l i m
ئاليۇمىن	ʔ ɑ l j u m i n
ئالپ	ʔ ɑ l p
ئالگېبرا	ʔ ɑ l ɡ e b r ɑ
ئالەت	ʔ ɑ l ɛ t
ئامال	ʔ ɑ m ɑ l
ئامانەت	ʔ ɑ m ɑ n ɛ t
ئامراق	ʔ ɑ m r ɑ q
ئامېرىتسىي	ʔ ɑ m e r i t s i j
ئانا	ɑ n ɑ
ئاناتومىيە	ʔ ɑ n ɑ t o m i j ɛ
ئانار	ʔ ɑ n ɑ r
ئانت	ʔ ɑ n t
ئاي	ʔ ɑ j
ئاياز	ʔ ɑ j ɑ z
ئاياق	ʔ ɑ j ɑ q
ئايران	ʔ ɑ j r ɑ n
ئايغىر	ʔ ɑ j ʁ i r
ئايماق	ʔ ɑ j m ɑ q
ئاپتوموبىل	ʔ ɑ p t o m o b i l
ئاپتوۋۇز	ʔ ɑ p t o w u z
ئاپرېل	ʔ ɑ p r e l
ئاپىرىن	ʔ ɑ p i r i n
ئاپىيەت	ʔ ɑ p i j ɛ t
ئاپەت	ʔ ɑ p ɛ t
ئاچا	ʔ ɑ t͡ʃ ɑ
ئاھالە	ʔ ɑ h ɑ l ɛ
ئاھاڭ	ʔ ɑ h ɑ ŋ
ئاۋارە	ʔ ɑ w ɑ r ɛ
ئاۋاز	ʔ ɑ w ɑ z
ئاۋام	ʔ ɑ w ɑ m
ئاۋغۇست	ʔ ɑ w ʁ u s t
ئاۋۇچ	ʔ ɑ w u t͡ʃ
ئو	o
ئوت	ʔ o t
ئوتتۇز	o t t u z
ئوتۇن	ʔ o t u n
ئوخشىماق	ʔ o χ ʃ i m ɑ q
ئورتاق	ʔ o r t ɑ q
ئوغا	ʔ o ʁ ɑ
ئوغرى	ʔ o ʁ r i
ئوغۇز	ʔ o ʁ u z
ئوغۇل	o ʁ u l
ئوق	ʔ o q
ئوقۇماق	ʔ o q u m ɑ q
ئون	o n
ئون	ɔ n
ئونىنچى	o n i n t ʃ i
ئويۇن	ʔ o j u n
ئى	i
ئىبادەت	ʔ i b ɑ d ɛ t
ئىبادەتخانا	ʔ i b ɑ d ɛ t χ ɑ n ɑ
ئىبارە	ʔ i b ɑ r ɛ
ئىبراھىم	ʔ i b r ɑ h i m
ئىبرەت	ʔ i b r ɛ t
ئىبلىس	ʔ i b l i s
ئىت	i t
ئىتائەت	ʔ i t ɑ ʔ ɛ t
ئىتترىي	ʔ i t t r i j
ئىتتېربىي	ʔ i t t e r b i j
ئىجات	ʔ i d͡ʒ ɑ t
ئىجتىمائىي	ʔ i d͡ʒ t i m ɑ ʔ i j
ئىرادە	ʔ i r ɑ d ɛ
ئىرق	ʔ i r q
ئىرىدىي	ʔ i r i d i j
ئىزاھ	ʔ i z ɑ h
ئىس	ʔ i s
ئىستىراھەت	ʔ i s t i r ɑ h ɛ t
ئىستىسنا	ʔ i s t i s n ɑ
ئىستىقبال	ʔ i s t i q b ɑ l
ئىستىقلال	ʔ i s t i q l ɑ l
ئىستىلا	ʔ i s t i l ɑ
ئىستەك	ʔ i s t ɛ k
ئىسراپ	ʔ i s r ɑ p
ئىسلاند	ʔ i s l ɑ n d
ئىسيان	ʔ i s j ɑ n
ئىسيانچى	ʔ i s j ɑ n t͡ʃ i
ئىسپات	ʔ i s p ɑ t
ئىش	i ʃ
ئىشارەت	ʔ i ʃ ɑ r ɛ t
ئىشغال	ʔ i ʃ ʁ ɑ l
ئىشق	ʔ i ʃ q
ئىشىتمەك	ʔ i ʃ i t m ɛ k
ئىشچى	i ʃ t ʃ i
ئىشەك	ʔ i ʃ ɛ k
ئىقبال	ʔ i q b ɑ l
ئىقتىدار	ʔ i q t i d ɑ r
ئىقتىسات	ʔ i q t i s ɑ t
ئىقلىم	ʔ i q l i m
ئىككى	i kː i
ئىككىنچى	i kː i n t͡ʃ i
ئىلاج	ʔ i l ɑ d͡ʒ
ئىلاھ	ʔ i l ɑ h
ئىلتىپات	ʔ i l t i p ɑ t
ئىلىم	ʔ i l i m
ئىلھام	ʔ i l h ɑ m
ئىم	ʔ i m
ئىمكان	ʔ i m k ɑ n
ئىن	ʔ i n
ئىنتىزام	ʔ i n t i z ɑ m
ئىنتىقام	ʔ i n t i q ɑ m
ئىنجىل	ʔ i n d͡ʒ i l
ئىندىي	ʔ i n d i j
ئىنسانىيەت	ʔ i n s ɑ n i j ɛ t
ئىنساپ	ʔ i n s ɑ p
ئىنكار	ʔ i n k ɑ r
ئىنى	ʔ i n i
ئىنەك	i n æ k
ئىيۇل	ʔ i j u l
ئىيۇن	ʔ i j u n
ئىپادە	ʔ i p ɑ d ɛ
ئىپتار	ʔ i p t ɑ r
ئىپپەت	ʔ i p p ɛ t
ئىڭەك	ʔ i ŋ ɛ k
ئىگە	ʔ i ɡ ɛ
ئىگەر	ʔ i ɡ ɛ r
ئۆ	ø
ئۆت	ʔ ø t
ئۆز	ʔ ø z
ئۆستەڭ	ø s t ɛ ŋ
ئۆشكە	ʔ ø ʃ k ɛ
ئۆكتەبر	ʔ ø k t ɛ b r
ئۆكۈز	ʔ ø k y z
ئۆلۈم	ʔ ø l y m
ئۆي	ø j
ئۆيلەر	ø j l æ r
ئۆيلەر	ø j l æː
ئۆپكە	ʔ ø p k ɛ
ئۆچ	ʔ ø t͡ʃ
ئۆچكە	ʔ ø t͡ʃ k ɛ
ئۆگەي	ʔ ø ɡ ɛ j
ئۇ	u
ئۇتۇق	ʔ u t u q
ئۇجرەت	ʔ u d͡ʒ r ɛ t
ئۇد	ʔ u d
ئۇرپ	ʔ u r p
ئۇرۇش	ʔ u r u ʃ
ئۇرۇق	ʔ u r u q
ئۇزۇن	ʔ u z u n
ئۇستا	ʔ u s t ɑ
ئۇستات	ʔ u s t ɑ t
ئۇستۇرا	ʔ u s t u r ɑ
ئۇسلۇپ	ʔ u s l u p
ئۇلار	u l ɑ r
ئۇلۇغ	ʔ u l u ʁ
ئۇمۇرتقا	ʔ u m u r t q ɑ
ئۇن	ʔ u n
ئۇنسۇر	ʔ u n s u r
ئۇنناپ	ʔ u n n ɑ p
ئۇنى	u n i
ئۇنىڭغا	u n i ŋ ʁ ɑ
ئۇنىۋېرسىتېت	ʔ u n i w e r s i t e t
ئۇنىۋېرسىتېتى	ʔ u n i w e r s i t e t i
ئۇنۋان	ʔ u n w ɑ n
ئۇي	ʔ u j
ئۇيغۇر	ʔ u j ʁ u r
ئۇيغۇرچە	u j ʁ u r t͡ʃ ɛ
ئۇيقۇ	ʔ u j q u
ئۇپۇق	ʔ u p u q
ئۇۋا	ʔ u w ɑ
ئۇۋاق	ʔ u w ɑ q
ئۈ	y
ئۈزۈك	ʔ y z y k
ئۈزۈم	ʔ y z y m
ئۈزەڭگە	ʔ y z ɛ ŋ ɡ ɛ
ئۈلپەت	ʔ y l p ɛ t
ئۈچ	ʔ y t͡ʃ
ئۈچىنچى	y t ʃ i n t ʃ i
ئې	e
ئېتىراز	ʔ e t i r ɑ z
ئېتىراپ	ʔ e t i r ɑ p
ئېتىقات	ʔ e t i q ɑ t
ئېتىقاد	ʔ e t i q ɑ d
ئېتىۋار	ʔ e t i w ɑ r
ئېرا	ʔ e r ɑ
ئېربىي	ʔ e r b i j
ئېرىق	ʔ e r i q
ئېرىمەك	ʔ e r i m ɛ k
ئېغىر	ʔ e ʁ i r
ئېغىرلىق	ʔ e ʁ i r l i q
ئېغىز	ʔ e ʁ i z
ئېغىل	ʔ e ʁ i l
ئېكران	ʔ e k r ɑ n
ئېكىن	ʔ e k i n
ئېكۋاتور	ʔ e k w ɑ t o r
ئېلان	ʔ e l ɑ n
ئېلىپ	ʔ e l i p
ئېلىپبە	ʔ e l i p b ɛ
ئېلېمېنت	ʔ e l e m e n t
ئېنقىلاب	ʔ e n q i l ɑ b
ئېنېرگىيە	ʔ e n e r ɡ i j ɛ
ئېينشتېينىي	ʔ e j n ʃ t e j n i j
ئېيىق	e j i q
ئېپىك	ʔ e p i k
ئېھاتە	ʔ e h ɑ t ɛ
ئېھتىرام	ʔ e h t i r ɑ m
ئېھتىمال	ʔ e h t i m ɑ l
ئېھتىيات	ʔ e h t i j ɑ t
ئېھسان	ʔ e h s ɑ n
ئە	ɛ
ئەتىۋار	ʔ ɛ t i w ɑ r
ئەزان	ʔ ɛ z ɑ n
ئەسل	ʔ ɛ s l
ئەل	æ l
ئەللىك	æ l l i k̚
ئەللىك	ɛ l l i k̚
ئەپسۇس	æ p s u s
ئەپەندى	ʔ ɛ p ɛ n d i
ئەڭ	ʔ ɛ ŋ
ئەگەر	ɛ ɡ ɛ r
ئەھمەد	ʔ ɛ h m ɛ d
ئەھەد	ʔ ɛ h ɛ d
ب	b
ب	b e
باتارى	b ɑ t ɑ r i
باتراق	b ɑ t r ɑ q
باتۇر	b ɑ t u r
باج	b ɑ d͡ʒ
بادام	b ɑ d ɑ m
بار	b ɑ r
بارماق	b ɑ r m ɑ q
بارىي	b ɑ r i j
بازار	b ɑ z ɑː
