ং	ŋ
অঁকোল	ɔ̃ k o l
অংকন	ɔ ŋ k ɔ n
অংগুস্তানা	ɔ ŋ ɡ u s t̪ a n aˑ
অংশ	ɔ ŋ ʃ oˑ
অংশক	ɔ ŋ ʃ ɔ k
অংশমান	ɔ ŋ ʃ ɔ m a n
অংশল	ɔ ŋ ʃ ɔ l
অংশাংশি	ɔ ŋ ʃ a ŋ ʃ iˑ
অংশাবতার	ɔ ŋ ʃ a b o t̪ a ɾ
অংশু	ɔ ŋ ʃ uˑ
অংশুক	ɔ ŋ ʃ u k
অংশুপট্ট	ɔ ŋ ʃ u p ɔ ʈː oˑ
অংশুল	ɔ ŋ ʃ u l
অংশুশিরা	ɔ ŋ ʃ u ʃ i ɾ aˑ
অংহ	ɔ ŋ h oˑ
অই	o i̯
অওরত	ɔ o̯ ɾ ɔ t̪
অওরত	ɔ u ɾ ɔ t̪
অওরত	ɔ ʊ ɾ ɔ t̪
অওসত	ɔ o̯ ʃ ɔ t̪
অওসৎ	ɔ o̯ s ɔ t̪
অওসৎ	ɔ o̯ ʃ ɔ t̪
অকচ	ɔ k ɔ t͡ʃ
অকচা	ɔ k ɔ t͡ʃ aˑ
অকঠোর	ɔ k ɔ ʈʰ o ɾ
অকথা	ɔ k ɔ t̪ʰ aˑ
অকপটচিত্তে	ɔ k ɔ p ɔ ʈ t͡ʃ i t̪ː eˑ
অকমনীয়	ɔ k ɔ m o n i̯ oˑ
অকম্পিত	ɔ k ɔ m p i t̪ oˑ
অকরণ	ɔ k ɾ o n
অকরুণ	ɔ k o ɾ u n
অকর্ণ	ɔ k ɔ ɾ n oˑ
অকর্তা	ɔ k ɔ ɾ t̪ aˑ
অকর্মণ্য	ɔ k ɔ ɾ m ɔ nː oˑ
অকর্মা	ɔ k ɔ ɾ m aˑ
অকর্ষিত	ɔ k ɔ ɾ ʃ i t̪ oˑ
অকল	ɔ k ɔ l
অকলঙ্ক	ɔ k ɔ l o ŋ k oˑ
অকলঙ্কিত	ɔ k ɔ l o ŋ k i t̪ oˑ
অকলঙ্কী	ɔ k ɔ l o ŋ k iˑ
অকলমন্দ	ɔ k o l m ɔ n d̪
অকলমন্দ	ɔ k o l m ɔ n d̪ oˑ
অকল্ক	ɔ k ɔ l k ɔˑ
অকল্কা	ɔ k ɔ l k aˑ
অকল্পনা	ɔ k ɔ l p ɔ n aˑ
অকল্পনীয়	ɔ k ɔ l p o n i̯ oˑ
অকল্মষ	ɔ k ɔ l m ɔ ʃ
অকল্যাণ	ɔ k ɔ l l a n
অকল্যাণকর	ɔ k ɔ lː a n k ɔ ɾ
অকল্যাণকারিণী	ɔ k ɔ lː a n k a ɾ i n iˑ
অকস্মাৎ	ɔ k ɔ ʃː a t̪
অকাজ	ɔ k a d͡ʒ
অকাট	ɔ k a ʈ
অকাট্য	ɔ k a ʈː oˑ
অকাঠা	ɔ k a ʈʰ aˑ
অকাণ্ড	ɔ k a n ɖ ɔˑ
