ammə	a m m æ
amı	a m ɨ
aya	a j a
barmaq	b a ɾ m a q
baş	b a ʃ
boğarsaq	b o ʁ a ɾ s a q
boğarsuq	b o ʁ a ɾ s ʊ q
boğaz	b o ʁ a z
boğız	b o ʁ ɨ z
burın	b u ɾ ɨ n
bâba	b aː b a
bâbacân	b aː b a d͡ʒ aː n
bâcanaq	b aː d͡ʒ a n a q
bâcı	b aː d͡ʒ ɨ
bâldız	b aː l d ɨ z
bêl	b eː l
bîbi	b iː b i
bîel	b iː e̯ l
bôyın	b oː j ɨ n
böğərçük	b ø ʝ æ ɾ t͡ʃ y k
bûn	b uː n
bürçək	b y ɾ t͡ʃ æ k
bırmaq	b ɨ ɾ m a q
bədə	b æ d æ
bəg	b æ ɡ
bənd	b æ n d
bərçük	b æ ɾ t͡ʃ y k
bəççə	b æ t͡ʃː æ
ciğər	d͡ʒ i ʝ æ ɾ
cârı	d͡ʒ aː ɾ ɨ
dadâş	d a d aː ʃ
damâğ	d a m aː ʁ
dâmâd	d aː m aː d
dâyı	d aː j ɨ
dö̂ş	d øː ʃ
dədə	d æ d æ
fokul	f o k u l
hadaq	h a d a q
havû	h a v uː
hâlın	h aː l ɨ n
hâm	h aː m
həmbâcanaq	h æ m b aː d͡ʒ a n a q
həmpâça	h æ m p aː t͡ʃ a
həmpâçə	h æ m p aː t͡ʃ æ
hər	h æ ɾ
ini	i n i
ispurz	i s p u ɾ z
ispərz	i s p æ ɾ z
kindük	k i n d y k
kirpik	k i ɾ p i k
kişi	k i ʃ i
kus	k u s
kâkul	k aː k u l
kâl	k aː l
kâm	k aː m
kîr	k iː ɾ
kôka	k oː k a
köt	k ø t
köyüs	k ø j y s
köz	k ø z
küdən	k y d æ n
küdəyi	k y d æ j i
küni	k y n i
kü̂ös	k yː ø̯ s
kəf	k æ f
kəlin	k æ l ɪ n
lâla	l aː l a
ləb	l æ b
ləfç	l æ f t͡ʃ
muja	m u ʒ a
mujə	m u ʒ æ
murç	m u ɾ t͡ʃ
muç	m u t͡ʃ
məccə	m æ d͡ʒː æ
mə̂mək	m æː m æ k
nâf	n aː f
nəbîrə	n æ b iː ɾ æ
nənə	n æ n æ
nənəcân	n æ n æ d͡ʒ aː n
nətîcə	n æ t iː d͡ʒ æ
nəvə	n æ v æ
oğul	o ʁ u l
pêşânı	p eː ʃ aː n ɨ
qarın	q a ɾ ɨ n
qayınbâba	q a j ɨ n b aː b a
qayınnənə	q a j ɨ n n æ n æ
qol	q o l
qulaq	q u l a q
qulva	q u l v a
qulvə	q u l v æ
qâdın	q aː d ɨ n
qâpaq	q aː p a q
qâş	q aː ʃ
qıl	q ɨ l
qıız	q ɨː z
rôda	ɾ oː d a
rôdə	ɾ oː d æ
rûda	ɾ uː d a
rûdə	ɾ uː d æ
saqqal	s a qː a l
saç	s a t͡ʃ
sibîl	s i b iː l
sik	s i k
sipərz	s i p æ ɾ z
siñli	s i ɲ l i
sum	s u m
sâq	s aː q
süm	s y m
səksənminci	s æ k s æ n m i n d ʒ i
səq	s æ q
səqqəl	s æ qː æ l
səysənminci	s æ j s æ n m i n d ʒ i
tahâl	t a h aː l
til	t i l
toy	t o j
tâlaq	t aː l a q
tâta	t aː t a
tîrsək	t iː ɾ s æ k
tîş	t iː ʃ
tö̂l	t øː l
tö̂ş	t øː ʃ
tü̂k	t yː k
tü̂öl	t yː ø̯ l
tü̂öş	t yː ø̯ ʃ
tılâq	t ɨ l aː q
tırnaq	t ɨ ɾ n a q
təygûş	t æ j ɡ uː ʃ
vək	v æ k
xabû	χ a b uː
xisîra	χ i s iː ɾ a
xâla	χ aː l a
xâlə	χ aː l æ
xârşuvər	χ aː ɾ ʃ u v æ ɾ
yâya	j aː j a
yâyə	j aː j æ
yîetmişminci	y i e̯ t m i ʃ m i n d ʒ i
yü̂zminci	j yː z m i n d ʒ i
yətmişminci	y æ t m i ʃ m i n d ʒ i
zilf	z i l f
zulf	z u l f
ârənc	aː ɾ æ n d͡ʒ
âğız	aː ʁ ɨ z
çuluk	t͡ʃ u l u k
çâna	t͡ʃ aː n a
çânə	t͡ʃ aː n a
çârt	t͡ʃ aː ɾ t
çü̂ç	t͡ʃ yː t͡ʃ
çənə	t͡ʃ æ n æ
şəst	ʃ æ s t
əbə	æ b æ
əkə	æ k æ
əkəçi	æ k æ t͡ʃ i
əl	æ l
ərin	æ ɾ i n
ə̂tə	æː t æ
