サス	s a s u
あいこくしん	a i k o k ɯ̥ ɕ i ɴ
あー	aː
しょや	ɕ o j a
そや	s o j a
どういたしまして	d o u i t a s i m a s i t ɛ
コルス＝デュ＝シュドけん	k o ɾ ɯ s ɯ dʲ ɯ ɕ ɯ d o k e ɴ
ニューカレドニア	nʲ ɯː k a ɾ e̞ d o̞ nʲ i a
ブルターニュ	b ɯ ɾ ɯ t aː nʲ ɯ
マルセイユ	m a ɾ ɯ s e i j ɯ
マルティニーク	m a ɾ ɯ t i nʲ iː k ɯ
いちう	i t ɕ i u
ばんりょく	b a n r y o k u
ばんりょくそうちゅうこういってん	b a n r y o k u s oː c h uː k oː i t t e ɴ
みくだりはん	m i k u d a r i h a n
さんみ	s a m m i
ふざいしゃとうひょう	ɸ u z a i ɕ a t oː ç j oː
こんや	k o ɴ j a
こんにった	k o n n i t t a
はっこう	h a k k oː
はっこういちう	h a k k oː i t ɕ i u
はっこう	h a k k oː
しゅつがん	s j u t s u ɡ a ɴ
ぶんこうとくせい	b u ɴ k o o t o k u s e e
ういざん	u i z a n
おはこ	o h a k o
せんぼん	s e ɴ b o ɴ
こうこう	k oː k oː
こうがいおんか	k oː ɡ a i o n k a
こもんじょ	k o m o n d ʑ o
みぎよこがき	m i ɡ i y o k o ɡ a k i
みょうでん	m j oː d e n
さくり	s a k u r i
さくる	s a k u r u
さえずり	s a e z u r i
ほうしょう	h o o s j o o
きけい	k i k e i
あたけぶね	a t a k e b u n e
かちょう	k a t͡ɕ o o
やたい	j a t a i
やたいみせ	j a t a i m i s e
とんじき	t o n d ʑ i k i
はんぷ	h a m p u
きか	k i k a
じょうおんかくゆうごう	d͡ʑ o o ɴ k a k u j u u ɡ o o
へいおん	h e i o n
へいおん	h eː o n
ゆかしい	j u k a ɕ iː
ひきまゆ	h i k i m a j u
ぎょい	ɡ j o̞ i
せいこうい	s e i k oː i
ごにゅう	ɡ o nʲ uː
かんかく	k a n k a k u
はいずみ	h a i z u m i
ほうにょうはん	h oː n j oː h a n
つむじ	t s u m u d ʑ i
ぞくちょう	z o k u t͡ɕ o o
かきかえ	k a k i k a e
ゆうせいおんか	j uː s e i o n k a
ゆうせいおんか	j uː s eː o n k a
あさめし	a̠ s a̠ m e̞ ɕ i
あさめしまえ	a̠ s a̠ m e̞ ɕ i m a̠ e̞
きじつ	k i d ʑ i t s u
あずまじ	a z u m a d ʑ i
かくゆうごう	k a k u j u u ɡ o o
たくあん	t a k u a n
こんこう	k o n k oː
こんにゅう	k o ɴ n j uː
まんだん	m a n d a n
げきこう	ɡ e k i k oː
げきおん	ɡ e k i o n
こみず	k o m i z u
のうおん	n oː o n
さんご	s a ɴ ɡ o
しっそう	s i s s o o
ますら	m a s u r a
まな	m a n a
しめきり	ɕ i m e k i r i
そうし	s oː ɕ i
けつろ	k e t s ɯ r o
こうわ	k oː w a
くびいす	k u b i i s u
つうやく	t͡s u u j a k u
かてい	k a t eː
いぶん	i b u n
さといも	s a t o i m o
へいそくおん	h e i s o k u o n
へいそくおん	h eː s o k u o n
へいさおん	h e i s a o n
へいさおん	h eː s a o n
おんみつ	o ɴ m i t s u
おたけび	o t a k e b i
がみ	ɡ a m i
やしない	j a ɕ i n a i
ぎょるいがくしゃ	ɡ j o ɽ u i ɡ a k u s j a
すしづめ	s u ɕ i z u m e
