aa	aː
abak	a b a k
abashen	a b a ʃ ə n
abashen	a b æ i̯ ʃ ə n
abaten	a b aː t ə n
abay	a b æ i̯
abbathie	a b a t iː ə
abbathie	a b a t iː
abbathie	a b a s iː ə
abbathie	a b a s iː
abbey	a b æ i̯ ə
abbey	a b æ i̯
abece	aː b ɛː s eː
abece	aː b ɛː s ɛː
abece	a b ɛ s eː
abece	a b s eː
abece	a p s eː
abenche	a b ɛ n t͡ʃ ə
abenche	a b ɛ n t͡ʃ
abhomynable	a b ɔ m i n aː b ə l
abhomynable	a b ɔ m i n aː b l ə
abilite	a b i l i t eː
abilite	a b i l i t eː
able	aː b ə l
abloy	a b l ɔ i̯
abominacioun	a b ɔ m i n aː s i uː n
abominacioun	a b ɔ m i n aː s j u n
abord	a b oː r d
aboute	a b uː t ə
aboute	a b uː t
aboute	a b uː t ə n
aboven	a b uː v ə n
aboven	a b u v ə n
aboven	a b u v ə
aboven	a b u v
abreggen	a b r ɛ d͡ʒ ə n
abreggen	a b r i d͡ʒ ə n
abrest	a b r ɛː s t
abrest	a b r ɛ s t
abrogen	a b r ɔː d͡ʒ ə n
absence	a b s ɛ n s ə
absence	a b s ɛ n s
absolucioun	a b s ɔ l i u̯ s i uː n
absolucioun	a b s ɔ l i u̯ s i u n
absolucioun	a b s ɔ l i u̯ s j u n
absteynen	a b s t æ i̯ n ə n
abstraccyone	a b s t r a k s j u n
abstract	a b s t r a k t ə
abstract	a b s t r a k t
abstractif	a b s t r a k t iː f
abstractif	a b s t r a k t i v
abstractly	a b s t r a k t l iː
abstractly	a b s t r a k t l i t͡ʃ ə
abstractly	a b s t r a k t l i t͡ʃ
abusen	a b i u̯ z ə n
abyden	a b iː d ə n
abyen	a b iː ə n
ac	a k
accent	a k s ɛ n t
acceptable	a k s ɛ p t aː b l ə
acceptable	a k s ɛ p t aː b ə l
acceptable	a k s ɛ p t a b ə l
accepten	a k s ɛ p t ə n
accidently	a k s i d ɛ n t l iː
accidently	a k s i d ɛ n t l i t͡ʃ ə
accidently	a k s i d ɛ n t l i t͡ʃ
accidie	a k s i d iː ə
accidie	a k s i d iː
accidie	a k s i d iː ə
accidie	a k s i d iː
accioun	a k s i uː n
accioun	a k s j u n
accordaunce	a k ɔː r d a u̯ n s ə
accordaunce	a k ɔː r d a u̯ n s
accordaunce	a k ɔ r d a u̯ n s ə
accordaunce	a k ɔ r d a u̯ n s
Achab	aː k a b
achaufen	a t͡ʃ a u̯ f ə n
achaufen	a t͡ʃ aː f ə n
ache	aː k ə
ache	aː k
ache	aː t͡ʃ ə
ache	aː t͡ʃ
ache	a t͡ʃ ə
ache	a t͡ʃ
ache	ɛː t͡ʃ ə
ache	ɛː t͡ʃ
ache	ɛ t͡ʃ ə
ache	ɛ t͡ʃ
ache	a t͡ʃ ə
ache	a t͡ʃ
ache	aː t͡ʃ ə
ache	aː t͡ʃ
acheken	a t͡ʃ eː k ə n
acheken	a t͡ʃ ɛː k ə n
acheken	a t͡ʃ ɔː k ə n
achesoun	a t͡ʃ ɛː z uː n
achesoun	a t͡ʃ ɛː z u n
achete	a t͡ʃ ɛː t ə
achete	a t͡ʃ ɛː t
achete	t͡ʃ ɛː t ə
