A	a
AC	a t͡s ɛ
ADHD	a d ɛ x a d ɛ
AF	a ɛ f
AIDS	ɛ j t s
AK	a k a
ASAP	a s a p
AWPL	a v u p ɛ ɛ l
Aalborg	ɔ l b ɔ r
Aalborg	ɔ l b ɔ r k
Aarhus	ɔ r x u s
Abakan	a b a k a n
Abasen	a b a s ɛ n
Abasyn	a b a s ɨ n
Abchaz	a p x a s
Abchaza	a p x a z a
Abchazach	a p x a z a x
Abchazami	a p x a z a m i
Abchazce	a p x a s t͡s ɛ
Abchazek	a p x a z ɛ k
Abchazem	a p x a z ɛ m
Abchazi	a p x a ʑ i
Abchazie	a p x a ʑ ɛ
Abchazja	a p x a z j a
Abchazji	a p x a z j i
Abchazjo	a p x a z j ɔ
Abchazją	a p x a z j ɔ w̃
Abchazję	a p x a z j ɛ
Abchazję	a p x a z j ɛ w̃
Abchazka	a p x a s k a
Abchazkach	a p x a s k a x
Abchazkami	a p x a s k a m i
Abchazki	a p x a s k i
Abchazko	a p x a s k ɔ
Abchazkom	a p x a s k ɔ m
Abchazką	a p x a s k ɔ w̃
Abchazkę	a p x a s k ɛ
Abchazkę	a p x a s k ɛ w̃
Abchazom	a p x a z ɔ m
Abchazowi	a p x a z ɔ v i
Abchazowie	a p x a z ɔ v j ɛ
Abchazów	a p x a z u f
Abdera	a b d ɛ r a
Abdero	a b d ɛ r ɔ
Abdery	a b d ɛ r ɘ
Abderze	a b d ɛ ʐ ɛ
Abderą	a b d ɛ r ɔ w̃
Abderę	a b d ɛ r ɛ
Abderę	a b d ɛ r ɛ w̃
Abdiasz	a b d j a ʂ
Abdon	a b d ɔ n
Abel	a b ɛ l
Abidżan	a b i d͡ʐ a n
Abimelek	a b i m ɛ l ɛ k
Abisyn	a b i s ɨ n
Abisynia	a b i s ɘ ɲ j a
Abisynią	a b i s ɘ ɲ ɔ w̃
Abisynka	a b i s ɘ n k a
Abisynką	a b i s ɘ ŋ k ɔ w̃
Abisyńczyk	a b i s ɘ ɲ t͡ʂ ɘ k
Aborygen	a b ɔ r ɘ ɡ ɛ n
Aborygenka	a b ɔ r ɘ ɡ ɛ n k a
Abraham	a b r a x a m
Abrahamita	a b r a x a m i t a
Abrahamowy	a b r a x a m ɔ v ɘ
Abrahamowy	a b r ɒ x ɒ m ɔ v ɨ
Abrahamów	a b r ɒ x ɒ m o f
Abram	a b r a m
Abramowicz	a b r a m ɔ v i t͡ʂ
Abramowie	a b r a m ɔ v j ɛ
Abramów	a b r a m u f
Abraszewska	a b r a ʂ ɛ f s k a
Abraszewski	a b r a ʂ ɛ f s k i
Abruzja	a b r u z j a
Abruzji	a b r u z j i
Abruzją	a b r u z j ɔ w̃
Abruzję	a b r u z j ɛ
Abruzję	a b r u z j ɛ w̃
Abruzyjczyk	a b r u z ɘ j t͡ʂ ɘ k
Absalom	a p s a l ɔ m
Abudża	a b u d͡ʐ a
Achil	a x i l
Achilles	a x i l l ɛ s
Ada	a d a
Adach	a d a x
Adam	a d a m
Adamczak	a d a m t͡ʂ a k
Adamczyk	a d a m t͡ʂ ɘ k
Adamek	a d a m ɛ k
Adamiak	a d a m j a k
Adamiec	a d a m j ɛ t͡s
Adamik	a d a m i k
Adamkiewicz	a d a m k j ɛ v i t͡ʂ
Adamkowicz	a d a m k ɔ v i t͡ʂ
Adamowicz	a d a m ɔ v i t͡ʂ
Adamska	a d a m s k a
Adamski	a d a m s k i
Adamus	a d a m u s
Adana	a d a n a
Adaną	a d a n ɔ w̃
Adasiak	a d a ɕ a k
Adasiek	a d a ɕ ɛ k
Adasiewicz	a d a ɕ ɛ v i t͡ʂ
Adasik	a d a ɕ i k
Adaszewski	a d a ʂ ɛ f s k i
Adaszkiewicz	a d a ʂ k j ɛ v i t͡ʂ
Adaś	a d a ɕ
Adaśko	a d a ɕ k ɔ
Adela	a d ɛ l a
Adelajda	a d ɛ l a j d a
Adelajdą	a d ɛ l a j d ɔ w̃
Adeliną	a d ɛ l i n ɔ w̃
Adelą	a d ɛ l ɔ w̃
Aden	a d ɛ n
Adolf	a d ɔ l f
Adonis	a d ɔ ɲ i s
Adrian	a d r j a n
Adrianna	a d r j a n n a
Adrianną	a d r j a n n ɔ w̃
Adrianowicz	a d r j a n ɔ v i t͡ʂ
Adrianą	a d r j a n ɔ w̃
Adwentowicz	a d v ɛ n t ɔ v i t͡ʂ
Adydan	a d ɘ d a n
Adyga	a d ɘ ɡ a
Adygei	a d ɘ ɡ ɛ i
Adygeja	a d ɘ ɡ ɛ j a
Adygejo	a d ɘ ɡ ɛ j ɔ
Adygeją	a d ɘ ɡ ɛ j ɔ w̃
Adygeję	a d ɘ ɡ ɛ j ɛ
Adygeję	a d ɘ ɡ ɛ j ɛ w̃
Adze	a d͡z ɛ
Adą	a d ɔ w̃
Adżar	a d͡ʐ a r
Adżaria	a d͡ʐ a r j a
