ഁ	ɐ̃
അംഗത്വം	ɐ ŋ ɡ ɐ t̪ ʋʷ ɐ m
അംഗൻവാടി	ɐ ŋ ɡ ɐ n ʋʷ aː ɖ i
അകൽച്ച	ɐ ɡ ɐ l t̚ t͡ʃ ɐ
അഗ്നിപർവ്വതം	ɐ ɡ n i b ɐ r ʋ ʋʷ ɐ d̪ ɐ m
അങ്കച്ചേകവർ	ɐ ŋ ɡ ɐ t̚ t͡ʃ eː ɡ ɐ ʋ ɐ r
അച്ചടക്ക	ɐ t̚ t͡ʃ ɐ ɖ ɐ k k ɐ
അച്ചടക്കം	ɐ t̚ t͡ʃ ɐ ɖ ɐ k k ɐ m
അച്ചടിക്കുക	ɐ t̚ t͡ʃ ɐ ɖ i k k u ɡ ɐ
അച്ചടിയന്ത്രം	ɐ t̚ t͡ʃ ɐ ɖ i j ɐ n̪ d̪ r ɐ m
അച്ചായൻ	ɐ t̚ t͡ʃ aː j ɐ n
അച്ചാർ	ɐ t̚ t͡ʃ aː r
അച്ചി	ɐ t̚ t͡ʃ i
അച്ചിങ്ങ	ɐ t̚ t͡ʃ i ŋ ŋ ɐ
അച്ചുതൻ	ɐ t̚ t͡ʃ u d̪ ɐ n
അച്ച്	ɐ t̚ t͡ʃ ə̆
അച്ചൻ	ɐ t̚ t͡ʃ ɐ n
അച്ഛൻ	ɐ t̚ t͡ʃʰ ɐ n
അജ്ഞത	ɐ ɟ ɲ ɐ d̪ ɐ
അജ്ഞാത	ɐ ɟ ɲ aː d̪ ɐ
അജ്ഞാനം	ɐ ɟ ɲ aː n ɐ m
അഞ്ചനം	ɐ n̠ʲ d͡ʒ ɐ n ɐ m
അഞ്ചാം	ɐ n̠ʲ d͡ʒ aː m
അഞ്ചിതം	ɐ n̠ʲ d͡ʒ i d̪ ɐ m
അഞ്ചുക	ɐ n̠ʲ d͡ʒ u ɡ ɐ
അഞ്ചുവണ്ണം	ɐ n̠ʲ d͡ʒ u ʋ ɐ ɳ ɳ ɐ m
അഞ്ച്	ɐ n̠ʲ d͡ʒ ə̆
അഞ്ചൽ	ɐ n̠ʲ d͡ʒ ɐ l
അഞ്ജന	ɐ n̠ʲ d͡ʒ ɐ n ɐ
അഞ്ജനവർണ്ണൻ	ɐ n̠ʲ d͡ʒ ɐ n ɐ ʋ ɐ r ɳ ɳ ɐ n
അഞ്ജലി	ɐ n̠ʲ d͡ʒ ɐ l i
അടിച്ചുവാരുക	ɐ ɖ i t̚ t͡ʃ u ʋ aː ɾ u ɡ ɐ
അത്ഭുതം	ɐ l bʱ u d̪ ɐ m
അദ്ഭുതം	ɐ l bʱ u d̪ ɐ m
അനശ്വര	ɐ n ɐ ʃ ʋʷ ɐ ɾ ɐ
അനശ്വരം	ɐ n ɐ ʃ ʋʷ ɐ ɾ ɐ m
അനുസ്വാരം	ɐ n u s ʋʷ aː ɾ ɐ m
അന്ധവിശ്വാസം	ɐ n̪ d̪ʱ ɐ ʋ i ʃ ʋʷ aː s ɐ m
അന്റാർക്റ്റിക്ക	ɐ n d aː r k t t i k k ɐ
