al	a l
americàn	a m e r i k a ŋ
arbòt	a r b ɔː t
avêr	ɐ v eː r
avêreg	ɐ v eː r e ɡ
balēr	b ɐ l ɛː r
bandîga	b a ŋ d iː ɡ a
binèl	b i n ɛ l
bragaldån	b r a ɡ a l d ʌ ŋ
brîv	b r iː v
bulgnais	b u l ɲ a i z
bulgnaiṡ	b u l ɲ a i z
bulåggna	b u l ʌ ɲ ɲ a
buvanèl	b u v a n ɛː l
buvanî	b u v a n iː
bvinèl	b v i n ɛ l
bāter	b ɐː t e r
dvinèl	d v i n ɛ l
dvinêl	d v i n ɛː l
dvinē	d v i n eː
dîr	d iː r
dòna	d ɔː n a
e	e
el	e l
et	e t
farlòc	f a r l ɔː k
finîr	f i n iː r
fèr	f ɛː r
gaetàṅ	ɡ a e t a ŋ
gatarî	ɡ a t a r iː
ge	ɡ e
grasôl	ɡ r a s oː l
g’	ɡ
in	i n
iêna	j eː n a
kantēr	k a n t ɛː r
klà	k l a
kl’	k l
kwàst	k w a s t
kwàsta	k w a s t a
kwál	k w ʌ l
kwála	k w ʌ l a
kwíli	k w i l i
kwíst	k w i s t
kwísti	k w i s t i
kwî	k w iː
kál	k ʌ l
kálj	k ʌ ʎ
kí	k i
la	l a
lorètt	l o r ɛ tː
luddra	l u dː r a
ludrèt	l u d r ɛ t
ludrétt	l u d r e tː
lumagòt	l u m a ɡ ɔː t
lurött	l u r ɔ tː
låuv	l ʌ ʊ v
lê	l eː
ló	l o
lôr	l oː r
lùder	l u d e r
lōdra	l oː d r a
menefreghìśem	m e n e f r e ɡ iː z e m
mustadûra	m u s t a d uː r a
mè	m ɛ
mêg	m eː ɡ
nuēter	n u ɛː t e r
nuētri	n u ɛː t r i
nōsk	n ɔː s k
partîr	p ɐ r t iː r
prît	p r iː t
pâgn	p aː ɲ
savêr	s ɐ v eː r
sfuriunâz	s f u r j u n aː θ
sinighèla	s i n i ɡ æː l a
stupajèr	s t u p a j ɛː r
stà	s t a
stàl	s t a l
stàlj	s t a ʎ
sté	s t ɪ
stí	s t i
st’	s t
sâs	s aː s
sêg	s eː ɡ
tè	t ɛ
têg	t eː ɡ
vuēter	v u ɛː t e r
vuētri	v u ɛː t r i
vōsk	v ɔː s k
âcua	aː k w a
êser	eː s e r
êsreg	eː s r e ɡ
òmen	ɔː m e ŋ
śal	z a l
żalàtt	ð a l a t
ṡbaldarî	z b a l d a r iː
