A	a
AIDS	â j t s
Albānija	a l b āː n i j a
Amerika	a m ɛ ɾ i k a
Andora	a n d oː ɾ a
Anglija	ā ŋ ɡ l i j a
Auns	à w n s
B	b
Brazīlija	b ɾ a z īː l i j a
C	t s
Cēsis	t s ēː s i s
D	d
Daugava	d à w ɡ a v a
Daugavpils	d à w ɡ à w p i l s
E	æ
E	ɛ
Eiropa	ɛ̄ ī ɾ ɔ̄ː p a
Engure	ǣ ŋ ɡ u ɾ ɛ
F	f
G	ɡ
H	x
Hercegovina	h e r t s e ɡ ɔ v i n a
Hercegovina	h æ r t s æ ɡ ɔ v i n a
Horvātija	x ɔ r v aː t i j a
I	i
J	j
Jānis	j āː n i s
Jēkabpils	j eː k a pː i l s
Jūrmala	j ūː ɾ m a l a
K	k
Kolka	k ɔ̄ l k a
L	l
Latvija	l a t v i j a
Lauva	l ā w v a
Liepāja	l ì e p ā j a
Lietuva	l ī ɛ̄ t u v a
M	m
Mežāzis	m ɛ ʒ âː z i s
Monako	m o n a k oː
Monako	m o n aː k oː
N	n
Nīla	n īː l a
O	o
O	oː
O	u ə̯
P	p
R	ɾ
Roma	ɾ ū ɔ̯̄ m a
Rēzekne	ɾ ɛ̄ː z ɛ k n ɛ
Rīga	ɾ īː ɡ a
S	s
Somija	s ū ɔ̄ m i j a
T	t
Tomass	t ɔ m a sː
Toms	t ū ɔ̯̄ m s
Toms	t ɔ m s
U	u
Ungurs	ū ŋ ɡ u ɾ s
V	v
Valmiera	v à l m ī ɛ̄ ɾ a
Venta	v ǣ n t a
Ventspils	v æ̀ n t s p i l s
Vidzeme	v i d z e m e
Vērsis	v ɛ̀ː r s i s
Vēzis	v ɛ̂ː z i s
Z	z
Zeme	z ɛ m ɛ
abaks	a bː a k s
abate	a bː a t ɛ
abatija	a bː a t i jː a
abats	a bː a t s
abažūrs	a bː a ʒ uː ɾ s
abi	a b i
abinieks	a b i n i ɛ k s
ablatīvs	a b l a t iː v s
aborts	a bː o ɾ t s
absolūtiste	a b s ɔ l uː t i s t ɛ
absolūtists	a b s ɔ l uː t i s t s
abstrahēt	a b s t ɾ a h eː t
abstrahēšana	a b s t ɾ a h æː ʃ a nː a
abstrakcija	a b s t ɾ a k t s i jː a
abstrakts	a b s t ɾ a k t s
abstraktums	a b s t ɾ a k t u m s
acenes	a t sː æ nː æ s
acs	a t s
aculiecinieks	a t sː u lː i ɛ t s i nː i ɛ k s
acumirklis	a t sː u m i ɾ k l i s
acīgais	a t s iː ɡ a i s
acīgs	a t s iː ɡ s
acīgākais	a t s iː ɡ aː k a i s
acīgāks	a t s iː ɡ aː k s
adaptācija	a dː a p t aː t s i jː a
adata	a d a tː a
adenīns	a d ɛ n iː n s
administratore	a d m i n i s t r a t oː ɾ ɛ
administratore	a d m i n i s t r aː t oː ɾ ɛ
administrators	a d m i n i s t ɾ a t o ɾ s
admirālis	a d m i ɾ aː l i s
adrenalīns	a d ɾ æ nː a l iː n s
adrese	a d ɾ ɛ sː ɛ
adīt	a d îː t
adīšana	a d îː ʃ a n a
afrikāniete	a f ɾ i k aː n i ɛ tː æ
afrikānietis	a f r i k āː n i ɛ t i s
afrikānietis	āː f r i k āː n i ɛ t i s
afrikānis	a f ɾ i k āː n i s
afrikānis	āː f ɾ i k āː n i s
