'day	d a i
't	t
'y	i
aa	ʔ a ʔ a ʔ
aa	ʔ a ʔ a ʔ
aa	ʔ a a
aaa	ʔ a ʔ a ʔ a ʔ
aaaban	ʔ a ʔ a ʔ a b a n
aab	ʔ a ʔ a b
aaban	ʔ a ʔ a b a n
aabisuhan	ʔ a a b i s u h a n
aak	ʔ a ʔ a k
aakyat	ʔ a ʔ a k j a t
aam	ʔ a ʔ a m
aamendyahan	ʔ a ʔ a m j e n d a h a n
aap	ʔ a ʔ a p
aap	ʔ a ʔ a p
aawat	ʔ a ʔ a w a t
aba	ʔ a b a ʔ
aba	ʔ a b a
abad	ʔ a b a d
abadiano	a b a d d͡ʒ a n o
abahin	ʔ a b a h i n
abain	ʔ a b a ʔ i n
abaka	ʔ a b a k a
abakada	ʔ a b a k a d a
abako	ʔ a b a k o
abakus	ʔ a b a k u s
abala	ʔ a b a l a
abala	ʔ a b a l a
abalahin	ʔ a b a l a h i n
abaloryo	ʔ a b a l o ɾ j o
abalos	ʔ a b a l o s
abanderado	ʔ a b a n d e ɾ a d o
abandonado	ʔ a b a n d o n a d o
abang	ʔ a b a ŋ
abangan	ʔ a b a ŋ a n
abangan	ʔ a b a ŋ a n
abaniko	ʔ a b a n i k o
abante	ʔ a b a n t e
abat	ʔ a b a t
abatan	ʔ a b a t a n
abatan	ʔ a b a t a n
abay	ʔ a b a i
abay	ʔ a b a i
abayan	ʔ a b a j a n
abayan	ʔ a b a j a n
abdikasyon	ʔ a b d i k a s j o n
abdurahman	ʔ a b d u ɾ a h m a n
abejuela	ʔ a b e h u e l a
abelgas	ʔ a b e l ɡ a s
abella	ʔ a b e l l a
abellera	ʔ a b e l j e ɾ a
abenida	ʔ a b e n i d a
abentura	ʔ a b e n t u ɾ a
abenturero	ʔ a b e n t u ɾ e ɾ o
aber	ʔ a b e ɾ
aberya	ʔ a b e ɾ j a
abestrus	ʔ a b e s t ɾ u s
abilaw	ʔ a b i l a u
abilidad	ʔ a b i l i d a d
abilo	ʔ a b i l o
abing	ʔ a b i ŋ
abiso	ʔ a b i s o
abisuhan	ʔ a b i s u h a n
abitsuwela	ʔ a b i t͡ʃ u e l a
abitsuwelas	ʔ a b i t͡ʃ u e l a s
abla	ʔ a b l a
abla	ʔ a b l a
abno	ʔ a b n o ʔ
abnormal	ʔ a b n o ɾ m a l
abnormal	ʔ a b n o ɾ m a l
