abaw	a b a w
abaɛuju	a b a ʕ u ʒ u
abaɛujut	a b a ʕ u ʒ u t
abezzik	a b ə zː i k
abezzikt	a b ə zː i k t
abeǧǧiw	a b ə d͡ʒ d͡ʒ i w
abeɛɛac	a b ə ʕː a ʃ
abeɛɛir	a b ə ʕː i r
abeɛɛirt	a b ə ʕː i r t
abiyyar	a b i jː a r
abxix	a b χ i χ
abxixt	a b χ i χ t
abɛir	a b ʕ i r
abɛirt	a b ʕ i r t
accin	a ʃː i n
aceffar	a ʃ ə fː a rˤ
aceffaṛ	a ʃ ə fː a rˤ
acelgum	a ʃ ə l ɡ u m
acendur	a ʃ ə n d u r
aceɛrun	a ʃ ə ʕ rˤ u n
aceɛṛun	a ʃ ə ʕ rˤ u n
acmen	a ʃ m ə n
acqiq	a ʃ q i q
acuc	a ʃ u ʃ
acucci	a ʃ u ʃː i
adan	a d a n
adfej	a d f ə ʒ
adfel	a d f ə l
adfi	a d f i
adrar	a d r a r
afallat	a f a lː a t
afellus	a f ə lː u s
aferruj	a f ə rˤ rˤ u ʒ
aferrum	a f ə rː u m
afeṛṛuj	a f ə rˤ rˤ u ʒ
afrag	a f r a ɡ
afray	a f r a j
afriyyex	a f r i jː ə χ
afriyyext	a f r i jː ə χ t
afrux	a f r u χ
afruxt	a f r u χ t
afud	a f u d
afullus	a f u lː u s
afullust	a f u lː u s t
afulus	a f u l u s
afulust	a f u l u s t
agelzim	a ɡ ə l z i m
agelzimt	a ɡ ə l z i m t
agenduz	a ɡ ə n d u z
agentur	a ɡ ə n t u r
agris	a ɡ r i s
agruz	a ɡ r u z
aherdan	a ɦ ə r d a n
akaj	a k a ʒ
akal	a k a l
akay	a k a j
akbac	a k b a ʃ
akbact	a k b a ʃ t
akcam	a k ʃ a m
akcem	a k ʃ ə m
aker	a k ə r
akerruc	a k ə rː u ʃ
akidar	a k i d a r
akiḍar	a k i dˤ a r
akka	a kː a
akkʷer	a kʷː ə r
akruc	a k r u ʃ
akruci	a k r u ʃ i
aksir	a k s i r
aksirt	a k s i r t
