'day	d̪ a ɪ̯
'di	d̪ ɛ ʔ
'di	d̪ ɪ ʔ
'eka	ʔ ɛ x a ʔ
'eka	ʔ ɛː x ɐ ʔ
'ika	ʔ iː x ɐ ʔ
'ika	ʔ ɪ x a ʔ
'ka	k a ʔ
'lika	l iː x ɐ
'lika	l ɪ x a
'ng	ŋ
'no	n̪ o
't	t̪
'to	t̪ o
'tsaka	t͡s ɐ x a ʔ
'tsaka	t͡ʃ ɐ x a ʔ
'y	ɪ̯
'yan	j a n̪
'yo	j o
'yon	j o n̪
'yun	j ʊ n̪
A	a
A	ɐ
A	ʔ a
A	ʔ e ɪ̯
A	ʔ ɐ
A'TIN	ʔ e ɪ̯ t̪ ɪ n̪
AFAM	ʔ ɐ f a m
AFAM	ʔ ɐ p a m
Aaron	ʔ aː ɾ o n̪
Aaron	ʔ e ɪ̯ ɾ o n̪
Aaron	ʔ ɐ ʔ ɐ ɾ o n̪
Abad	ʔ ɐ b a d̪̚
Abadiano	ʔ ɐ b ɐ d d͡ʒ aː n̪ o
Abadiano	ʔ ɐ b ɐ d̪ j aː n̪ o
Abadilla	ʔ ɐ b ɐ d̪ i l j ɐ
Abalos	ʔ aː b ɐ l o s
Abarca	ʔ ɐ b a ɾ k ɐ
Abaya	ʔ ɐ b aː j ɐ
Abby	ʔ aː b ɪ
Abdurahman	ʔ ɐ b d̪ ʊ ɾ ɐ m a n̪
Abe	ʔ aː b ɛ
Abejuela	ʔ ɐ b ɛ h w ɛː l ɐ
Abel	ʔ ɐ b ɛ l
Abelgas	ʔ ɐ b ɛ l ɡ a s
Abella	ʔ ɐ b ɛ l j ɐ
Abellano	ʔ ɐ b ɛ l j aː n̪ o
Abellera	ʔ ɐ b ɛ l j ɛː ɾ ɐ
Abenojar	ʔ ɐ b ɛ n̪ o h a ɾ
Abesamis	ʔ ɐ b ɛ s aː m ɪ s
Abigail	ʔ aː b ɪ ɣ e ɪ̯ l
Abing	ʔ aː b ɪ ŋ
Abisinya	ʔ ɐ b ɪ s i n̪ j ɐ
Abisinya	ʔ ɐ b ɪ s iː ɲ ɐ
Abisinyo	ʔ ɐ b ɪ s i n̪ j o
Abisinyo	ʔ ɐ b ɪ s iː ɲ o
Ablog	ʔ ɐ b l o ɡ̚
Abra	ʔ aː b ɾ ɐ
Abraham	ʔ ɐ b ɾ ɐ h a m
Abrazado	ʔ ɐ b ɾ ɐ s aː d̪ o
Abrazado	ʔ ɐ b ɾ ɐ z aː d̪ o
Abrenica	ʔ ɐ b ɾ ɛː n̪ ɪ x a
Abrera	ʔ ɐ b ɾ ɛː ɾ ɐ
Abril	ʔ ɐ b ɾ ɪ l
Abu	ʔ aː b ʊ
Abucay	ʔ ɐ b uː x a ɪ̯
Abueg	ʔ ɐ b w ɛ ɡ̚
Abuel	ʔ ɐ b w ɛ l
Abulencia	ʔ ɐ b ʊ l ɛ n̪ s j ɐ
Abulencia	ʔ ɐ b ʊ l ɛ n̪ ʃ ɐ
Abulug	ʔ ɐ b ʊ l ʊ ɡ̚
Academia	ʔ ɐ x ɐ d̪ ɛ m j ɐ
Acda	ʔ ɐ k d̪ a ʔ
Acierto	ʔ ɐ s j ɛ ɾ t̪ o
Acierto	ʔ ɐ ʃ ɛ ɾ t̪ o
Aclan	ʔ ɐ k l a n̪
Acopiado	ʔ ɐ x o p j aː d̪ o
Acorda	ʔ ɐ x o ɾ d̪ ɐ
Acosta	ʔ ɐ x o s t̪ ɐ
Acuzar	ʔ ɐ x ʊ s a ɾ
Acuzar	ʔ ɐ x ʊ z a ɾ
Acuña	ʔ ɐ x u n̪ j ɐ
Acuña	ʔ ɐ x uː ɲ ɐ
Adajar	ʔ ɐ d̪ ɐ h a ɾ
Adams	ʔ aː d̪ ɐ m s
Adan	ʔ ɐ d̪ a n̪
Adbentista	ʔ ɐ d̪ b ɛ n̪ t̪ i s t̪ ɐ
Adbiyento	ʔ ɐ d̪ b j ɛ n̪ t̪ o
Adbyento	ʔ ɐ d̪ b j ɛ n̪ t̪ o
Adela	ʔ ɐ d̪ ɛː l ɐ
Adlawan	ʔ ɐ d̪ l̪ aː w ɐ n̪
Adolfo	ʔ ɐ d̪ o l f o
Adolfo	ʔ ɐ d̪ o l p o
Adonis	ʔ ɐ d̪ oː n̪ ɪ s
Adornado	ʔ ɐ d̪ o ɾ n̪ aː d̪ o
Adrias	ʔ ɐ d̪ ɾ iː j ɐ s
Advincula	ʔ ɐ d̪ b i ŋ k ʊ l a
Advincula	ʔ ɐ d̪ v i ŋ k ʊ l a
Agapay	ʔ ɐ ɣ aː p a ɪ̯
Agatha	ʔ aː ɣ ɐ t̪ a
Agaton	ʔ ɐ ɣ ɐ t̪ o n̪
Agbayani	ʔ ɐ ɡ b ɐ j aː n̪ ɪ
Agbon	ʔ ɐ ɡ b o n̪
Agbuya	ʔ ɐ ɡ b uː j ɐ
Agcaoili	ʔ ɐ ɡ k ɐ w iː l ɪ
Agdangan	ʔ ɐ ɡ d̪ aː ŋ ɐ n̪
Aglipay	ʔ ɐ ɡ l iː p a ɪ̯
Agnes	ʔ a ɡ n̪ ɛ s
Agojo	ʔ ɐ ɣ oː h o ʔ
Agoncillo	ʔ ɐ ɣ o n̪ s i l j o
Agosto	ʔ ɐ ɣ o s t̪ o
Agpangan	ʔ ɐ ɡ p aː ŋ ɐ n̪
Agregado	ʔ ɐ ɡ ɾ ɛ ɣ aː d̪ o
Agta	ʔ ɐ ɡ t̪ a
Aguado	ʔ ɐ ɡ w aː d̪ o
Aguas	ʔ a ɡ w ɐ s
Aguda	ʔ ɐ ɣ uː d̪ ɐ
Aguho	ʔ ɐ ɣ uː h o ʔ
Aguila	ʔ aː ɣ ɪ l a
Aguilar	ʔ ɐ ɣ ɪ l a ɾ
Aguilera	ʔ ɐ ɣ ɪ l ɛː ɾ ɐ
Aguinaldo	ʔ ɐ ɣ ɪ n̪ a l d̪ o
Aguirre	ʔ ɐ ɣ iː ɾ ɛ
Agujo	ʔ ɐ ɣ uː h o ʔ
Agusan	ʔ ɐ ɣ uː s ɐ n̪
Agustin	ʔ ɐ ɣ ʊ s t̪ ɪ n̪
Agustina	ʔ ɐ ɣ ʊ s t̪ iː n̪ ɐ
Agustino	ʔ ɐ ɣ ʊ s t̪ iː n̪ o
Agustinyanismo	ʔ ɐ ɣ ʊ s t̪ ɪ n ɲ ɐ n̪ i s m o
Agustinyanismo	ʔ ɐ ɣ ʊ s t̪ ɪ n̪ j ɐ n̪ i s m o
Agusto	ʔ ɐ ɣ u s t̪ o
Agutaynen	ʔ ɐ ɣ ʊ t̪ a ɪ̯ n̪ ə n̪
Agutaynen	ʔ ɐ ɣ ʊ t̪ a ɪ̯ n̪ ɛ n̪
Agutaynën	ʔ ɐ ɣ ʊ t̪ a ɪ̯ n̪ ə n̪
Ahiya	ʔ aː h j ɐ
Akapulko	ʔ ɐ x ɐ p u l k o
Akbar	ʔ ɐ k b a ɾ
Akiko	ʔ ɐ x iː x o
Aklan	ʔ ɐ k l a n̪
Akwaryo	ʔ ɐ k w a ɾ j o
Al	ʔ a l
Ala	ʔ ɐ l a
Ala	ʔ ə l a
Alab	ʔ aː l ɐ b̚
Alabama	ʔ ɐ l ɐ b aː m ɐ
Alabang	ʔ ɐ l ɐ b a ŋ
Alabat	ʔ ɐ l ɐ b a t̪̚
Alakdan	ʔ ɐ l ɐ k d̪ a n̪
Alakran	ʔ ɐ l ɐ k ɾ a n̪
Alamada	ʔ ɐ l ɐ m aː d̪ ɐ
Alaminos	ʔ ɐ l ɐ m iː n̪ o s
Alan	ʔ aː l ɐ n̪
Alangilan	ʔ ɐ l ɐ ŋ iː l ɐ n̪
Alarcon	ʔ ɐ l ɐ ɾ k o n̪
Alaska	ʔ ɐ l a s k ɐ
Alba	ʔ a l b ɐ
Albanes	ʔ ɐ l b ɐ n̪ ɛ s
Albanesa	ʔ ɐ l b ɐ n̪ ɛː s ɐ
Albano	ʔ ɐ l b aː n̪ o
Albanya	ʔ ɐ l b a n̪ j ɐ
Albanya	ʔ ɐ l b aː ɲ ɐ
Albay	ʔ ɐ l b a ɪ̯
Alberto	ʔ ɐ l b ɛ ɾ t̪ o
Alburquerque	ʔ ɐ l b ʊ ɾ k ɛ ɾ k ɛ
Alcaide	ʔ ɐ l k a ɪ̯ d̪ ɛ
Alcala	ʔ ɐ l k ɐ l a
Alcantara	ʔ ɐ l k a n̪ t̪ ɐ ɾ a
Alcoy	ʔ ɐ l k o ɪ̯
Aldana	ʔ ɐ l d̪ aː n̪ ɐ
Aldover	ʔ ɐ l d̪ o b ɛ ɾ
Aldover	ʔ ɐ l d̪ o v ɛ ɾ
Aldovino	ʔ ɐ l d̪ o b iː n̪ o
Aldovino	ʔ ɐ l d̪ o v iː n̪ o
Alegado	ʔ ɐ l ɛ ɣ aː d̪ o
Alegre	ʔ ɐ l ɛː ɡ ɾ ɛ
Alegria	ʔ ɐ l ɛ ɡ ɾ iː j ɐ
