A	ɑ
Almaniya	ɑ ɫ m ɑ n i j ɑ
Amsterdam	ɑ m s t e r d ɑ m
Aqartala	ɑ ɡ ɑ ɾ t ɑ l ɑ
Bakı	b ɑ c ɯ
Daşkənd	d ɑ ʃ c æ n t
Eldəniz	e l d æ n i z
Gəncə	d͡ʒ æ n d͡z æ
Gəncə	ɟ æ n d͡ʒ æ
Heydər	h e j d æ r
Hümbət	h y m b æ t
Hüseyn	h y s e j n
Makedoniya	m ɑ k e d o n i j ɑ
Naxçıvan	n ɑ x t͡ʃ ɯ v ɑ n
Qafar	ɡ ɑ f ɑ r
Qubadlı	ɡ u b ɑ d l ɯ
Qız	ɡ ɯ z
Qənirə	ɡ æ n i r æ
Rusiya	r u s i j ɑ
Rusiya	r u s j ɑ
Rükü	r y c y
Sumqayıt	s u m ɡ ɑ j ɯ t
Təbriz	t æ b r i z
Vikilüğət	v ɪ c ɪ l y ɣ æ t
Xankəndi	x ɑ ɲ c æ n d i
Xudu	x u d u
Zəngilan	z æ ɲ ɟ i l ɑ n
aba	ɑ b ɑ
abgərdən	ɑ b ɟ æ ɾ d æ n
acgöz	ɑ d͡ʒ ɟ œ z
acıq	ɑ d͡z ɯ χ
acıq	ɑ d͡ʒ ɯ χ
adam	ɑ d ɑ m
adi	ɑː d i
adlanmaq	ɑ d ɫ ɑ n m ɑ χ
aid	ɑ i d
akademiya	ɑ k ɑ d e m i j ɑ
ala	ɑ ɫ ɑ
ali	ɑː l i
alma	ɑ ɫ m æ
alma	ɑ ɫ m ɑ
alın	ɑ ɫ ɯ n
amir	ɑː m i ɾ
an	ɑ n
anqut	ɑ n ɡ u t
ar	ɑ r
armağan	ɑ r m ɑ ɣ ɑ n
arpa	ɑ r p ɑ
arxa	ɑ r x ɑ
arxayın	ɑ ɾ x e j i n
arxayın	ɑ ɾ x ɑ j ɯ n
arxivləşdirmək	ɑ r x i v l æ ʃ d i r m æ c
arzu	ɑ r z u
at	ɑ t
avtobus	ɑ f t o b ʊ s
axirət	ɑː x i ɾ æ t
axırıncı	ɑ χ ɯ ɾ ɯ n d͡ʒ ɯ
ay	ɑ j
azarxana	ɑ z ɑ r x ɑ n ɑ
ağa	ɑ ɣ ɑ
ağlamaq	j ɯ ɣ ɫ ɑ m ɑ χ
badam	b ɑ d ɑ m
baldır	b ɑ ɫ d ɯ r
bar	b ɑ ɾ
bardaq	b ɑ ɾ d ɑ ɡ
barkod	b ɑ ɾ k o d
batmaq	b ɑ t m ɑ χ
batırmaq	b ɑ t ɯ r m ɑ χ
bayram	b ɑ j ɾ ɑ m
bayğın	b ɑ j ɣ ɯ n
bağanaq	b ɑ ʁ ɑ n ɑ χ
bağancanaq	b ɑ ʁ ɑ n d͡ʒ ɑ n ɑ χ
bağancaq	b ɑ ʁ ɑ n d͡ʒ ɑ χ
başıörtülü	b ɑ ʃ ɯ œ r t y l y
bel	b e l
beton	b e t o n
beş	b e ʃ
beş	b æ ʃ
birə	b i r æ
bit	b i t
bitirmək	b i t i r m æ k
bitmek	b i t m e k
biznes	b i z n e s
bol	b o ɫ
bomba	b o m b ɑ
boran	b o ɾ ɑ n
boy	b o j
bozumtul	b o z u m t u l
bu	b u
bulud	b u ɫ u d
bura	b u r ɑ
busə	b u s æ
butulka	b u t u ɫ k a
buxovluq	b u χ o v l u χ
buğda	b u ɣ d ɑ
bölmək	b œ l m æ k
bülöv	b ɯ l œ y̯
bünövrə	b ɯ n œ y̯ r æ
bürümək	b y r y m æ k
bütöv	b y t œ v
bütöv	b ɯ t œ y̯
bütün	b y t y n
bığ	b ɯ ɣ
bələk	b æ l æ c
bəm	b ə m
bənək	b æ n æ k
bərabər	b æ ɾ ɑː b æ ɾ
