A	ə
Aigupita	ɐ j k u p i k ə
Aigupita	ɛ j k u p i k ə
Akua	ə k u w ə
Alana	ə l ɐ n ə
Alapaʻi	ɐ l ə p ɐ ʔ i
Alika	ə l i k ə
Aloha	ə l o h ə
Anuhea	ɐ n u h ɛ j ə
Aokealoa	ɐ o̯ k ɛ j ə l o w ə
Aotearoa	ɐ o̯ k ɛ j ə l o w ə
Banagaladesa	p ɐ n ə k ɐ l ə k ɛ k ə
Beniamina	p e n i j ə m i n ə
Beretania	p ɛ l ɛ k aː n i j ə
Betelehema	p ɛ k ɛ l ɛ h ɛ m ə
Botuana	p o k u w ɐ n ə
Burunei	p u l u n ɛ j
Daniela	k ɐ n i ɛ l ə
Daniʻela	k ə n i ʔ ɛ l ə
Doreka	k o l ɛ k ə
Dāvida	k aː ʋ i k ə
Elika	e l i k ə
Gaberiela	k ə p e l i ɛ l ə
Galatia	k ɐ l ə t i j ə
Galilaia	k ə l i l ɐ j j ə
Galilaia	k ə l i l ɛ j j ə
Gaza	k ɐ k ə
Gāna	k aː n ə
Habakuka	h ɐ p ə k u k ə
Hagai	h ə k ɐ j
Hagai	h ə k ɛ j
Hailama	h ə j l ɐ m ə
Haipa	h ɐ j p ə
Haipa	h ɛ j p ə
Haipeliona	h ə j p e l i j o n ə
Halakepoka	h ə l ə k e p o k ə
Halaki	h ə l ɐ t i
Hale	h ɐ l e
Halelū	h ə l e l uː
Haleʻiwa	h ɐ l e ʔ i ʋ ə
Haliaka	h ə l i j ɐ k ə
Hana	h ɐ n ə
Hanalei	h ɐ n ə l ɛ j
Hanalē	h ə n ə l eː
Hasegawa	h ɐ k e k ɐ ʋ ə
Haumea	h ə w m ɛ j ə
Haunani	h ə w n ɐ n i
Hauʻoli	h ə w ʔ o l i
Hawaiʻi	h ə ʋ ɐ j ʔ i
Hawaiʻi	h ə ʋ ɛ j ʔ i
Haʻaheo	h ɐ ʔ ə h ɛ j o
Haʻikū	h ɐ ʔ i k uː
Healani	h ɛ j ə l ɐ n i
Hebera	h ɛ p ɛ l ə
Heberona	h ɛ p ɛ l o n ə
Hekekia	h ɛ k ɛ t i j ə
Helena	h ɛ l ɛ n ə
Helene	h ɛ l ɛ n ɛ
Heleʻekela	h e l e ʔ ɛ k ɛ l ə
Henelē	h e n ɛ l eː
Hezekia	h ɛ k ɛ t i j ə
Hina	h i n ə
Hinaliʻi	h i n ə l i ʔ i
Hiʻiaka	h i ʔ i j ɐ k ə
Hiʻilani	h i ʔ i l ɐ n i
Honokaona	h o n o k ɐ o̯ n ə
Hoʻoleilana	h o ʔ o l e j l ɐ n ə
Hulinea	h u l i n ɛ j ə
Hunakalia	h u n ə k ə l i j ə
Hāliʻimaile	h aː l i ʔ i m ɐ j l e
Hāliʻimaile	h aː l i ʔ i m ɛ j l e
Hōkūlani	h oː k uː l ɐ n i
Hōkūloa	h oː k uː l o w ə
Hōkūʻula	h oː k uː ʔ u l ə
Hōlani	h oː l ɐ n i
Iakopa	i j ə k o p ə
Iakopo	i j ə k o p o
Ianuali	i j ə n u w ɐ l i
Iapa	i j ɐ p ə
Ielukalema	i e l u k ə l ɛ m ə
Iemene	i ɛ m ɛ n ɛ
Ieremia	i e l e m i j ə
Ikaika	i k ɐ j k ə
Ikaika	i k ɛ j k ə
Iloano	i l o w ɐ n o
Ioane	i j o w ɐ n e
Ioba	i j o p ə
Iokepa	i j o k ɛ p ə
Iona	i j o n ə
Ioredāne	i j o l e k aː n e
Ioʻela	i j o ʔ ɛ l ə
Iuda	j u k ə
Iulai	j u l ɐ j
Iulai	j u l ɛ j
Iune	j u n e
Iāpana	i j aː p ɐ n ə
Kahalaomāpuana	k ə h ɐ l ə o m aː p u w ɐ n ə
Kahale	k ə h ɐ l e
Kahananui	k ə h ɐ n ə n u w i
Kahaʻi	k ə h ɐ ʔ i
Kahealani	k ə h ɛ j ə l ɐ n i
Kahele	k ə h ɛ l ɛ
Kahiki	k ə h i t i
Kahoʻolawe	k ə h o ʔ o l ɐ ʋ e
Kahue	k ə h u w e
Kahula	k ə h u l ə
Kahului	k ə h u l u w i
Kai	k ɐ j
Kai	k ɛ j
Kaikana	k ə j k ɐ n ə
Kaila	k ɐ j l ə
Kaila	k ɛ j l ə
Kailani	k ə j l ɐ n i
Kaimana	k ə j m ɐ n ə
Kainalu	k ə j n ɐ l u
Kainoa	k ə j n o w ə
Kainui	k ə j n u w i
Kaipo	k ɐ j p o
Kaipo	k ɛ j p o
Kaiwi	k ɐ j ʋ i
Kaiwi	k ɛ j ʋ i
Kaka	k ɐ k ə
Kakalameko	k ə k ə l ə m ɛ k o
Kakalia	k ə k ə l i j ə
Kakalina	k ə k ə l i n ə
Kala	k ɐ l ə
Kalai	k ə l ɐ j
Kalai	k ə l ɛ j
Kalaikona	k ə l ə j k o n ə
Kalalaina	k ə l ə l ɐ j n ə
Kalalaina	k ə l ə l ɛ j n ə
Kalama	k ə l ɐ m ə
Kalani	k ə l ɐ n i
Kalawaiʻa	k ɐ l ə ʋ ɐ j ʔ ə
Kalawaiʻa	k ɐ l ə ʋ ɛ j ʔ ə
Kalaʻi	k ə l ɐ ʔ i
Kale	k ɐ l e
Kalehua	k ɐ l e h u w ə
Kalei	k ə l ɛ j
