Ⴁ	b
Ⴂ	ɡ
Ⴍ	ɔ
ა	a
ააბარგებს	a a b a r ɡ ɛ b s
ააგდებს	a a ɡ d ɛ b s
ააგიზგიზებს	a a ɡ i z ɡ i z ɛ b s
ააგო	a a ɡ ɔ
აადვილებს	a a d v i l ɛ b s
აალებადი	a a l ɛ b a d i
აალებული	a a l ɛ b u l i
აამებს	a a m ɛ b s
აბა	a b a
აბაზანა	a b a z a n a
აბაზაშვილი	a b a z a ʃ v i l i
აბაზი	a b a z i
აბაიაძე	a b a i a d͡z ɛ
აბაიშვილი	a b a i ʃ v i l i
აბაკი	a b a kʼ i
აბამს	a b a m s
აბანო	a b a n ɔ
აბანოზი	a b a n ɔ z i
აბაჟური	a b a ʒ u r i
აბარგება	a b a r ɡ ɛ b a
აბარებს	a b a r ɛ b s
აბასაშვილი	a b a s a ʃ v i l i
აბატი	a b a tʼ i
აბაშვილი	a b a ʃ v i l i
აბაშიშვილი	a b a ʃ i ʃ v i l i
აბგა	a b ɡ a
აბდაუბდა	a b d a u b d a
აბედი	a b ɛ d i
აბეზღებს	a b ɛ z ɣ ɛ b s
აბელაშვილი	a b ɛ l a ʃ v i l i
აბელი	a b ɛ l i
აბელიანი	a b ɛ l i a n i
აბეწვაშვილი	a b ɛ t͡sʼ v a ʃ v i l i
აბზაცი	a b z a t͡s i
აბზინდა	a b z i n d a
აბი	a b i
აბიაშვილი	a b i a ʃ v i l i
აბიბინებს	a b i b i n ɛ b s
აბინძურებს	a b i n d͡z u r ɛ b s
აბისონაშვილი	a b i s ɔ n a ʃ v i l i
აბლაბუდა	a b l a b u d a
აბლაგვებს	a b l a ɡ v ɛ b s
აბლაუტი	a b l a u tʼ i
აბმა	a b m a
აბო	a b ɔ
აბონემენტი	a b ɔ n ɛ m ɛ n tʼ i
აბონენტი	a b ɔ n ɛ n tʼ i
აბორიგენი	a b ɔ r i ɡ ɛ n i
აბრაგი	a b r a ɡ i
აბრაკადაბრა	a b r a kʼ a d a b r a
აბრალებს	a b r a l ɛ b s
აბრამაშვილი	a b r a m a ʃ v i l i
აბრამი	a b r a m i
აბრამიშვილი	a b r a m i ʃ v i l i
აბრევი	a b r ɛ v i
აბრევიატურა	a b r ɛ v i a tʼ u r a
აბრეშუმი	a b r ɛ ʃ u m i
აბრუნებს	a b r u n ɛ b s
აბრძანდება	a b r d͡z a n d ɛ b a
აბსოლუტიზმი	a b s ɔ l u tʼ i z m i
აბსოლუტურად	a b s ɔ l u tʼ u r a d
აბსოლუტური	a b s ɔ l u tʼ u r i
აბსტრაქტულად	a b s tʼ r a kʰ tʼ u l a d
აბსტრაქტული	a b s tʼ r a kʰ tʼ u l i
აბსტრაქცია	a b s tʼ r a kʰ t͡s i a
აბსურდულად	a b s u r d u l a d
აბსურდული	a b s u r d u l i
აბსურდულობა	a b s u r d u l ɔ b a
აბუაშვილი	a b u a ʃ v i l i
აბულაშვილი	a b u l a ʃ v i l i
აბურძგნილი	a b u r d͡z ɡ n i l i
აბუსერიძე	a b u s ɛ r i d͡z ɛ
აბშილავა	a b ʃ i l a v a
აბჯარი	a b d͡ʒ a r i
აგავა	a ɡ a v a
აგარა	a ɡ a r a
აგაშენაშვილი	a ɡ a ʃ ɛ n a ʃ v i l i
აგბობს	a ɡ b ɔ b s
აგდება	a ɡ d ɛ b a
აგდებს	a ɡ d ɛ b s
აგდებულად	a ɡ d ɛ b u l a d
აგდებული	a ɡ d ɛ b u l i
აგება	a ɡ ɛ b a
აგებინებს	a ɡ ɛ b i n ɛ b s
აგებს	a ɡ ɛ b s
აგეგმვა	a ɡ ɛ ɡ m v a
აგენტად	a ɡ ɛ n tʼ a d
აგენტი	a ɡ ɛ n tʼ i
აგენტით	a ɡ ɛ n tʼ i tʰ
აგენტის	a ɡ ɛ n tʼ i s
აგენტმა	a ɡ ɛ n tʼ m a
აგენტო	a ɡ ɛ n tʼ ɔ
აგენტს	a ɡ ɛ n tʼ s
აგენტურა	a ɡ ɛ n tʼ u r a
