ah	à ʔ
ahpi	à ʔ p ì
ahsa	à ʔ s ǎ
ai	a i̯ ˧˥
asa	a ˧ s a ˧
asi	a ˧ s i ˧
awl	ɔ l ˧
awm	ɔ m ˧˥
awp	ɔ p ˧˩
ba	b a ˧
ba	b a ˧˩
ban	b a n ˧˩
bang	b a ŋ ˧
bawl	b ɔ l ˧
bawu	b ɔ u̯ ˧
be	b e ˧˩
bi	b ǐ
bil	b i l ˧
bom	b o m ˧
bong	b ò ŋ
bongsa	b ò ŋ s ǎ
bu	b u ˧
bu	b u ˧˥
bu	b u ˧˩
chi	c i ˧
chi	c i ˧˩
chil	c i l ˧
ching	c i ŋ ˧
dah	d a ʔ ˧
dai	d a i̯ ˧
dai	d a i̯ ˧˥
dai	d a i̯ ˧˩
dong	d o ŋ ˧
dong	d o ŋ ˧˥
dong	d o ŋ ˧˩
ebane	ə ˧ b a ˧ n ə ˧
ebom	ə ˧ b o m ˧
eeh	ēː ʔ
eh	ē ʔ
ei	ə i̯ ˧
ekap	ə ˧ k a p ˧˥
ekel	ə ˧ k ə l ˧
eki	ə ˧ k i ˧˥
ema	ə ˧ m a ˧˩
ene	ə ˧ n e ˧
gal	ɡ a l ˧
galmi	ɡ a l ˧ m i ˧˩
gen	ɡ e n ˧
gil	ɡ i l ˧
gu	ɡ u ˧˩
gua	ɡ u ˧ w a ˧
guk	ɡ u k ˧˩
gukna	ɡ u k ˧˩ n a ˧
gul	ɡ u l ˧
ha	h a ˧
hai	h a i̯ ˧
hai	h a i̯ ˧˥
hai	h a i̯ ˧˩
hanmun	h a n ˧ m u n ˧
hi	h i ˧
hu	h u ˧
ikim	i ˧ k i m ˧
inn	ǐ n
ip	î p
jeng	ɟ ə ŋ ˧
jingekal	ɟ i ˧ ŋ ə ˧ k a l ˧
jong	ɟ o ŋ ˧
kai	k a i̯ ˧
kai	k a i̯ ˧˥
kai	k a i̯ ˧˩
kal	k a l ˧
kamkei	k a m ˧ k ə i̯ ˧
kap	k a p ˧˥
kel	k e l ˧˩
kel	k ə l ˧
ken	k e n ˧
keng	k e ŋ ˧
keng	k e ŋ ˧˥
keng	k e ŋ ˧˩
keng	k ə ŋ ˧
khat	kʰ a t ˧˩
khe	kʰ ə ˧
khet	kʰ ə t ˧˩
khetna	kʰ ə t ˧˩ n a ˧
khi	kʰ i ˧˩
ki	k i ˧˥
ki	k i ˧˩
kil	k i l ˧
kuo	k u ˧˥ o ˧
lei	l ə̀ j
lei	l ə́ j
lei	l ə̄ j
li	l ī
lo	l o ˧˩
lou	l o u̯ ˧
lou	l o u̯ ˧˥
lou	l o u̯ ˧˩
lu	l u ˧
mai	m a i̯ ˧
mei	m ə i̯ ˧˩
met	m ə t ˧
mit	m î t
ne	n e ˧
nga	ŋ a ˧
nga	ŋ a ˧˥
nga	ŋ a ˧˩
nu	n u ˧
oi	o i̯ ˧
om	o m ˧
op	o p ˧˥
pa	p a ˧
pa	p a ˧˥
pah	p a ʔ ˧
pai	p a i̯ ˧˥
pamme	p a m ˧ m e ˧
pe	p e ˧
pi	p i ˧
pon	p o n ˧
pu	p u ˧
puon	p u ˧ w o n ˧˥
reng	r ə ŋ ˧
sa	s à
sa	s â
sa	s ǎ
savun	s à v ǔ n
segi	s ə ˧ ɡ i ˧˥
si	s i ˧˩
sim	s î m
sing	s i ŋ ˧˥
som	s o m ˧˩
ta	t a ˧
thum	tʰ u m ˧
tui	t û j
ui	ù j
ule	u ˧ l e ˧
va	v a ˧˥
vasa	v à s ǎ
ven	v ə n ˧
vik	v i k ˧
vok	v ô k
voksa	v ò k s ǎ
vun	v u n ˧˥
