ảo	aː w ³
bẳng	ɓ a ŋ ³
bỏi	ɓ ɔ j ³
ca	k aː ¹
cả	k aː ³
cách	k a c ⁶
caích	k aː c ⁶
cảng	k aː ŋ ³
cảo	k aː w ³
cảu	k a w ³
câl	k ə l ¹
chẳm	c a m ³
chân	c ə n ¹
chẻ	c ɛ ³
chểl	c e l ³
chỉa	c i ə ³
chía	c i ə ⁶
chiễn	c i ə n ⁴
chim	c i m ¹
chỉn	c i n ³
chỏ	c ɔ ³
Chỡ	c əː ⁴
chơl	c əː l ¹
chớp	c əː p ⁶
chữ	c ɨ ⁴
cốch	k o c ⁶
cơng	k əː ŋ ¹
cúi	k u j ⁵
cuông	k w o ŋ ¹
dã	j aː ⁴
diễnh	j i ə ɲ ⁴
đả	ɗ aː ³
đác	ɗ aː k ⁶
đảinh	ɗ aː ɲ ³
đao	ɗ aː w ¹
đãy	ɗ a j ⁴
đăm	ɗ a m ¹
đoc	d ɔ k ⁷
đố	ɗ o ⁵
đưới	ɗ ɨ ə j ⁵
é	ʔ ɛ ⁵
gach	ɡ a c ⁷
gể	ɣ e ³
hal	h aː l ¹
hang	h aː ŋ ¹
hảo	h aː w ³
ho	h ɔ ¹
hỏl	h ɔ l ³
hôm	h o m ¹
hỗng	h o ŋ ⁴
hủl	h u l ³
iếch	ʔ i ə c ⁶
kéch	k ɛ k ⁶
kènh	k ɛ ɲ ²
kếch	k e c ⁵
khả	kʰ aː ³
khã	kʰ aː ⁴
khách	kʰ a c ⁶
khảng	kʰ aː ŋ ³
khao	kʰ aː w ¹
khảu	kʰ a w ³
khãu	kʰ a w ⁴
khày	kʰ a j ²
khấc	kʰ ə k ⁶
khây	kʰ ə j ¹
khể	kʰ e ³
khênh	kʰ e ɲ ¹
khễnh	kʰ e ɲ ⁴
khỏl	kʰ ɔ l ³
khõm	kʰ ɔ m ⁴
không	kʰ o ŋ ¹
khu	kʰ u ¹
khủ	kʰ u ³
khũ	kʰ u ⁴
khuỗng	kʰ w o ŋ ⁴
khuya	kʰʷ i ə ¹
khữ	kʰ ɨ ⁴
kim	k i m ¹
là	l aː ²
lả	l aː ³
lãi	l aː j ⁴
lãl	l a l ⁴
lằm	l a m ²
lẽ	l ɛ ⁴
lỉ	l i ³
lòm	l ɔ m ²
lốc	l o k ⁵
lổm	l o m ³
lu	l u ¹
lươnh	l ɨ ə ɲ ¹
maích	m aː c ⁶
màl	m aː l ²
măt	m a t ⁷
mắt	m a t ⁶
mâc	m ə k ⁷
mầl	m ə l ²
mèo	m ɛ w ²
mòl	m ɔ l ²
mõl	m ɔ l ⁴
mốc	m o k ⁶
môch	m o c ⁷
mỗl	m o l ⁴
mỗng	m oː ŋ ⁴
mởi	m əː j ³
mờng	m əː ŋ ²
muổng	m w o ŋ ³
mườl	m ɨ ə l ²
nà	n aː ²
nhãm	ɲ aː m ⁴
nhỗn	ɲ o n ⁴
nhúc	ɲ u k ⁶
nỏ	n ɔ ³
nu	n u ¹
ỏng	ɔ ŋ ³
pa	p aː ¹
pải	p aː j ³
pàng	p aː ŋ ²
páy	p a j ⁵
păl	p a l ¹
pẳn	p a n ³
pần	p ə n ²
pẫu	p ə w ⁴
pế	p e ⁵
pểl	p e l ³
pển	p e n ³
phân	pʰ ə n ¹
põ	p ɔ ⁴
pó	p ɔ ⁵
pổ	p o ³
pỗ	p o ⁴
pốch	p o c ⁶
pôl	p o l ¹
pổl	p o l ³
pổn	p o n ³
pớ	p əː ⁵
pũn	p u n ⁴
quang	k w aː ŋ ¹
quêl	k w e l ¹
rác	ɹ aː k ⁶
rầng	r ə ŋ ²
rề	r e ²
rồng	r o ŋ ²
tach	t a c ⁷
tái	t aː j ⁵
Tảo	t aː w ³
tảy	t a j ³
táy	t a j ⁵
tắc	t a k ⁶
tẳng	t a ŋ ³
tất	t ə t ⁶
tếch	t e c ⁶
tểm	t e m ³
thảm	tʰ aː m ³
thảnh	tʰ a ɲ ³
thắc	tʰ a k ⁶
thằm	tʰ a m ²
thẳm	tʰ a m ³
thiểng	tʰ i ə ŋ ³
thim	tʰ i m ¹
thô	tʰ o ¹
thốch	tʰ o c ⁶
thổl	tʰ o l ³
thôn	tʰ o n ¹
ti	t i ¹
tlải	t l aː j ³
tlăm	t l a m ¹
tlăn	t l a n ¹
tlăng	t l a ŋ ¹
tlẳng	t l a ŋ ³
tlẻ	t l ɛ ³
tlồng	t l o ŋ ²
tlỗng	t l o ŋ ⁴
tlời	t l əː j ²
tlởng	t l əː ŋ ³
tlu	t l u ¹
tlù	t l u ²
tlước	t l ɨ ə k ⁶
tóc	t ɔ k ⁶
tôl	t o l ¹
vỏng	v ɔ ŋ ³
wa	w aː ¹
wàng	w aː ŋ ²
wãnh	w a ɲ ⁴
wè	w ɛ ²
wẽ	w ɛ ⁴
wẻn	w ɛ n ³
wềl	w e l ²
wò	w ɔ ²
woc	w ɔ k ⁷
woi	w ɔ j ¹
xả	s aː ³
xân	s ə n ¹
xiêng	s i ə ŋ ¹
xỏ	s ɔ ³
