Ѓ	ɟ ə
Ѓаковица	ɟ a k ɔ v i t͡s a
Ѓер	ɟ ɛ r
Ѓеро	ɟ ɛ ɾ ɔ
Ѓерѓ	ɟ ɛ r c
Ѓерѓи	ɟ ɛ r ɟ i
Ѓоко	ɟ ɔ k ɔ
Ѓоре	ɟ ɔ ɾ ɛ
Ѓорче	ɟ ɔ r t͡ʃ ɛ
Ѓорѓи	ɟ ɔ r ɟ i
Ѓорѓија	ɟ ɔ r ɟ i j a
Ѓуптин	ɟ u p t i n
Ѓуптинка	ɟ u p t i ŋ k a
Ѓурчин	ɟ u r t͡ʃ i n
Ѓурѓа	ɟ u r ɟ a
Ѓурѓина	ɟ u r ɟ i n a
Ѓурѓица	ɟ u r ɟ i t͡s a
Ѕ	d͡z ə
Ѕвезда	d͡z v ɛ z d a
Ѕвездан	d͡z v ɛ z d a n
Ѕвездана	d͡z v ɛ z d a n a
Ѕвонко	d͡z v ɔ ŋ k ɔ
Ѕугра	d͡z u ɡ r a
Ј	j ə
ЈНА	j ə n ə a
Јава	j a v a
ЈаваСкрипт	j a v a s k r i p t
Јаворени	j a v ɔ ɾ ɛ n i
Јаворјани	j a v ɔ r j a n i
Јагода	j a ɡ ɔ d a
Јадран	j a d r a n
Јадране	j a d r a n ɛ
Јадранка	j a d r a ŋ k a
Јадранот	j a d r a n ɔ t
Јаков	j a k ɔ f
Јалта	j a ɫ t a
Јамајка	j a m a j k a
Јамајчанец	j a m a j t͡ʃ a n ɛ t͡s
Јамајчанка	j a m a j t͡ʃ a ŋ k a
Јан	j a n
Јана	j a n a
Јангон	j a ŋ ɡ ɔ n
Јане	j a n ɛ
Јанка	j a ŋ k a
Јанко	j a ŋ k ɔ
Јапонец	j a p ɔ n ɛ t͡s
Јапонија	j a p ɔ n i j a
Јапонијо	j a p ɔ n i j ɔ
Јапонка	j a p ɔ ŋ k a
Јапонче	j a p ɔ n t͡ʃ ɛ
Јарен	j a ɾ ɛ n
Јасберењ	j a z b ɛ ɾ ɛ ɲ
Јасенка	j a s ɛ ŋ k a
Јасмина	j a s m i n a
Јасминка	j a s m i ŋ k a
Јасна	j a s n a
Јаунде	j a u n d ɛ
Јемен	j ɛ m ɛ n
Јеменец	j ɛ m ɛ n ɛ t͡s
Јеменка	j ɛ m ɛ ŋ k a
Јоаким	j ɔ a k i m
Јоана	j ɔ a n a
Јован	j ɔ v a n
Јована	j ɔ v a n a
Јованка	j ɔ v a ŋ k a
Јованов	j ɔ v a n ɔ f
Јовановски	j ɔ v a n ɔ f s k i
Јованоски	j ɔ v a n ɔ s k i
Јода	j ɔ d a
Јоле	j ɔ l ɛ
Јорда	j ɔ r d a
Јордан	j ɔ r d a n
Јордана	j ɔ r d a n a
Јорданец	j ɔ r d a n ɛ t͡s
Јорданка	j ɔ r d a ŋ k a
Јорданов	j ɔ r d a n ɔ f
Јорде	j ɔ r d ɛ
Јосиф	j ɔ s i f
Јоцо	j ɔ t͡s ɔ
Југославија	j u ɡ ɔ s ɫ a v i j a
Југословен	j u ɡ ɔ s ɫ ɔ v ɛ n
Југословени	j u ɡ ɔ s ɫ ɔ v ɛ n i
Југословенка	j u ɡ ɔ s ɫ ɔ v ɛ ŋ k a
Југословенки	j u ɡ ɔ s ɫ ɔ v ɛ ŋ k i
Југословенче	j u ɡ ɔ s ɫ ɔ v ɛ n t͡ʃ ɛ
Јужноамериканец	j u ʒ n ɔ a m ɛ r i k a n ɛ t͡s
Јужноамериканка	j u ʒ n ɔ a m ɛ r i k a ŋ k a
Јужноафриканец	j u ʒ n ɔ a f r i k a n ɛ t͡s
Јужноафриканка	j u ʒ n ɔ a f r i k a ŋ k a
Јужнокореец	j u ʒ n ɔ k ɔ ɾ ɛ ɛ t͡s
Јужнокорејка	j u ʒ n ɔ k ɔ ɾ ɛ j k a
Јуле	j u l ɛ
Јулија	j u l i j a
Јупитер	j u p i t ɛ r
Јута	j u t a
Љ	ʎ ə
Љубица	ʎ u b i t͡s a
Љубомир	ʎ u b ɔ m i r
Љубљана	ʎ u b ʎ a n a
Љупка	ʎ u p k a
Љупчо	ʎ u p t͡ʃ ɔ
Њ	ɲ ə
Њиреѓхаза	ɲ i r ɛ c x a z a
Њујорк	ɲ u j ɔ r k
Ќ	c ə
Ќаба	c a b a
Ќебаковски	c ɛ b a k ɔ f s k i
Ќебакоски	c ɛ b a k ɔ s k i
Ќирил	c i ɾ i ɫ
Ќорвезироски	c ɔ r v ɛ z i ɾ ɔ s k i
Ќортошев	c ɔ r t ɔ ʃ ɛ f
Ќосев	c ɔ s ɛ f
Ќосевски	c ɔ s ɛ f s k i
Ќосески	c ɔ s ɛ s k i
Џ	d͡ʒ ə
Џакарта	d͡ʒ a k a r t a
Џексон	d͡ʒ ɛ k s ɔ n
Џенова	d͡ʒ ɛ n ɔ v a
Џеферсон	d͡ʒ ɛ f ɛ r s ɔ n
Џибути	d͡ʒ i b u t i
Џибутјанец	d͡ʒ i b u t j a n ɛ t͡s
Џибутјанка	d͡ʒ i b u t j a ŋ k a
Џивџи	d͡ʒ i v d͡ʒ i
Џо	d͡ʒ ɔ
Џонсон	d͡ʒ ɔ n s ɔ n
Џорџија	d͡ʒ ɔ r d͡ʒ i j a
Џорџтаун	d͡ʒ ɔ r t͡ʃ t a u n
Џуба	d͡ʒ u b a
А	a
АСНОМ	a s n ɔ m
Абиџа	a b i d͡ʒ a
Абхазиец	a p x a z i j ɛ t͡s
Абхазија	a p x a z i j a
Абхазијка	a p x a z i j k a
Абхазијки	a p x a z i j k i
Абхазијци	a p x a z i j t͡s i
Авганистан	a v ɡ a n i s t a n
Авганистанец	a v ɡ a n i s t a n ɛ t͡s
Авганистанка	a v ɡ a n i s t a ŋ k a
Авганистанки	a v ɡ a n i s t a ŋ k i
Авганистанци	a v ɡ a n i s t a n t͡s i
Авел	a v ɛ ɫ
Авињон	a v i ɲ ɔ n
Аврам	a v r a m
Аврора	a v r ɔ ɾ a
Австралиец	a f s t r a l i j ɛ t͡s
Австралија	a f s t r a l i j a
Австралијка	a f s t r a l i j k a
Австралијки	a f s t r a l i j k i
Австралијци	a f s t r a l i j t͡s i
Австриец	a f s t r i j ɛ t͡s
Австрија	a f s t r i j a
Австријка	a f s t r i j k a
Австријки	a f s t r i j k i
Австријци	a f s t r i j t͡s i
Ад	a t
Адам	a d a m
Адана	a d a n a
Азербајџан	a z ɛ r b a j d͡ʒ a n
Азербејџан	a z ɛ r b ɛ j d͡ʒ a n
Азербејџанец	a z ɛ r b ɛ j d͡ʒ a n ɛ t͡s
Азербејџанка	a z ɛ r b ɛ j d͡ʒ a ŋ k a
Азербејџанки	a z ɛ r b ɛ j d͡ʒ a ŋ k a
Азербејџанци	a z ɛ r b ɛ j d͡ʒ a n t͡s i
Азиец	a z i j ɛ t͡s
Азија	a z i j a
Азијат	a z i j a t
Азијати	a z i j a t i
Азијатка	a z i j a t k a
Азијатки	a z i j a t k i
Азијка	a z i j k a
Азијки	a z i j k i
Азијци	a z i j t͡s i
Акра	a k r a
Алабама	a ɫ a b a m a
Алах	a ɫ a x
Албанец	a ɫ b a n ɛ t͡s
Албанија	a ɫ b a n i j a
Албанка	a ɫ b a ŋ k a
Албанци	a ɫ b a n t͡s i
Албанче	a ɫ b a n t͡ʃ ɛ
Александар	a l ɛ k s a n d a r
Александра	a l ɛ k s a n d r a
Алжир	a ɫ ʒ i r
Алжирец	a ɫ ʒ i ɾ ɛ t͡s
Алжирка	a ɫ ʒ i r k a
Алжирче	a ɫ ʒ i r t͡ʃ ɛ
Али	a l i
Алибаба	a l i b a b a
Алиев	a l i j ɛ f
Алиевски	a l i j ɛ f s k i
Алиески	a l i j ɛ s k i
Алина	a l i n a
Алиов	a l i j ɔ f
Алиовски	a l i j ɔ f s k i
Алиоски	a l i j ɔ s k i
Алија	a l i j a
Алијев	a l i j ɛ f
Алијевски	a l i j ɛ f s k i
Алијески	a l i j ɛ s k i
Алијов	a l i j ɔ f
Алијовски	a l i j ɔ f s k i
Алијоски	a l i j ɔ s k i
Алпи	a ɫ p i
Алјаска	a ʎ a s k a
Алјасканец	a ʎ a s k a n ɛ t͡s
Алјасканка	a ʎ a s k a ŋ k a
Амазон	a m a z ɔ n
Аман	a m a n
Америка	a m ɛ ɾ i k a
Американец	a m ɛ r i k a n ɛ t͡s
Американец	a m ɛ ɾ i k a n ɛ t͡s
Американка	a m ɛ r i k a ŋ k a
Американка	a m ɛ ɾ i k a ŋ k a
Американки	a m ɛ r i k a ŋ k i
Американци	a m ɛ r i k a n t͡s i
Американците	a m ɛ ɾ i k a n t͡s i t ɛ
Американче	a m ɛ r i k a n t͡ʃ ɛ
Америко	a m ɛ ɾ i k ɔ
Амстердам	a m s t ɛ r d a m
Ана	a n a
Анадолија	a n a d ɔ l i j a
Анастасија	a n a s t a s i j a
Ангел	a ŋ ɡ ɛ ɫ
Ангела	a ŋ ɡ ɛ ɫ a
Ангеле	a ŋ ɡ ɛ l ɛ
Ангелина	a ŋ ɡ ɛ l i n a
Англичанец	a ŋ ɡ l i t͡ʃ a n ɛ t͡s
Англичанка	a ŋ ɡ l i t͡ʃ a ŋ k a
Англичанче	a ŋ ɡ l i t͡ʃ a n t͡ʃ ɛ
Англија	a ŋ ɡ l i j a
Англосаксонец	a ŋ ɡ ɫ ɔ s a k s ɔ n ɛ t͡s
Англосаксонка	a ŋ ɡ ɫ ɔ s a k s ɔ ŋ k a
Ангола	a ŋ ɡ ɔ ɫ a
Анголец	a ŋ ɡ ɔ l ɛ t͡s
Анголка	a ŋ ɡ ɔ ɫ k a
Анди	a n d i
Андора	a n d ɔ ɾ a
Андорец	a n d ɔ ɾ ɛ t͡s
Андорка	a n d ɔ r k a
Андреа	a n d r ɛ a
Андреј	a n d r ɛ j
Андромаха	a n d r ɔ m a x a
Анета	a n ɛ t a
Анита	a n i t a
Анка	a ŋ k a
Анкара	a ŋ k a ɾ a
