'ntós	n t o s
'star	s t a ɾ
'sti	s t i
abadexu	a b a d e ʃ u
abandonar	a b a n d o n a ɾ
abandonáis	a b a n d o n a i̯ s
abandonáu	a b a n d o n a u̯
abangavigues	a b a n ɡ a b i ɡ e s
abanicu	a b a n i k u
abater	a b a t e ɾ
abatir	a b a t i ɾ
abaxo	a b a ʃ o
abdicación	a b d i k a θ j o n
abdicáis	a b d i k a i̯ s
abdicáu	a b d i k a u̯
abdome	a b d o m e
abducíu	a b d u θ i u
abecedariu	a b e θ e d a ɾ j u
abegosu	a b e ɡ o s u
abelecáu	a b e l e k a u̯
abellota	a b e ʎ o t a
abellugu	a b e ʎ u ɡ u
abenayá	a b e n a ʝ a
abeya	a b e ʝ a
abeyeru	a b e ʝ e ɾ u
abeyes	a b e ʝ e s
abeyota	a b e ʝ o t a
abeyón	a b e ʝ o n
abeḷḷugu	a b e t͡ʂ u ɡ u
abierta	a b j e ɾ t a
abiertamente	a b j e ɾ t a m e n t e
abiertes	a b j e ɾ t e s
abierto	a b j e ɾ t o
abiertos	a b j e ɾ t o s
abiertu	a b j e ɾ t u
Abillés	a b i ʎ e s
ablana	a b l a n a
ablanal	a b l a n a l
ablanéu	a b l a n e u̯
ablucamientu	a b l u k a m j e n t u
ablucáu	a b l u k a u̯
abocanar	a b o k a n a ɾ
abogada	a b o ɡ a d a
abogáu	a b o ɡ a u̯
abolida	a b o l i d a
abolía	a b o l i a
abolíu	a b o l i u
abondancia	a b o n d a n θ j a
abondoceo	a b o n d o θ e o
abondu	a b o n d u
abonducéu	a b o n d u θ e u̯
abonáu	a b o n a u̯
aborrecer	a b o r e θ e ɾ
abotonar	a b o t o n a ɾ
abotonáu	a b o t o n a u̯
abreviatura	a b ɾ e b j a t u ɾ a
abril	a b ɾ i l
abrir	a b ɾ i ɾ
abruxar	a b ɾ u ʃ a ɾ
abruxáu	a b ɾ u ʃ a u̯
absorbíu	a b s o ɾ b i u
absueltu	a b s w e l t u
aburríu	a b u r i u
abusivu	a b u s i b u
abxasu	a b ʃ a s u
acababa	a k a b a b a
acabar	a k a b a ɾ
acabose	a k a b o s e
académicu	a k a d e m i k u
acarréu	a k a r e u̯
acastellanada	a k a s t e ʎ a n a d a
