ⲁ⸗	ɑ
ⲁⲓⲁⲓ	ɑ j ɑ j
ⲁⲃⲱⲕ	a β oː k
ⲁⲃⲟⲧ	a β ɔ t
ⲁⲇⲱⲛⲓⲥ	a d ɔː n i s
ⲁⲑⲱⲙ	a tʰ oː m
ⲁⲑⲱⲙ	a d u m
ⲁⲑⲱⲙ	a θ o m
ⲁⲑⲏⲛⲁ	a t h ɛː n a
Ⲁⲑⲩⲛⲁ	a t h uː n a
ⲁⲑⲛⲁϩϯ	a tʰ n a h t ə
ⲁⲉⲓⲕ	a j k
ⲁⲉⲓⲕ	a j k
ⲁⲓⲕ	a j k
ⲁⲓⲕ	aː i̯ k
ⲁⲗⲟⲩ	a l uː ʔ
ⲁⲗⲁⲁⲗⲓ	a l a ʔ l i
ⲁⲗⲁⲗⲓ	a l a ʔ l i
ⲁⲗⲟⲗⲓ	a l o ʔ l ə
ⲁⲗⲱⲙ	a l oː m
ⲁⲗⲱⲟⲩⲓ	a l oː w ə
ⲁⲗⲟϫ	a l o t͡ʃ
ⲁⲗⲟϫ	a l u ɟ
ⲁⲗⲟϫ	a l o ɡ
ⲁⲗⲟϭ	a l o kʲ
ⲁⲙⲗⲏ	a m l ɛ ʔ
ⲁⲙⲙⲱⲛ	a m ɔ n
ⲁⲙⲟⲩⲛ	a m uː n
ⲁⲙⲱⲛ	a m ɔː n
ⲁⲙⲣⲉ	a m r e ʔ
ⲁⲙⲣⲉ	a m r a ʔ
ⲁⲙⲣⲉ	a m r e
ⲁⲙⲁϩⲓ	a m a ʔ h ə
ⲁⲙⲁϩⲓ	a m a ʔ h a
ⲁⲙⲁϩⲓ	a m a h i
ⲁⲛⲟⲩⲃ	a n u b
ⲁⲛⲟⲩⲃ	a n u b
ⲁⲛⲟⲩⲃ	a n u v
ⲁⲛⲍⲏⲃ	a n s eː b
ⲁⲛⲑⲁϣ	a n tʰ a ʃ
ⲁⲛⲟⲕ	a n ɔ k
ⲁⲛⲟⲛ	ʔ a n o n
ⲁⲛⲟⲩⲡ	a n u p
ⲁⲛⲥⲏⲃⲉ	a n s eː β ə
ⲁⲛⲧⲱⲣⲓ	a n tʼ oː ɾ ə
ⲁⲛⲧⲱⲟⲩ	a n tʼ oː u̯
ⲁⲛⲧⲁϣ	a n t a ʃ
ⲁⲛⲁϣ	a n a ʃ
Reconstruction:Coptic/ⲁⲛϩⲟⲩⲣⲓ	a n h uː ɾ ə
ⲁⲛⲁⳉ	a n a x
ⲁⲡⲉ	a p e ʔ
ⲁⲣⲓⲁⲇⲛⲏ	a r i a d n ɛː
ⲁⲣⲓⲕⲉ	ʔ a r i k ɛ
ⲁⲣⲏⲥ	ɑ ɾ ɪ s
Reconstruction:Coptic/ⲁⲣⲏⲥⲁⲛϩⲟⲩⲣⲉ	a r ɛ s a n u r ə
ⲁⲣⲏⲩ	ʔ a r eː w
ⲁⲣϣⲓⲛ	ʔ a ɾ ʃ iː n
ⲁⲥⲕⲗⲏⲡⲓⲟⲥ	a s k l e p i ɔ s
ⲁⲥⲡⲉ	a s p ə
ⲁⲥⲡⲓ	a s p ə
ⲁⲥⲫⲟⲩⲓ	a s pʰ w i
ⲁⲧⲟⲩⲙ	a t u m
ⲁⲧⲟⲟⲩⲓ	a tʼ o ʔ w ə
ⲁⲧϭⲛⲉ	a t t͡ʃʰ n e ʔ
ⲁⲧϭⲛⲉ	a t ʃ n a ʔ
ⲁⲧϭⲛⲉ	a t t͡ʃ n e
ⲁⲩⲱ	ʔ a w ɔː
ⲁⲩⲗⲏ	a w l eː ʔ
ⲁⲟⲩⲁⲛ	ɑ w ɑ n
ⲁⲟⲩⲏⲛ	a w e n
ⲁⲟⲩⲓⲛ	a w iː n
ⲁⲟⲩⲓⲛ	a w i n
ⲁⲩϯ	ʔ a u̯ t iː ʔ
ⲁⲫⲉ	ʔ a pʰ e ʔ
ⲁⲫⲉ	ʔ a b a ʔ
