'da	d a
't	t
'wan	w a n
Abril	ʔ ɐ b ɾ i l
Acosta	ʔ ɐ k o s t a
Agbulos	ʔ ɐ ɡ b u l o s
Agbunag	ʔ ɐ ɡ b u n a ɡ
Agcaoili	ʔ ɐ ɡ k ɐ w i l i
Aglipay	ʔ ɐ ɡ l i p a ɪ̯
Agpaoa	ʔ ɐ ɡ p a w a
Agsalud	ʔ ɐ ɡ s a l u d
Agtarap	ʔ ɐ ɡ t ɐ ɾ a p
Alcala	ʔ ɐ l k ɐ l a
Allasitan	ʔ ɐ l l ɐ s i t a n
Amami	ʔ ɐ m a m i
Aringay	ʔ ɐ ɾ i ŋ ɡ a ɪ̯
Asin	ʔ ɐ s i n
Atok	ʔ ɐ t o k
Azurin	ʔ ɐ s u ɾ i n
BLISTT	b l i s t
Bagaoisan	b ɐ ɡ ɐ w i s a n
Baguio	b ɐ ɡ j o
Bakakeng	b ɐ k a k e ŋ
Bakakeng	b ɐ k a k ɯ ŋ
Bakun	b ɐ k u n
Banaoang	b ɐ n a w a ŋ
Bangued	b ɐ ŋ e d
Bangued	b ɐ ŋ ɡ e d
Barlig	b ɐ ɾ l i ɡ
Barroga	b ɐ r o ɡ a
Batallones	b ɐ t ɐ ʎ o n e s
Bauang	b ɐ w a ŋ
Bauko	b ɐ ʔ u k o
Bautista	b a ʊ̯ t i s t a
Bayombong	b ɐ j o m b o ŋ
Beckel	b ɯ k k ɯ l
Bersamina	b e ɾ s ɐ m i n a
Besao	b ɯ s a ʊ̯
Bidduang	b i d d w ɐ ŋ
Biernes	b j e ɾ n e s
Boliney	b o l i n e ɪ̯
Boliney	b o l i n ɯ ɪ̯
Bontoc	b o n t o k
Brookside	b ɾ u k s a ɪ̯ d
Bucaneg	b u k a n e ɡ
Bucaneg	b u k a n ɯ ɡ
Bucay	b u k a ɪ̯
Bucloc	b u k l o k
Bulalayao	b u l ɐ l ɐ j a o
Bulosan	b u l o s a n
Bumanglag	b u m a ŋ l a ɡ
Bumanglag	b u m ɐ ŋ l a ɡ
Burgos	b u ɾ ɡ o s
Burnham	b u ɾ n h ɐ m
Caasi	k ɐ a s i
Cabanatuan	k ɐ b ɐ n ɐ t w ɐ n
Cabaroan	k ɐ b ɐ ɾ o ɐ n
Cagayan	k ɐ ɡ a ɪ̯ ʔ a n
Cagayan	k ɐ ɡ ɐ j a n
Camdas	k ɐ m d a s
Cardenas	k ɐ ɾ d e n a s
Casilagan	k ɐ s i l a ɡ a n
Castillo	k ɐ s t i l j o
Cruz	k ɾ u s
Cuyapo	k u j ɐ p o
Daguioman	d ɐ ɡ i ʊ̯ m a n
Daguioman	d ɐ ɡ j o m a n
Dancel	d ɐ n s e l
Danglas	d ɐ ŋ l a s
Daquioag	d ɐ k i w a ɡ
Data	d ɐ t a
Dominggo	d o m i n ɡ o
Domingo	d o m i n ɡ o
Ducusin	d u k u s i n
Duldulao	d u l d u l a ʊ̯
Dumlao	d u m l a ʊ̯
Echague	ʔ e t͡ʃ a ɡ e
Escoda	ʔ e s k o d a
Fariñas	f ɐ ɾ i ɲ ɐ s
Fonacier	f o n a s j e ɾ
Gacusan	ɡ ɐ k u s a n
Gacutan	ɡ ɐ k u t a n
Galicinao	ɡ ɐ l i s i n a ʊ̯
Gamiao	ɡ ɐ m j a ʊ̯
Gaoiran	ɡ ɐ w i ɾ a n
Garalde	ɡ ɐ ɾ a l d e
Garcia	ɡ ɐ ɾ s i ɐ
Gresia	ɡ ɾ e ʃ a
Hillside	h i l s a ɪ̯ d
Huebes	h w e b e s
Igorotak	ʔ i ɡ o ɾ o t a k
Irisan	ʔ i ɾ i s a n
Kankanaey	k ɐ n k ɐ n a ʔ e ɪ̯
Kankanaey	k ɐ n k ɐ n a ʔ ɯ ɪ̯
Kias	k i j a s
Kias	k j ɐ s
Kibungan	k i b u ŋ a n
Kristianismo	k ɾ i s t͡ʃ ɐ n i s m o
Kristiano	k ɾ i s t j a n o
Kuaresma	k w ɐ ɾ e s m a
Lacub	l ɐ k u b
Lagangilang	l ɐ ɡ ɐ ŋ i l a ŋ
Lagayan	l ɐ ɡ a j a n
Lagmay	l ɐ ɡ m a ɪ̯
Langiden	l ɐ ŋ i d e n
Lapeña	l ɐ p e ɲ ɐ
Leaño	l e a ɲ o
Libtong	l i b t o ŋ
Llanes	ʎ ɐ n e s
Loakan	l o w a k a n
Lopez	l o p e s
Luba	l u b a
Lucban	l u k b a n
Lucnab	l u k n a b
Lunes	l u n e s
Lupao	l u p a ʊ̯
Madarang	m ɐ d a ɾ a ŋ
Madriaga	m ɐ d ɾ j a ɡ a
Malibcong	m ɐ l i b k o ŋ
Mamaclay	m ɐ m ɐ k l a ɪ̯
Mamuad	m ɐ m w ɐ d
Manabo	m ɐ n a b o
Manglicmot	m ɐ ŋ l i k m o t
Mankayan	m ɐ ŋ k a j a n
Marso	m ɐ ɾ s o
Martes	m ɐ ɾ t e s
Martinez	m ɐ ɾ t i n e s
Mayo	m ɐ j o
Mierkoles	m j e ɾ k o l e s
Naguey	n ɐ ɡ ɯ ɪ̯
Namarsua	n ɐ m ɐ ɾ s w ɐ
Natonin	n ɐ t o n i n
Okinawa	ʔ o k i n n a w a
Oktubre	ʔ o k t u b ɾ e
Pacdal	p ɐ k d a l
Pagaduan	p ɐ ɡ a d w ɐ n
Pagdilao	p ɐ ɡ d i l a ʊ̯
Paguirigan	p ɐ ɡ i ɾ i ɡ a n
Panagbenga	p ɐ n ɐ ɡ b ɯ ŋ a
Panagbenga	p ɐ n ɐ ɡ b ɯ ŋ ŋ a
Paoay	p ɐ w a ɪ̯
Paracelis	p ɐ ɾ ɐ s e l i s
Pascua	p ɐ s k w ɐ
Pasdong	p ɐ s d o ŋ
Paskua	p ɐ s k w ɐ
Pebrero	p e b ɾ e ɾ o
Peralta	p e ɾ a l t a
Peñarrubia	p e ɲ ɐ r u b j ɐ
Pidigan	p i d i ɡ a n
Pilar	p i l a ɾ
Pingad	p i ŋ a d
Pinget	p i ŋ e t
Pinget	p i ŋ ɯ t
Pinsao	p i n s a ʊ̯
Puguis	p u ɡ i s
Raguindin	ɾ ɐ ɡ i n d i n
Ramirez	ɾ ɐ m i ɾ e s
Ramos	ɾ ɐ m o s
Raquepo	ɾ ɐ k e p o
Rigonan	ɾ i ɡ o n a n
Rumbaoa	ɾ u m b a w a
Sabado	s ɐ b ɐ d o
Sabangan	s ɐ b a ŋ a n
Sablan	s ɐ b l a n
Sadanga	s ɐ d ɐ ŋ ɡ a
Sagada	s ɐ ɡ a d a
Salazar	s ɐ l ɐ s a ɾ
Sallapadan	s ɐ l l ɐ p a d a n
Salomague	s ɐ l o m a ɡ w e
Sanchez	s ɐ n t͡ʃ e s
Sanglay	s ɐ ŋ l a ɪ̯
Saud	s ɐ ʔ u d
Setiembre	s e t͡ʃ e m b ɾ e
Singson	s i ŋ s o n
Subec	s u b e k
Tacder	t ɐ k d e ɾ
Tacder	t ɐ k d ɯ ɾ
Tacderan	t ɐ k d e ɾ a n
Tacderan	t ɐ k d ɯ ɾ a n
Tadian	t ɐ d d͡ʒ ɐ n
Tamayo	t ɐ m a j o
Tayum	t ɐ j u m
Tineg	t i n e ɡ
Tineg	t i n ɯ ɡ
Trancoville	t ɾ ɐ ŋ k o b i l
Tublay	t u b l a ɪ̯
Tubo	t u b o
Tuguegarao	t u ɡ e ɡ ɐ ɾ a ʊ̯
Tumacder	t u m a k d e ɾ
Tumacder	t u m a ɡ d e ɾ
Tumagos	t u m a ɡ o s
Ulep	ʔ u l e p
Ulep	ʔ u l ɯ p
Valdez	b ɐ l d e s
Villaviciosa	b i ʎ ɐ b i s i j o s a
Villaviciosa	b i ʎ ɐ b i ʃ o s a
Viloria	b i l o ɾ j ɐ
Wangal	w ɐ ŋ a l
Yadao	j ɐ d a ʊ̯
a'n	ʔ ɐ n
aan	ʔ ɐ ɐ n
abagat	ʔ ɐ b a ɡ a t
abaka	ʔ ɐ b ɐ k a
abutra	ʔ ɐ b u t ɾ a
adal	ʔ ɐ d a l
adalem	ʔ ɐ d a l e m
adalem	ʔ ɐ d a l ɯ m
adayo	ʔ ɐ d ɐ j o
adda	ɐ d d a
addayo	ɐ d d ɐ j u
adhetibo	ʔ ɐ d h e t i b o
adigi	ʔ ɐ d i ɡ i
adipen	ʔ ɐ d i p ɛ n
adipen	ʔ ɐ d i p ɯ n
adjetivo	ʔ ɐ d h e t i b o
agadal	ʔ ɐ ɡ a d a l
aganak	ʔ ɐ ɡ ɐ n a k
agarak	ʔ ɐ ɡ a ɾ a k
agarak	ʔ ɐ ɡ ɐ ɾ a k
agari	ʔ ɐ ɡ a r i
agbatok	ʔ ɐ ɡ b a t o k
agdait	ʔ ɐ ɡ d a ʔ i t
agdan	ʔ ɐ ɡ d a n
agek	ʔ ɐ ɡ e k
aggingined	ʔ ɐ ɡ ɡ i ŋ i n e d
aggingined	ʔ ɐ ɡ ɡ i ŋ i n ɯ d
agkatawa	ʔ ɐ ɡ k ɐ t a w a
aglako	ʔ ɐ ɡ l a k o
aglangoy	ʔ ɐ ɡ l ɐ ŋ o ɪ̯
agong	ʔ ɐ ɡ o ŋ
agsangit	ʔ ɐ ɡ s a ŋ i t
agsigarilio	ʔ ɐ ɡ s i ɡ ɐ ɾ i ʎ o
agtaray	ʔ ɐ ɡ t ɐ ɾ a ɪ̯
aguray	ʔ ɐ ɡ u ɾ a ɪ̯
agus	ʔ ɐ ɡ u s
aguyek	ʔ ɐ ɡ u j e k
aguyek	ʔ ɐ ɡ u j ɯ k
agyamanak	ʔ ɐ ɡ j a m ɐ n a k
akkub	ɐ k k u b
alagad	ʔ ɐ l ɐ ɡ a d
alamano	ʔ ɐ l ɐ m a n o
aldao	ʔ ɐ l d a o
aldaw	ʔ ɐ l d a ʊ̯
alibukay	ʔ ɐ l i b u k a ɪ̯
alikamen	ʔ ɐ l i k a m e n
alingo	ʔ ɐ l i ŋ o
almidor	ʔ ɐ l m i d o ɾ
alsem	ʔ ɐ l s e m
alsem	ʔ ɐ l s ɯ m
ambulansia	ʔ ɐ m b u l a n ʃ a
amian	ʔ ɐ m j a n
amianan	ʔ ɐ m j a n a n
amin	ʔ ɐ m i n
anak	ʔ ɐ n a k
anay	ʔ ɐ n a ɪ̯
andidit	ʔ ɐ n d i d i t
angep	ʔ ɐ ŋ ɛ p
angep	ʔ ɐ ŋ ɯ p
anges	ʔ ɐ ŋ ɛ p
anges	ʔ ɐ ŋ ɯ p
anggo	ʔ ɐ ŋ ɡ u
angin	ʔ ɐ ŋ i n
angkas	ʔ ɐ ŋ k a s
angkat	ʔ ɐ ŋ k a t
angkit	ʔ ɐ ŋ k i t
angkla	ʔ ɐ ŋ k l a
angseg	ʔ ɐ ŋ s e ɡ
ani	ʔ ɐ n i
ania	ʔ ɐ ɲ ɐ
aniaman	ʔ ɐ n j a m a n
anibong	ʔ ɐ n i b u ŋ
animal	ʔ ɐ n i m a l
anio	ʔ ɐ n i j o
anio	ʔ ɐ ɲ o
anis	ʔ ɐ n i s
anod	ʔ a n u d
anyamet	ʔ ɐ n j a m e t
anyamet	ʔ ɐ n j a m ɯ t
apaman	ʔ ɐ p a m a n
apges	ʔ ɐ p ɡ ɛ s
apges	ʔ ɐ p ɡ ɯ s
apo	ʔ ɐ p u
apog	ʔ a p u ɡ
apon	ʔ ɐ p o n
apoy	ʔ ɐ p u i̯
apro	ʔ ɐ p ɾ o
apros	ʔ a p r u s
arado	ʔ ɐ ɾ a d o
arak	ʔ ɐ ɾ a k
aramang	ʔ ɐ ɾ ɐ m a ŋ
aramid	ʔ ɐ ɾ ɐ m ɛ d
arban	ʔ ɐ ɾ b a n
arbis	ʔ ɐ ɾ b i s
ari	ʔ ɐ ɾ i
ariek	ʔ ɐ ɾ j ɛ k
ariek	ʔ ɐ ɾ j ɯ k
arimadeng	ʔ ɐ ɾ ɪ m ɐ d ɛ ŋ
arimadeng	ʔ ɐ ɾ ɪ m ɐ d ɯ ŋ
arimokamok	ʔ ɐ ɾ ɪ m ʊ k a m u k
ariring	ʔ ɐ ɾ i ɾ ɛ ŋ
aririt	ʔ ɐ ɾ ɪ ɾ ɛ t
ariwatang	ʔ ɐ ɾ ɪ w a t a ŋ
ariwekwek	ʔ ɐ ɾ ɪ w ɛ k w ɛ k
ariwekwek	ʔ ɐ ɾ ɪ w ɯ k w ɯ k
arked	ʔ ɐ ɾ k ɛ d
arked	ʔ ɐ ɾ k ɯ d
arnged	ʔ ɐ ɾ ŋ ɛ d
arnged	ʔ ɐ ɾ ŋ ɯ d
arod	ʔ ɐ ɾ o d
aroo	ʔ ɐ ɾ u ʔ o
arsobispo	ʔ ɐ ɾ s o b i s p o
artem	ʔ ɐ ɾ t ɛ m
artem	ʔ ɐ ɾ t ɯ m
arusadanan	ʔ ɐ ɾ ʊ s ɐ d a n a n
asang	ʔ ɐ s a ŋ
asar	ʔ a s a ɾ
asar	ʔ ɐ s a ɾ
asawa	ʔ ɐ s a w a
asep	ʔ ɐ s ɛ p
asep	ʔ ɐ s ɯ p
asin	ʔ ɐ s i n
aso	ʔ ɐ s o
asok	ʔ ɐ s u k
aspili	ʔ ɐ s p ɪ l i
asping	ʔ ɐ s p i ŋ
asug	ʔ ɐ s o ɡ
atab	ʔ ɐ t a b
atap	ʔ ɐ t a p
atep	ʔ ɐ t ɛ p
atep	ʔ ɐ t ɯ p
atio	ʔ ɐ tʲ u
atsuete	ɐ t͡s w ɛ t ɛ
atsuete	ɐ t͡ʃ w ɛ t ɛ
awan	ʔ ɐ w a n
ayat	ʔ ɐ j a t
ayaten	ʔ ɐ j a t e n
ayaten	ʔ ɐ j a t ɯ n
ayoan	ʔ ɐ j o ʔ a n
ayup	ʔ ɐ j u p
baag	b ɐ ʔ a ɡ
baak	b ɐ ʔ a k
baaw	b ɐ ʔ a ʊ̯
baba	b ɐ b a
babai	b ɐ b a ʔ i
babawi	b ɐ b a w i
badang	b ɐ d a ŋ
bado	b ɐ d o
baen	b ɐ ʔ ɛ n
baen	b ɐ ʔ ɯ n
bagas	b ɐ ɡ a s
bagay	b ɐ ɡ a ɪ̯
bagi	b ɐ ɡ i
bagida	b aː ɡ i d a
bagida	b ɐ ɡ iː d a
bagik	b aː ɡ i k
bagik	b ɐ ɡ i k
bagim	b aː ɡ i m
bagim	b ɐ ɡ i m
bagimi	b aː ɡ i m i
