á	aː
aba	a b a
abája	a b aː j a
abaka	a b a k a
abakus	a b a k u s
abakusový	a b a k u s ɔ ʋ iː
abatiša	a b a t i ʃ a
abažúr	a b a ʒ uː r
abažúrový	a b a ʒ uː r ɔ ʋ iː
abbé	a bː eː
Abcházsko	a p x aː s k ɔ
abcházština	a p x aː ʃ c i n a
Abdiáš	a b ɟ i aː ʃ
abdikácia	a b d i k aː t͡s i a
abdómen	a b d ɔː m e n
abdominálny	a b d ɔ m i n aː l n i
abeceda	a b e t͡s e d a
abecedník	a b e t͡s e d ɲ iː k
abecedníka	a b e t͡s e d ɲ iː k a
Ábel	aː b e l
ablácia	a b l aː t͡s i a
ablatív	a b l a t iː u̯
ableizmus	a b l e i z m u s
abolícia	a b ɔ l iː t͡s i a
abolicionizmus	a b ɔ l i t͡s i ɔ n i z m u s
Abrahám	a b r a ɦ aː m
abrakadabra	a b r a k a d a b r a
abreviácia	a b r e ʋ i aː t͡s i a
Absolon	a p s ɔ l ɔ n
absolutizmus	a p s ɔ l u t i z m u s
absolútny	a p s ɔ l uː t n i
absorbovať	a p s ɔ r b ɔ ʋ a c
absorbuje	a p s ɔ r b u j e
absorbujú	a p s ɔ r b u j uː
absorpcia	a p s ɔ r p t͡s i a
abstinentský	a p s c i ɲ e n t͡s k iː
abstrakcionizmus	a p s t r a k t͡s i ɔ n i z m u s
Abuja	a b u d͡ʒ a
acehčina	a t͡s e x t͡ʃ i n a
acetaldehyd	a t͡s e t a l d e ɦ i t
acetát	a t͡s e t aː t
acetylácia	a t͡s e t i l aː t͡s i a
Adam	a d a m
Adamať	a d a m a c
Adamčo	a d a m t͡ʃ ɔ
Adamec	a d a m e t͡s
Adamech	a d a m e x
Adamecová	a d a m e t͡s ɔ ʋ aː
Adámek	a d aː m e k
Adámeková	a d aː m e k ɔ ʋ aː
Adamiš	a d a m i ʃ
Adamko	a d a m k ɔ
Adamkovič	a d a m k ɔ ʋ i t͡ʃ
Adamov	a d a m ɔ u̯
Adamovi	a d a m ɔ ʋ i
Adamovič	a d a m ɔ ʋ i t͡ʃ
Adamus	a d a m u s
adaptácia	a d a p t aː t͡s i a
adaptovať	a d a p t ɔ ʋ a c
adaptuje	a d a p t u j e
adekvátny	a ɟ e k ʋ aː t n i
Adela	a d e l a
Adelka	a d e l k a
Aden	a d e n
adhézia	a d ɦ eː z i a
adjektívum	a d j e k t iː ʋ u m
administrácia	a d m i n i s t r aː t͡s i a
administratíva	a d m i n i s t r a t iː ʋ a
administrovať	a d m i ɲ i s t r ɔ ʋ a c
adolescencia	a d ɔ l e s t͡s e n t͡s i a
adolescenčný	a d ɔ l e s t͡s e n t͡ʃ n iː
adoptovať	a d ɔ p t ɔ ʋ a c
adorácia	a d ɔ r aː t͡s i a
adrenalín	a d r e n a l iː n
adrenalínový	a d r e n a ʎ iː n ɔ ʋ iː
adrenalínový	a d r e n a l iː n ɔ ʋ iː
adrenalínu	a d r e n a ʎ iː n u
adrenalínu	a d r e n a l iː n u
adresa	a d r e s a
adresovať	a d r e s ɔ ʋ a c
adresový	a d r e s ɔ ʋ iː
adresy	a d r e s i
Adrián	a d r i aː n
Adriána	a d r i aː n a
adries	a d r ɪ̯ e s
adventizmus	a d ʋ e n t i z m u s
advokát	a d ʋ ɔ k aː t
advokátka	a d ʋ ɔ k aː t k a
adygejčina	a d i ɡ e ɪ̯ t͡ʃ i n a
Adygejsko	a d i ɡ e ɪ̯ s k ɔ
aerodynamický	a e r ɔ d i n a m i t͡s k iː
aerolínia	a e r ɔ l iː n i a
aeronautický	a e r ɔ n a u c i t͡s k iː
aeronautika	a e r ɔ n a u̯ t i k a
afarčina	a f a r t͡ʃ i n a
afatický	a f a c i t͡s k iː
