ং	ŋ
অ	ɔ
অঁ	ɔ̃
অঁকৰা	ɔ̃ k ɔ ɹ a
অংক	ɔ ŋ k ɔ
অংগ	ɔ ŋ ɡ ɔ
অইন	ɔ ɪ n
অকল	ɔ k ɔ l
অকলশৰীয়া	ɔ k ɔ l x ɔ ɹ i a
অকলে	ɔ k ɔ l ɛ
অকাপী	ɔ k a p i
অক্টোবৰ	ɔ k t ʊ b ɔ ɹ
অক্ষ	ɔ kʰ
অক্সাইড	ɔ k s a ɪ d
অচিনাকি	ɔ s i n a k i
অচিনাকী	ɔ s i n a k i
অজগৰ	ɔ z ɔ ɡ ɔ ɹ
অজানিতে	ɔ z a n i t ɛ
অটা	ɔ t a
অট্টালিকা	ɔ t t a l i k a
অঠাৰ	ɔ t ɦ a ɹ ɔ
অণুজীৱ	ɔ n u z i b ɔ
অণুজীৱ	ɔ n u z i β ɔ
অনা	ɔ n a
অনাটন	ɔ n a t ɔ n
অনুবাদ	ɔ n u b a d
অনুবাদক	ɔ n u b a d ɔ k
অনোৱা	ɔ n ʊ a
অন্তৰ্জাল	ɔ n t ɔ ɹ z a l
অন্য	ɔ ɪ n n ɔ
অপ্সৰা	ɔ p s ɔ ɹ a
অবৈধ	ɔ b ɔ ɪ d ɦ ɔ
অভাৱ	ɔ bʱ a w
অভিমন্যু	ɔ bʱ i m ɔ ɪ n n u
অভিযান	ɔ bʱ i z a n
অভ্যাস	ɔ ɪ b bʱ a x
অমিতা	ó m i t a
অমিয়	ɔ m iʱ
অমিয়া	ɔ m i a
অম্লজান	ɔ m l ɔ z a n
অয়স্কান্ত	ɔ j ɔ s k a n t ɔ
অযুত	ɔ z u t
অলপ	ɔ l ɔ p
অশোক	ɔ x ʊ k
অশ্বেত	ɔ s s ɛ t
অষ্ট্ৰেলিয়া	ɔ s t ɹ ɛ l i a
অসম	ɔ x ɔ m
অসমীয়া	ɔ x o m i a
অসমীয়াভাষী	ɔ x ɔ m i a bʱ a x i
অসুখ	ɔ x u kʰ
অহা	ɔ ɦ a
অহাকালি	ɔ ɦ a k a l i
অহাবছৰ	ɔ ɦ a b ɔ s ɔ ɹ
অৰকা	ɔ ɹ ɔ k a
অৰ্থ	ɔ ɹ tʰ ɔ
অ’	ó
আ	a
আঁউজ	ã u z
আঁউজা	ã u z a
আঁউজোৱা	ã u z ʊ a
আঁক	ã k
আঁকা	ã k a
আঁকোৰগোঁজ	ã k ʊ ɹ ɡ ʊ̃ z
আঁকোৱাল	ã k ʊ a l
আঁচ	ã s
আঁচনি	ã s ɔ n i
আঁচল	ã s ɔ l
আঁচোৰ	ã s ʊ ɹ
আঁচোৰা	ã s ʊ ɹ a
আঁট	ã t
আঁটকাল	ã t ɔ k a l
আঁঠু	ã tʰ u
আঁত	ã t
আঁতৰ	ã t ɔ ɹ
আঁতৰা	ã t ɔ ɹ a
আঁতৰোৱা	ã t ɔ ɹ ʊ a
আঁহ	ãʱ
আঁহত	ã ɦ ɔ t
আঁৰ	ã ɹ
আঁৰি	ã ɹ i
আঁৱৰি	a ɔ ɹ i
আঁৱৰি	ã ɔ ɹ i
আঁৱৰীয়া	a ɔ ɹ i a
আঁৱৰীয়া	ã ɔ ɹ i a
আংগাৰ	a ŋ ɡ a ɹ
আই	a ɪ
আইচলেণ্ড	a i s l ɛ n
আইচ‌্ক্ৰিম	a ɪ s k ɹ i m
আইতা	a ɪ t a
আইন	a ɪ n
আইনা	a ɪ n a
আউটি	a ʊ t i
আউল	a ʊ l
আও	a ʊ
আওৰা	a ʊ ɹ a
আক	a k
আকন	a k ɔ n
আকাশ	a k a x
আকাশ	a k aʰ
আকো	a q ɔ
আকৌ	a k oː
আকৌ	a k ɔ ʊ
আকৌ	a k ɔː
আখি	a kʰ i
আখৈ	a kʰ o ɪ
আখৰ	a kʰ ɔ ɹ
আখৰ	a x ɔ ɹ
আগ	a ɡ
আগত	a ɡ ɔ t
আগতীয়াকৈ	a ɡ ɔ t i a k o ɪ
আগতে	a ɡ ɔ t ɛ
আগনি	a ɡ ɔ n i
আগি	a ɡ i
আগুনি	a ɡ u n i
আগেয়ে	a ɡ ɛ ɛ
আঘোণ	a ɡʱ ʊ n
আঙঠা	a ŋ ɔ tʰ a
আঙঠি	a ŋ ɔ tʰ i
আঙাৰ	a ŋ a ɹ
আঙুঠি	a ŋ u tʰ i
আঙুঠি	a ŋ ʊ tʰ i
আঙুল	a ŋ u l
আঙুলি	a ŋ u l i
আঙুলিওৱা	a ŋ u l i ʊ a
আঙুলিয়া	a ŋ u l i a
আঙ্গাৰ	a ŋ ɡ a ɹ
আচল	a s ɔ l
আচলটল	a s ɔ l ɔ t ɔ l
আচহুৱা	a s ɔ ɦ u a
আচাভুৱা	a s a bʱ u a
আছে	a s ɛ
আজান	a z a n
আজি	a z i
আজিনাই	a z i n a ɪ
আজো	a z ʊ
আজ্ঞা	a ɡ ɡ a
আঞ্জা	a n z a
আট	a t
আটা	a t a
আটাই	a t a ɪ
আটাইতকে	a t a ɪ t k ɛ
আটাইতকৈ	a t a ɪ t k o ɪ
আটাহ	a t aʱ
আটিল	a t i l
আঠ	a tʰ
আঠচল্লিছ	a t s ɔ l l i s
আঠত্ৰিছ	a tʰ ɔ t ɹ i s
আঠষষ্ঠি	a t x ɔ s tʰ i
আঠসত্তৰ	a t x ɔ t t ɔ ɹ
আঠা	a tʰ a
আঠাইছ	a tʰ a ɪ s
আঠান্নব্বৈ	a tʰ a n n ɔ b b o ɪ
আঠাশী	a tʰ a x i
আঠাৱন	a tʰ a ɔ n
আঢ়ৈ	a ɹʱ o ɪ
আতা	a t a
আতৰ	a t ɔ ɹ
আথৰ	a tʰ ɔ ɹ
আদহ	a d ɔ ɦ
আদহীয়া	a d ɔ ɦ i a
আদা	a d a
আদালত	a d a l ɔ t
আদৰ	a d ɔ ɹ
আধা	a dʱ a
আধিপত্য	a dʱ i p ɔ ɪ t t ɔ
আধৰুৱা	a dʱ ɔ ɹ u a
আন	a n
আনা	a n a
আনাৰস	a n a ɹ ɔ x
আনোৱা	a n ʊ a
আন্দাজ	a n d a z
আন্ধাৰ	a n dʱ a ɹ
আপঁইতা	a p ɔ̃ i t a
আপা	a p a
আপুনি	a p u n i
আপেল	a p ɛ l
আপোন	a p ʊ n
আপোনাক	a p ʊ n a k
আপোনালোক	a p ʊ n a l ʊ k
আপোনাৰ	a p ʊ n a ɹ
আফগানিস্তান	a pʰ ɡ a n i s t a n
আফচোচ	a p s ʊ s
আফচোচ	a pʰ s ʊ s
আফিং	a pʰ i ŋ
আফৰ	a pʰ ɔ ɹ
আবা	a b a
আবিয়ৈ	a b i o ɪ
আবেলি	a b ɛ l i
আব্বা	a b b a
আবৰ	a b ɔ ɹ
আবৰা	a b ɔ ɹ a
আম	a m
আমঠি	a m ɔ tʰ i
আমঠু	a m ɔ tʰ u
আমাৰ	a m a ɹ
আমি	a m i
আমুউৱা	a m u u a
আমুৱা	a m u a
আম্মা	a m m a
আম্মী	a m m i
আয়	a j
আল	a l
আলগ	a l ɔ ɡ
আলবেনিয়া	a l b ɛ n i a
আলমাৰী	a l m a ɹ i
আলসুৱা	a l ɔ x u a
আলহী	a l ɔ ɦ i
আলি	a l i
আলু	a l u
আলুগুটি	a l u ɡ u t i
আশা	a x a
আশী	a x i
আহ	aʱ
আহা	a ɦ a
আহু	a ɦ u
আৰক্ষী	a ɹ ɔ kʰ i
আৰু	a ɹ u
আৰ্চি	a ɹ s i
আৰ্হি	a ɹ ɦ i
আৱাজ	a w a z
আৱাজ	a ʊ a z
ই	i
ই	iː
ইউক্ৰেইন	i u k ɹ ɛ i n
ইউজাৰ	i u z a ɹ
ইউৰোপ	i u ɹ ʊ p
ইকৰা	i k ɔ ɹ a
ইগ্লো	i ɡ l ʊ
ইছলাম	i s l a m
ইজ্জত	i d ʑ ɔ t
ইটানগৰ	i t a n ɔ ɡ ɔ ɹ
ইণ্ডোনেচিয়া	i n d ʊ n ɛ s i a
ইতিহাস	i t i ɦ a x
ইতৰ	i t ɔ ɹ
ইন্ধন	i n dʱ ɔ n
ইমান	i m a n
ইয়ংচাক	i j ɔ ŋ s a k
ইয়াত	i a t
ইলাচি	i l a s i
ইলিছ	i l i s
ইলীহ	i l iʱ
ইলীহি	i l i ɦ i
ইষ্টেবুল	i s t ɛ b u l
ইস্কুল	i s k u l
ইস্ত্ৰি	i s t i
ইস্ত্ৰি	i s t ɹ i
ইস্পাত	i s p a t
ঈ	i
ঈদ	i d
ঈশ্বৰ	i s s ɔ ɹ
ঈহ	iʱ
উ	u
উঁই	ũ i
উঁইপোক	ũ i p ʊ k
উঁইপৰুৱা	ũ i p ɔ ɹ u a
উঁহ	uʱ
উকল	u k ɔ l
উকহ	u k ɔ ɦ
উকা	u k a
উকাহ	u k aʱ
উকি	u k i
উকিল	u k i l
উখৰা	u kʰ ɔ ɹ a
