AFI	a f i
Abruzos	a b ɾ u s o s
Abruzos	a b ɾ u θ o s
Acre	a k ɾ e
Afganistán	a f ħ a n i s t a ŋ
Afganistán	a f ɡ a n i s t a ŋ
Albarde	a l b a ɾ d e
Alberte	a l b ɛ ɾ t e
Albor	a l β o ɾ
Alcobre	a l k ɔ β ɾ e̝
Aldara	a l d a ɾ a̝
Aldobrén	a l d o β ɾ ɛ ŋ
Alemaña	a l e m a ɲ a
Alemparte	a l ɛ m p a ɾ t e̝
Algarve	a l ħ a ɾ b e
Algarve	a l ɡ a ɾ b e
Allariz	a ʎ a ɾ i θ
Almariz	a l m a ɾ i θ
Almofrei	a l m o f ɾ e j
Altamira	a l t a m i ɾ a̝
Alén	a l ɛ ŋ
Amaro	a m a ɾ o
Ames	a m e̝ s
Andorra	a n d o r a
Andrade	a n d ɾ a d e
André	a n d ɾ ɛ
Angumil	a ŋ ɡ u m i l
Aninovo	a n i n ɔ β o̝
Ansamonde	a n s a m o n d e̝
Ansariz	a n s a ɾ i θ
Ansemar	a n s e m a ɾ
Ansemil	a n s e m i l
Ansemonde	a n s e m o n d e̝
Anseán	a n s e a ŋ
Ansimonde	a n s i m o n d e̝
Ansoar	a n s o̯ a ɾ
Antártida	a n t a ɾ t i ð a
Antón	a n t o ŋ
Anxeriz	a n ʃ e ɾ i θ
Apocalipse	a p o k a l i p s e̝
Aragón	a ɾ a ħ o ŋ
Aragón	a ɾ a ɡ o ŋ
Aristóteles	a ɾ i s t ɔ t e l e s
Armariz	a ɾ m a ɾ i s
Armariz	a ɾ m a ɾ i θ
Armenia	a ɾ m ɛ n j a
Arteixo	a ɾ t e j ʃ o̝
Arxemil	a ɾ ʃ e m i l
Ascariz	a s k a ɾ i θ
Ascarís	a s k a ɾ i s
Asenso	a s ɛ n s o̝
Asma	a s m a̝
Asturias	a s t u ɾ j a s
Atalaia	a t a l a j a̝
Ateán	a t e a ŋ
Atián	a t i a ŋ
Austria	a w s t ɾ j a
Avia	a β j a̝
Baamonde	b a m o n d e̝
Baamonde	b aː m o n d e̝
Baiona	b a j o n a
Balboa	b a l b o a
Baldomar	b a l d o m a ɾ
Baldomero	b a l d o m ɛ ɾ o
Baldomir	b a l d o m i ɾ
Balea	b a l e a̝
Baleato	b a l e a t o̝
Baltar	b a l t a ɾ
Balvís	b a l β i s
Bama	b a m a̝
Bamio	b a m j o̝
Bao	b a o̯
Barallobre	b a ɾ a ʎ ɔ β ɾ e̝
Barbanza	b a ɾ β a n s a̝
Barbanza	b a ɾ β a n θ a̝
Barcia	b a ɾ s j a
Barcia	b a ɾ θ j a
Bazar	b a θ a ɾ
Baña	b a ɲ a̝
Belesar	b e l e s a ɾ
Belsar	b e l s a ɾ
Belvís	b ɛ l β i s
Bemposta	b ɛ m p ɔ s t a̝
Bendia	b e n d j a̝
Bendollo	b e n d o ʎ o̝
Bendrade	b e n d ɾ a ð e̝
Benxamín	b e n ʃ a m i ŋ
Berbia	b ɛ ɾ β j a̝
Beresmo	b e ɾ e s m o
Bergantiños	b e ɾ ħ a n t i ɲ o s
Bergantiños	b e ɾ ɡ a n t i ɲ o s
Berlín	b ɛ ɾ l i ŋ
Bermui	b e ɾ m u j
Bermún	b e ɾ m u ŋ
Bertamil	b e ɾ t a m i l
Bertamiráns	b e ɾ t a m i ɾ a ŋ s
Bertomil	b e ɾ t o m i l
Bieito	b i e j t o̝
Biscaia	b i s k a j a
Bonome	b o n ɔ m e̝
Boo	b o
Boo	b oː
Boubeta	b o w β e t a̝
Boutureira	b o w t u ɾ e j ɾ a̝
Brancaneves	b ɾ a ŋ k a̝ n ɛ β e̝ s
Brandariz	b ɾ a n d a ɾ i θ
Brandarís	b ɾ a n d a ɾ i s
Brandián	b ɾ a n d i a ŋ
Brandufe	b ɾ a n d u f e̝
Brandán	b ɾ a n ð a ŋ
Brea	b ɾ e a̝
Breixo	b ɾ e j ʃ o̝
Brión	b ɾ i o ŋ
Bruxas	b ɾ u ʃ a s
Bréixome	b ɾ e j ʃ o m e
Buceta	b u s e t a
Buceta	b u θ e t a
Bugallo	b u ɣ a ʎ o̝
Bustofreán	b u s t o f ɾ e a ŋ
Bután	b u t a ŋ
Bóveda	b ɔ β e̝ ð a̝
Caamouco	k a m o w k o̝
Cabaleiro	k a β a l e j ɾ o̝
Cadarnoxo	k a ð a ɾ n o ʃ o̝
Caetano	k a e t a n o̝
Caetano	k a e̯ t a n o̝
Callobre	k a ʎ ɔ β ɾ e̝
Cambra	k a m b ɾ a̝
Camouco	k a m o w k o̝
Canadá	k a n a d a
Candeloria	k a n d e l ɔ ɾ j a̝
Canedo	k a n e ð o̝
Cantabria	k a n t a b ɾ j a
Canzobre	k a n θ ɔ b ɾ e̝
Cao	k a o̯
Capetón	k a p e t o ŋ
Carballo	k a ɾ b a ɟ o
Carintia	k a ɾ i n t j a
Carlos	k a ɾ l o s
Carlota	k a ɾ l o t ɐ
Carmela	k a ɾ m ɛ l a
Carmiña	k a ɾ m i ɲ a
Carpinteiro	k a ɾ p i n t e j ɾ o̝
Carro	k a r o̝
Casal	k a s a l
Casanova	k a s a n ɔ b a
Castela	k a s t ɛ l a
Castelo	k a s t ɛ l o̝
Castromaior	k a s t ɾ o m a j o ɾ
Castromil	k a s t ɾ o m i l
Castrove	k a s t ɾ ɔ β e̝
Cataluña	k a t a l u ɲ a
Catarina	k a t a ɾ i n ɐ
Catuxa	k a t u ʃ a̝
Cedofeita	θ e ð o f e j t a̝
Cedofeito	s e ð o f e j t o̝
Celanova	θ e l a n ɔ β a̝
Cerponzóns	s e ɾ p o n s o ŋ s
Cerponzóns	θ e ɾ p o n θ o ŋ s
Cervantes	s e ɾ b a n t e s
Cervantes	θ e ɾ b a n t e s
Cerviño	θ ɛ ɾ β i ɲ o̝
Cezobre	θ e θ ɔ b ɾ e̝
Chamorro	t͡ʃ a m o r o
Chamoso	t͡ʃ a m o s o̝
Chantada	t͡ʃ a n t a ð a̝
Chao	t͡ʃ a o̯
Chao	t͡ʃ a w
Cibrao	s i b ɾ a o
Cibrao	θ i b ɾ a o
Cibrán	s i b ɾ a ŋ
Cibrán	θ i b ɾ a ŋ
Cillobre	s i ʎ ɔ β ɾ e̝
Cillobre	θ i ʎ ɔ β ɾ e̝
Coello	k o e ʎ o̝
Coira	k o j ɾ a̝
Combarro	k o m b a r o̝
Compostela	k o m p o s t ɛ l a
Condomiña	k o n d o m i ɲ a̝
Cospeito	k o s p e j t o̝
Costa	k ɔ s t a̝
Couto	k o w t o̝
Cracovia	k ɾ a k ɔ b j a
Cristo	k ɾ i s t o
Cuba	k u b a
Cáucaso	k a w k a s o
Céltigos	s ɛ l t i ɣ o̝ s
Céltigos	θ ɛ l t i ɣ o̝ s
Dacosta	d a k ɔ s t a̝
Damasco	d a m a s k o
Daniel	d a n j ɛ l
Deus	d e w s
Deva	d e b a
Diego	d j ɛ ħ o
Diego	d j ɛ ɡ o
Dinís	d i n i s
Donfreán	d o ɱ f ɾ e a ŋ
Dourado	d o w ɾ a ð o̝
Dublín	d u b l i ŋ
Dubra	d u b ɾ a
Edén	ɛ d ɛ ŋ
Eiré	e j ɾ e
Entrecinsa	e n t ɾ e θ i n s a̝
Entroido	a n t ɾ o j ð o̝
Entroido	e n t ɾ o j ð o̝
Entroido	e n t ɾ u j ð o̝
Escariz	e s k a ɾ i θ
Escarís	e s k a ɾ i s
Escocia	e s k ɔ s j a
Escocia	e s k ɔ θ j a
Escudeiro	e s k u ð e j ɾ o̝
Esmeriz	e s m e ɾ i θ
Esmoriz	e s m o ɾ i θ
Esmorís	e s m o ɾ i s
España	e s p a ɲ a
Espido	e s p i ð o̝
Estevo	e s t e β o̝
Estévez	e s t e b e s
Estévez	e s t e b e θ
Eurabia	e w ɾ a b j a
Europa	e w ɾ ɔ p a
Exipto	e ʃ i p t o
Farruco	f a r u k o
Feijóo	f e j ʃ ɔ
Felmil	f e l m i l
Ferreiro	f e r e j ɾ o̝
Ferro	f ɛ r o̝
Ferrol	f e r ɔ l
Fidalgo	f i ð a l ɣ o̝
Figueroa	f i ħ e ɾ o a
Figueroa	f i ɡ e ɾ o a
Fiúza	f i u θ a̝
Forcarei	f o ɾ k a ɾ e j
Formosende	f o ɾ m o s e n d e̝
Forxás	f o ɾ ʃ a s
Foz	f ɔ s
Foz	f ɔ θ
Franco	f ɾ a ŋ k ʊ
Francuín	f ɾ a ŋ k u i ŋ
Franzomil	f ɾ a n θ o m i l
Freire	f ɾ e j ɾ e
Fresco	f ɾ e s k o̝
Freán	f ɾ e a ŋ
Freáns	f ɾ e a ŋ s
Freás	f ɾ e a s
Friosende	f ɾ i o s e n d e̝
Frixia	f ɾ i ʃ j a
Friúce	f ɾ i u θ e̝
Froila	f ɾ ɔ j l a
Gago	ɡ a ɣ o̝
Galicia	ħ a l i s j a
Galicia	ħ a l i θ j a
Galicia	ɡ a l i θ j a
Galiza	ħ a l i s a
Galiza	ħ a l i θ a
Galiza	ɡ a l i θ a
Golfariz	ɡ o l f a ɾ i θ
Golmar	ɡ o l m a ɾ
Gomesende	ħ o m e s e n d e
Gomesende	ɡ o m e s e n d e
Gondollín	ɡ o n d o ʎ i ŋ
Gondomar	ɡ o n d o m a ɾ
Gondufe	ɡ o n d u f e̝
Gondulfe	ɡ o n d u l f e̝
Gondulfes	ɡ o n d u l f e̝ s
Gontade	ɡ o n t a ð e̝
Gontar	ɡ o n t a ɾ
Gonxar	ɡ o n ʃ a ɾ
Gonzar	ɡ o n θ a ɾ
Gosende	ɡ o s e n d e̝
Granada	ħ ɾ a n a d a
Granada	ɡ ɾ a n a d a
Grecia	ħ ɾ ɛ s j a
Grecia	ħ ɾ ɛ θ j a
Grecia	ɡ ɾ ɛ θ j a
Grixoa	ɡ ɾ i ʃ ɔ a̝
Grixó	ɡ ɾ i ʃ ɔ
Guernica	ħ e ɾ n i k a
Guernica	ɡ e ɾ n i k a
Guerreiro	ɡ ɛ r e j ɾ o̝
Guilfonxe	ɡ i l f o n ʃ e̝
Guilfrei	ɡ i l f ɾ e j
Guillade	ɡ i ʎ a ð e̝
Guillamil	ɡ i ʎ a m i l
Guillar	ɡ i ʎ a ɾ
Guillerme	ɡ i ʎ ɛ ɾ m e
Guillufe	ɡ i ʎ u f e̝
Guillurfe	ɡ i ʎ u ɾ f e̝
Guisande	ɡ i s a n d e̝
Guitiriz	ɡ i t i ɾ i θ
Guldriz	ɡ u l d ɾ i θ
Guldrís	ɡ u l d ɾ i s
Gulfar	ɡ u l f a ɾ
Gulfariz	ɡ u l f a ɾ i θ
Gulfián	ɡ u l f j a ŋ
Gundián	ɡ u n d i a ŋ
Gunxar	ɡ u n ʃ a ɾ
Guxeva	ɡ u ʃ e β a̝
Güiana	ħ u j a n a
Güiana	ɡ u j a n a
Hermida	e ɾ m i ð a̝
Iago	j a ħ o
Iago	j a ɡ o
Iair	j a i ɾ
India	i n d j a
Insua	i n s w a̝
Inés	i n ɛ s
Irixoa	i ɾ i ʃ ɔ a
Irán	i ɾ a ŋ
Iñobre	i ɲ ɔ b ɾ e
Laredo	l a ɾ e d o
Ledesma	l e d e s m a
Lemos	l ɛ m o s
Leonor	l ɪ ʊ n o ɾ
Lesende	l e s e n d e̝
Lestrobe	l e s t ɾ ɔ β e̝
Loentia	l o ɛ n t j a̝
Lois	l o j s
Londres	l o n d ɾ e s
Longo	l o ŋ ɡ o̝
Louredo	l o w ɾ e ð o̝
Lourenzá	l o w ɾ e n θ a
Louzao	l o w θ a o̯
Louzán	l o w s a ŋ
Louzán	l o w θ a ŋ
Ludrio	l u ð ɾ j o̝
Ludro	l u ð ɾ o̝
Lugo	l u ħ o
Lugo	l u ɡ o
Lárnaca	l a ɾ n a k a
Maariz	m aː ɾ i θ
Maceda	m a s ɛ d a
Maceda	m a θ ɛ d a
Manteiga	m a n t e j ɣ a̝
Maragoto	m a ɾ a ɣ ɔ t o̝
Mariz	m a ɾ i θ
Mariz	m aː ɾ i θ
Marrocos	m a r ɔ k o s
Maruxa	m a ɾ u ʃ a̝
María	m a ɾ i a
Marís	m a ɾ i s
Marís	m aː ɾ i s
Mateu	m a t e w
Mauricio	m a w ɾ i θ j o̝
Mañufe	m a ɲ u f e̝
Meitufe	m e j t u f e̝
Meleiro	m ɛ l e j ɾ o̝
Melide	m e l i ð e̝
Mera	m ɛ ɾ a̝
Merlán	m e r l a ŋ
Miguel	m i ħ ɛ l
Miguel	m i ɡ ɛ l
Miguez	m i ɣ e̝ θ
Miguélez	m i ħ ɛ l e s
Miguélez	m i ħ ɛ l e θ
Miguélez	m i ɡ ɛ l e θ
Miguéns	m i ɣ ɛ ŋ s
Milmanda	m i l m a n d a̝
Miño	m i ɲ o
Miño	m i ɲ o̝
Moeche	m o e t͡ʃ e̝
Moimenta	m o j m e n t a̝
Mondariz	m o n d a ɾ i θ
Monforte	m o n f ɔ ɾ t e̝
Montellos	m o n t e ʎ o̝ s
Montouto	m o n t o w t o̝
Mormenta	m o ɾ m e n t a̝
Moscoso	m o s k o s o̝
Mosende	m o s e n d e̝
Mosteiró	m o s t e j ɾ ɔ
Mosteirón	m o s t e j ɾ ɔ ŋ
Muimenta	m u j m e n t a̝
Méixamo	m e j ʃ a̝ m o̝
México	m ɛ ʃ i k o
Nadal	n a ð a l
Nandufe	n a n d u f e̝
Nandulfe	n a n d u l f e̝
Nandín	n a n d i ŋ
Nantón	n a n t o ŋ
Navarra	n a b a r a
Neda	n e ð a̝
Nendos	n e n d o s̝
Noiteboa	n o j t e β o a̝
Olveira	o l β e j ɾ a̝
Ombre	ɔ m b ɾ e̝
Ons	ɔ ŋ s
Osmo	ɔ s m o̝
Oural	o w ɾ a l
Paderne	p a ð e ɾ n e̝
Paderne	p a ð ɛ ɾ n e̝
Padín	p a d i ŋ
Paes	p a e s
Pais	p a j s
Panxea	p a n ʃ e a
Pardal	p a ɾ ð a l
París	p a ɾ i s
Pascua	p a s k w a̝
Paz	p a s
Paz	p a θ
Pazó	p a θ ɔ
Pedro	p e d ɾ o
Pereira	p e ɾ e j ɾ a̝
Pescoso	p e s k o s o̝
