aachen	ɑː k eː n
abbe	² a b ɛ
abbot	a bː ɔ t
aboensisk	a b ʊ ɛ n s ɪ s k
abstinens	a bː s t ɪ n ɛ nː s
abstinensbesvär	a bː s t ɪ n ɛ nː s b e s v æː r
accent	a kː s ɛ nː t
accent	a kː s a ŋː
acetylsalicylsyra	a s ɛ t yː l s a l ɪ s yː l s yː r a
ackja	a k j a
ackusativ	a k ɵ s a t iː v
adde	² a d ɛ
adel	ɑː d ɛ l
adelssläkt	ɒ̀ː d ə l s ‿ s l ɛ kː t
adhd	ɑː d eː h oː d eː
adjektiv	a d j ɛ k t iː v
adjö	a j øː
adla	ɑː d l a
adlig	ɑ d l ɪ ɡ
advent	a d v ɛ n t
adventsljusstake	a d ² v ɛ n t s j ʉ̟ː s s t ɑː k ɛ
advokat	a d v ʊ k ɑː t
affrikata	a f r ɪ k ɑː t a
affär	a ¹ f ɛː r
afse	² a f s ɛ
afton	a f t ɔ n
aftonfalk	a f t ɔ n f a l k
aggressiv	a ɡ r ɛ s iː v
agna	a ŋ n a
agneta	a ŋ ² n eː t a
agnosticism	a ɡ n ɔ s t ɪ s ɪ s m
agnostiker	a ɡː n ɔ sː t ɪ k ɛ rː
aioli	a j oː l ɪ
akaciames	a k ɑː s i j a m eː s
aktie	a k t s ɪ ɛ
aktiebolag	a k t s i ɛ b ʊ l ɑː ɡ
aktuell	a k t ɵ ɛ l
akut	a k ʉː t
al	ɑː l
albatross	a l b a t r ɔ s
albatross	a l b a t r ɔ s
albatross	a l b a t r ɔ s
albert	¹ a l b æ ʈ
albertina	a l b æ ² ʈ iː n a
albin	¹ a l b ɪ n
aldrig	a l d r i ɡ
alert	a l æ ʈ
alfabet	a l f a b eː t
alfågel	ɑː l f oː ɡ ɛ l
alförrädare	ɑː l f œ ɾ ɛː d a ɾ ɛ
alg	a l j
algerier	a l ɧ eː r ɪ ɛ r
algeriet	a l ɧ ɛ r iː ɛ t
algerisk	a l ɧ eː r ɪ s k
alkekung	a l k ɛ k ɵ ŋ
alkohol	a l k ʊ h oː l
alkohol	a l k ʊ h oː l
alkoholism	a l k ʊ h ʊ l ɪ s m
alkoholist	a l k ʊ h ʊ l ɪ s t
alla	a l a
allemansrätt	a lː ɛ m a n s r ɛ tː
allihop	a l ɪ h uː p
allihop	a l ɪ h uː p
allihopa	a l ɪ h uː p a
allihopa	a l ɪ h uː p a
allmän	a l m ɛ n
allmänbildning	a l m ɛ n b ɪ l d n ɪ ŋː
alltmer	a l t m eː r
alltmer	a l t m eː r
alltså	a l t s ɔ
allvarlig	a l v ɑː r l ɪ ɡ
allé	a l eː
alpseglare	a l p s eː ɡ l a ɾ ɛ
altruism	a l t r ɵ ɪ s m
aluminium	a l ɵ m iː n ɪ ɵ m
amanda	a ² m a n d a
ambitiös	a m b i ɧ øː s
amerika	a m eː r ɪ k a
amma	² a m a
amper	a m p ɛ r
ampere	a m p æː r
amurfalk	ɑː m ɵ r f a l k
ana	² ɑː n a
and	a n d
anden	a nː d ɛ n
anden	a nː d ɛ n
andlig	a n d l ɪ ɡ
andra	a n d r a
andré	a n d r eː
anfalla	a n f a lː a
ange	a n j eː
anka	a ŋ k a
ankeborg	a ŋ k ɛ b ɔ r j
anklagelse	a n k l ɑː ɡ ɛ l s ɛ
anna	² a n a
annons	a n ɔ n s
annons	a n ɔ ŋ s
anod	a n oː d
anod	a n uː d
anomali	a n ʊ m a l iː
ansat	² a n s a t
ansatt	² a n s a t
ansikte	a nː s ɪ k t ə
anspråk	² a n s p r oː k
ansvarig	² a n s v ɑː r ɪ ɡ
antepenultima	a n t ɛ p ɛ n ɵ l t ɪ m a
antimon	a n t ɪ m uː n
antimon	a n t ɪ m oː n
antisemit	a n t ɪ s ɛ m iː t
antisemitisk	a n t ɪ s ɛ m iː t ɪ s k
antisemitism	a n t ɪ s ɛ m ɪ t ɪ s m
antyda	a n t yː d a
apa	ɑː p a
apelsinjuice	a p ɛ l ² s iː n j uː s
apotek	a p ʊ t eː k
appellativ	² a p ɛ l a t i v
april	a p r iː l
april	a p r ɪ l
arbetslös	a r b eː t s l øː s
arbus	ɑ r b ʉː s
arg	a r j
argon	a r ɡ oː n
argt	a r j t
arkimedes	a r k ɪ m eː d ɛ s
arkitekt	a r ɕ ɪ t ɛ k t
arkitekt	a r k ɪ t ɛ k t
arkiv	a r k iː v
arr	a rː
arrangemang	a r a n ɧ e m a ŋ
arrangera	a r a n ɧ eː r a
arsel	a r s ɛ l
arsenik	a r s ɛ n iː k
arton	² ɑː r t ɔ n
arv	a r v
as	ɑː s
aspig	² a s p ɪ ɡ
asturisk	a s t ʉ r ɪ s k a
asturiska	a s t ʉ r ɪ s k a
att	a tː
att	a t
att	ɔ
att	a tː
att	a t
attack	a t a k
attityd	a t ɪ ¹ t yː d
aubergin	ɔ b ɛ r ɕ ɪ n
aubergin	ɔ b ɛ r ɕ iː n
aubergine	ɔ b ɛ r ɕ ɪ n
aubergine	ɔ b ɛ r ɕ iː n
augusti	a ʊ̯ ɡ ɵ s t ɪ
aula	a ʊ̯ l a
av	ɑː v
avbrott	ɑː v b r ɔ t
avfärda	ɑː v f ɛ r d a
avgjord	² ɑː v j uː r d
avgå	² ɑː v ɡ oː
avgång	² ɑː v ɡ ɔ ŋ
avgöra	² ɑː v j øː r a
avi	a v iː
avlat	ɑː v l ɑː t
avlatskrämare	ɑː v l ɑː t s k r ɛː m a r ɛ
avled	² ɑː v l eː d
avokado	a v ʊ k ɑː d ʊ
avseende	ɑː v s eː ɛ n d ɛ
avsiktlig	ɑː v s i k t l iː
avsked	ɑː v ɧ eː d
avsky	ɑː v ɧ yː
avskyvärd	² ɑː v ɧ ʏ v ɛː r d
avsluta	² ɑː v s l ʉː t a
aw	ɑː v eː
axel	¹ a k s ɛ l
ba	b ɑː
babbe	b a b ɛ
babylift	b ɛ ɪ b ʏ l ɪ f t
babylift	b ɛ ɪ b ʏ l ɪ f t
backsvala	b a k s v ɑː l a
bad	b ɑː d
bada	² b ɑː d a
badensisk	b a d ɛ n s ɪ s k
badstuga	² b ɑː d s t ʉː ɡ a
bagage	b a ɡ ɑː ɧ
bajen	b a j ɛ n
bajs	b a j s
bajsa	² b a j s a
bak	b ɑː k
bakbord	b aː k b uː r d
balkansångare	b a l k a n s ɔ ŋ a r ɛ
ball	b a lː
balle	b a l ɛ
bamba	b a m b a
bambamat	² b a m b a m ɑː t
bambarast	² b a m b a r a s t
bambatant	² b a m b a t a n t
bana	b ɑː n a
banan	b a n ɑː n
banan	b ɑː n a n
bananskal	b a n ɑː n s k ɑː l
band	b a n d
bane	² b ɑː n ɛ
baneman	² b ɑː n ɛ m a n
bank	b a ŋː k
bar	b ɑː r
bara	² b ɑː r a
bara	b a
bara	b a
bara	b ɑ r ɑ
barcelona	b a ʂ ɛ ² l oː n a
barmhärtig	b a r m h ɛ ʈ ɪ ɡ
barn	b ɑː r n
barnbespisning	² b ɑː r n b ɛ s p iː s n ɪ ŋ
barnet	b ɑː r n ɛ t
barnhem	b ɑː r n h ɛ m
barnmorska	² b ɑː r n m ʊ r s k a
barriär	b a r ɪ æː r
barsk	b a ʂ k
bas	b ɑː s
basar	b a s ɑː r
basket	b ɑː s k ɛ t
basta	² b a s t a
basta	b a s t a
bea	² b eː a
bearbeta	b eː a r b eː t a
bebop	b iː b ɔ p
beckasin	b ɛ k a s iː n
beckasinsnäppa	b ɛ k a s iː n s n ɛ p a
bedrägeri	b ɛ d r ɛː ɡ ɛ r iː
begå	b ə ɡ oː
behov	b ɛ h uː v
beige	b eː ɧ
beige	b ɛː ɧ
bekant	b ə k a n t
belgien	b ɛ l ɡ ɪ ɛ n
ben	b eː n
berg	b ɛ r j
bergand	b ɛ ɾ j a n d
bergen	b ɛ r j ɛ n
bergens	b ɛ r j ɛ n s
berget	b ɛ r j ɛ t
bergets	b ɛ r j ɛ t s
bergs	b ɛ r j s
bergsångare	b ɛ r j s ɔ ŋ a r ɛ
bergtajgasångare	b ɛ r j t a j ɡ a s ɔ ŋ a r ɛ
bergtita	b ɛ ɾ j t iː t a
berguv	b ɛ r j ʉː v
berlin	b e r l iː n
bert	b æ ʈ
beryllium	b ɛ r ʏ l ɪ ɵ m
besk	b ɛ s k
besked	b ɛ ɧ eː d
bespisa	b e s p iː s a
bespisning	b ɛ s p iː s n ɪ ŋ
bestrida	b ɛ s t r iː d a
besvika	b ɛ s v iː k a
besökare	b ɛ s øː k a r ɛ
beta	b ɛ t ɑː
betala	b ɛ t ɑː l a
bete	b eː t ɛ
bete	b eː t ɛ
bete	b ɛ t eː
beteende	b ɛ t eː ɛ n d ɛ
betyda	b ɛ ¹ t yː d a
betydelse	b ɛ ¹ t yː d ɛ l s ɛ
bi	b iː
bikini	b ɪ k iː n ɪ
bil	b iː l
bilist	b ɪ l ɪ s t
biljard	b ɪ l j ɑː r d
biljon	b ɪ l j uː n
bill	b ɪ l
bilparkering	b iː l p a r k eː r ɪ ŋ
biologi	b ɪ ʊ l ʊ ɡ iː
birgitta	b ɪ r ² ɡ ɪ t a
biskop	b i s k ɔ p
bit	b iː t
bit	b ɪ t
bits	b iː t s
bits	b ɪ t s
bitvarg	² b iː t v a r j
biätare	b iː ɛ t a r ɛ
bjuda	² b j ʉː d a
bjugg	b j ɵ ɡː
bjöd	b j øː d
björn	b j øː r n
blad	¹ b l ɑː d
blandinaviska	b l a n d ɪ n ɑː v ɪ s k a
blandning	² b l a n d n i ŋ
blankspola	² b l a ŋ k s p uː l a
bleck	b l ɛ k
blev	b l eː v
bli	b l iː
blida	b l iː d a
block	b l ɔ k
blod	b l uː d
blodröd	b l uː d r øː d
blodtörst	² b l uː d t ɵ ʂ ʈ
blodtörst	² b l uː d t œ ʂ ʈ
blodtörstig	² b l uː d t ɵ ʂ ʈ ɪ ɡ
blodtörstig	² b l uː d t œ ʂ ʈ ɪ ɡ
blogg	b l ɔ ɡː
blomma	b l ʊ m a
blomqvist	² b l ʊ m k v ɪ s t
blott	b l ɔ tː
bly	b l yː
blyg	b l yː ɡ
bläck	b l ɛ k
bläs	b l ɛ s
bläsand	b l ɛ s a n d
bläsgås	b l ɛ s ɡ oː s
blå	b l oː
blåbär	b l oː b ɛː r
blåbär	b l oː b ɛː r
blåkråka	b l oː k r oː k a
blåljus	b l oː j ʉː s
blåljuscentral	² b l oː j ʉː s ‿ s eː n t r ɑː l
blåljusfilter	² b l oː j ʉː s f ɪ l t ɛ r
blåljusfordon	b l oː j ʉː s f uː r d uː n
blåljuspersonal	b l oː j ʉː s p ɛ ʂ ʊ n ɑː l
blåst	b l oː s t
blåst	b l oː s t
blåst	b l ɔ s t
blåtand	² b l oː t a n d
blått	b l ɔ tː
bo	b uː
boden	b uː d ɛ n
bodil	¹ b uː d ɪ l
boel	¹ b uː ɛ l
bog	b uː ɡ
bok	b uː k
boka	b uː k a
bokhandel	² b uː k h a n d ɛ l
bokstav	b uː k s t ɑː v
bokstav	b ʊ k s t ɑː v
bolaget	² b uː l ɑː ɡ ɛ t
bon	b uː n
bondska	² b ʊ n d s k a
boning	b uː n ɪ ŋ
bop	b ɔ p
bor	b oː r
bor	b uː r
bor	b uː r
bord	b uː ɖ
borde	b uː ɖ ə
bordsbön	b uː r d s b øː n
bordtennis	² b uː ɖ t ɛ n ɪ s
boren	b uː r ɛ n
bortaplan	² b ɔ r t a p l ɑː n
bortskänka	² b ɔ r t ɧ ɛ ŋ k ɛ s
bostad	² b uː s t ɑː d
bot	b uː t
bot	b ɔ t
bota	b uː t a
botar	b uː t a r
bourgeoisie	b ɔ ɕ ɔ̯ a s iː
bov	b uː v
bra	b r ɑː
bra	b r ɒː
braig	² b r ɑː ɪ ɡ
brand	b r a n d
brandskatta	² b r a nː d s k a tː a
brasklapp	² b r a s k l a p
bre	b r eː
