A	a
abo	a b ɔ
absolwent	a p s ɔ l v ɛ n t
absolwentka	a p s ɔ l v ɛ n t k a
aby	a b ɨ
adresa	a d r ɛ s a
Afrika	a f rʲ i k a
Afriku	a f rʲ i k u
ako	a k ɔ
Albanarka	a l b a n a r k a
Albanaŕ	a l b a n a rʲ
ale	a l ɛ
Alojs	a l ɔ j s
arcybiskupstwo	a r t͡s ɨ bʲ i s k u p s t w ɔ
Awstriska	a w s t rʲ i s k a
awto	a w t ɔ
awtor	a w t ɔ r
Azija	a z i j a
baba	b a b a
babce	b a p t͡s ɛ
babka	b a p k a
babkach	b a p k a x
babkami	b a p k a mʲ i
babki	b a p kʲ i
baby	b a b ɨ
bakany	b a k a n ɨ
banana	b a n a n a
bananu	b a n a n u
banka	b a n k a
bankach	b a n k a x
bankami	b a n k a mʲ i
banki	b a n kʲ i
banku	b a n k u
barana	b a r a n a
Barlinja	b a r l i ɲ a
Barliń	b a r l i ɲ
barwa	b a r w a
baz	b a s
baza	b a z a
baze	b a z ɛ
bazowy	b a z ɔ w ɨ
bej	b ɛ j
beja	b ɛ j a
bejach	b ɛ j a x
běch	bʲ ɪ x
běchmej	bʲ ɪ x m ɛ j
běchmy	bʲ ɪ x m ɨ
běchu	bʲ ɪ x u
běła	bʲ ɪ w a
běły	bʲ ɪ w ɨ
běrtyl	bʲ ɪ r t ɨ l
běšćo	bʲ ɪ ɕ t͡ɕ ɔ
běšo	bʲ ɪ ʃ ɔ
běštej	bʲ ɪ ʃ t ɛ j
běžaś	bʲ ɪ ʒ a ɕ
bcha	p x a
biju	bʲ i j u
bił	bʲ i w
biś	bʲ i ɕ
bit	bʲ i t
bjachaŕ	bʲ a x a rʲ
bjerjecy	bʲ ɛ rʲ ɛ t͡s ɨ
bjerjech	bʲ ɛ rʲ ɛ x
bjerjechmej	bʲ ɛ rʲ ɛ ç m ɛ j
bjerjechmy	bʲ ɛ rʲ ɛ ç m ɨ
bjerjechu	bʲ ɛ rʲ ɛ ç u
bjerješćo	bʲ ɛ rʲ ɛ ɕ t͡ɕ ɔ
bjerješo	bʲ ɛ rʲ ɛ ʃ ɔ
bjerještej	bʲ ɛ rʲ ɛ ʃ t ɛ j
bjerjo	bʲ ɛ rʲ ɔ
bjerjom	bʲ ɛ rʲ ɔ m
bjerjomej	bʲ ɛ rʲ ɔ m ɛ j
bjerjomy	bʲ ɛ rʲ ɔ m ɨ
bjerjoš	bʲ ɛ rʲ ɔ ʃ
bjerjośo	bʲ ɛ rʲ ɔ ɕ ɔ
bjerjotej	bʲ ɛ rʲ ɔ t ɛ j
bjeŕ	bʲ ɛ rʲ
bjeŕśo	bʲ ɛ rʲ ɕ ɔ
bjeŕtej	bʲ ɛ rʲ t ɛ j
błogi	b w ɔ ɡʲ i
Błota	b w ɔ t a
błoto	b w ɔ t ɔ
blědy	b l ɪ d ɨ
blida	b l i d a
blido	b l i d ɔ
bliska	b l i s k a
bliski	b l i s kʲ i
bliskich	b l i s kʲ i x
bliskim	b l i s kʲ i m
bliskimi	b l i s kʲ i mʲ i
blisko	b l i s k ɔ
bluwaju	b l u w a j u
bluwał	b l u w a w
bluwam	b l u w a m
bluwaś	b l u w a ɕ
bob	b ɔ p
boba	b ɔ b a
bobr	b ɔ b r
boce	b ɔ t͡s ɛ
boga	b ɔ ɡ a
bogach	b ɔ ɡ a x
bogami	b ɔ ɡ a mʲ i
bogaty	b ɔ ɡ a t ɨ
bogom	b ɔ ɡ ɔ m
bogu	b ɔ ɡ u
bok	b ɔ k
boka	b ɔ k a
boku	b ɔ k u
bom	b ɔ m
boma	b ɔ m a
Borbora	b ɔ r b ɔ r a
bój	b ɛ j
bójał	b ɛ j a w
bójaś	b ɛ j a ɕ
bóje	b ɛ j ɛ
bójm	b ɛ j m
ból	b ɛ l
ból	b ɨ l
ból	b ʊ l
bóleł	b ɛ l ɛ w
bóleł	b ɨ l ɛ w
bóleł	b ʊ l ɛ w
bóleś	b ɛ l ɛ ɕ
bóleś	b ɨ l ɛ ɕ
bóleś	b ʊ l ɛ ɕ
bóli	b ɛ l i
bóli	b ɨ l i
bóli	b ʊ l i
bósučki	b ɛ s u t͡ʃ kʲ i
bósučki	b ɨ s u t͡ʃ kʲ i
bósučki	b ʊ s u t͡ʃ kʲ i
bósy	b ɛ s ɨ
bósy	b ɨ s ɨ
bósy	b ʊ s ɨ
bóžy	b ɛ ʒ ɨ
bóžy	b ɨ ʒ ɨ
bóžy	b ʊ ʒ ɨ
brał	b r a w
brała	b r a w a
brałej	b r a w ɛ j
brało	b r a w ɔ
Bramborska	b r a m b ɔ r s k a
brane	b r a n ɛ
branu	b r a n u
brany	b r a n ɨ
braś	b r a ɕ
bratš	b r a t͡ʃ
bridki	b rʲ i t kʲ i
brjaza	b rʲ a z a
brjaze	b rʲ a z ɛ
brjog	b rʲ ɔ k
brjogu	b rʲ ɔ ɡ u
brjoze	b rʲ ɔ z ɛ
brjuch	b rʲ u x
brod	b r ɔ t
broda	b r ɔ d a
brodach	b r ɔ d a x
brodami	b r ɔ d a mʲ i
brodom	b r ɔ d ɔ m
brodu	b r ɔ d u
brody	b r ɔ d ɨ
brona	b r ɔ n a
bronach	b r ɔ n a x
bronami	b r ɔ n a mʲ i
brony	b r ɔ n ɨ
broń	b r ɔ ɲ
brošma	b r ɔ ʃ m a
brozda	b r ɔ z d a
