ale	a l ə
až	a ʃ
babam	b a b a m
babu	b a b u
badak	b a d a k
bankach	b a ŋ k a x
bankami	b a ŋ k a mʲ i
banku	b a ŋ k u
baran	b a r a n
baze	b a z ə
bazu	b a z u
bej	b e j
bij	bʲ i j
bili	bʲ i lʲ i
bjerjecy	bʲ e rʲ ɛ t͡s ɨ
bjerjechmej	bʲ e rʲ e ç m e j
bjerjechmy	bʲ e rʲ e ç m ɨ
bjerjechu	bʲ e rʲ e ç u
bjerjo	bʲ e rʲ ɔ
bjerjom	bʲ e rʲ ɔ m
bjerjomy	bʲ e rʲ ɔ m ɨ
bjerjośo	bʲ e rʲ ɔ ɕ ɔ
bjerjotej	bʲ e rʲ ɔ t e j
bjeru	bʲ e r u
bjerucy	bʲ e r u t s ɨ
blido	b lʲ i d ɔ
bliska	b lʲ i s k a
bliskich	b lʲ i s kʲ i xʲ
bliskich	b lʲ i s kʲ i x
bliskim	b lʲ i s kʲ i m
bliskimi	b lʲ i s kʲ i mʲ i
blisko	b lʲ i s k ɔ
bluwa	b l u w a
boce	b ɔ t͡s ə
bog	b ɔ k
Bog	b ɔ k
bogi	b ɔ ɡʲ i
bogojski	b ɔ ɡ ɔ j s k i
boki	b ɔ kʲ i
bokom	b ɔ k ɔ m
bomoju	b ɔ m ɔ j u
brali	b r a lʲ i
brana	b r a n a
brane	b r a n ə
brat	b r a t
brjoze	b rʲ ɔ z ə
brudny	b r u d n ɨ
bruka	b r u k a
brunice	b r u nʲ i t͡s ə
brusa	b r u s a
bruse	b r u s ə
bryle	b r ɨ l ə
buda	b u d a
budu	b u d u
buch	b u x
buchmej	b u x m e j
buchmy	b u x m ɨ
buchu	b u x u
buka	b u k a
buki	b u kʲ i
buku	b u k u
buźo	b u ʑ ɔ
by	b ɨ
bydle	b ɨ d l ə
bydlenje	b ɨ d l e nʲ ə
bydleński	b ɨ d l e nʲ s kʲ i
bydli	b ɨ d lʲ i
bydlił	b ɨ d lʲ i w
bydlim	b ɨ d lʲ i m
bydlit	b ɨ d lʲ i t
było	b ɨ w ɔ
byli	b ɨ lʲ i
caple	t͡s a p l ə
carne	t͡s a r n ə
casam	t͡s a s a m
casu	t͡s a s u
ceja	t͡s e j a
ceje	t͡s e j ə
ceji	t͡s e j i
ceły	t s ɛ w ɨ
cepam	t͡s ɛ p a m
cesaś	t s ɛ s a ɕ
ceste	t͡s ɛ s t ɛ
coło	t s o w ɔ
cole	t͡s ɔ l ə
com	t͡s ɔ m
comy	t͡s ɔ m ɨ
cowanje	t͡s o w a nʲ ə
crjono	t s rʲ ɔ n ɔ
crjowo	t͡s rʲ o w ɔ
cu	t͡s u
cujo	t͡s u j ɔ
cynje	t͡s ɨ nʲ ə
cyta	t͡s ɨ t a
cytanje	t͡s ɨ t a nʲ ə
cytat	t͡s ɨ t a t
daj	d a j
dajo	d a j ɔ
dajom	d a j ɔ m
daju	d a j u
dała	d a w a
dalej	d a l e j
dali	d a lʲ i
dalina	d a lʲ i n a
daloki	d a l ɔ kʲ i
dana	d a n a
dane	d a n ə
daneje	d a n e j ə
daneje	d a n ɛ j ə
danem	d a n ɛ m
danje	d a nʲ ə
danju	d a nʲ u
dank	d a ŋ k
danki	d a ŋʲ kʲ i
danku	d a ŋ k u
daś	d a ɕ
dawaj	d a w a j
dawat	d a w a t
dej	d e j
dejał	d e j a w
dejał	d ɛ j a w
dejanje	d e j a nʲ ə
dejanje	d ɛ j a nʲ ə
dobre	d ɔ b r ə
dobrej	d ɔ b r e j
doł	d o w
dole	d ɔ l ə
dolnoserbski	d ɔ l n ɔ s ɛ r s kʲ i
domk	d ɔ m k
domoju	d ɔ m ɔ j u
drapa	d r a p a
droga	d r o w ɡ a
droge	d r ɔ ɡʲ ə
drogim	d r ɔ ɡʲ i m
drogimi	d r ɔ ɡʲ i mʲ i
drogo	d r ɔ ɡ ɔ
drogowy	d r o w ɡ o w ɨ
droze	d r ɔ z ə
droze	d r o w z ə
drozna	d r ɔ z n a
droznach	d r ɔ z n a x
droznam	d r ɔ z n a m
droznami	d r ɔ z n a mʲ i
droznje	d r ɔ z nʲ ə
droznoma	d r ɔ z n ɔ m a
droznow	d r ɔ z n o w
droznowu	d r ɔ z n o w u
drozny	d r ɔ z n ɨ
droždźeje	d r ɔ ʑ d͡ʑ ɛ j ə
droždźeje	d r ɔ ʑ d͡ʑ e j ə
druga	d r u ɡ a
drugim	d r u ɡʲ i m
drugimi	d r u ɡʲ i mʲ i
