A	ʔ aː ˧˧
A Di Đà	ʔ aː ˧˧ z i ˧˧ ʔ ɗ aː ˨˩
A Di Đà Phật	ʔ aː ˧˧ z i ˧˧ ʔ ɗ aː ˨˩ f ə t̚ ˧˨ ʔ
A Lưới	ʔ aː ˧˧ l ɨ ə j ˧˦
A Lịch Sơn	ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧
A Lịch Sơn Đắc Lộ	ʔ aː ˧˧ l ï k̟̚ ˧˨ ʔ s əː n ˧˧ ʔ ɗ a k̚ ˧˦ l o ˧˨ ʔ
A Phú Hãn	ʔ aː ˧˧ f u ˧˦ h aː n ˦ˀ˥
A Q	ʔ aː ˧˧ k w i ˧˧
A Sào	ʔ aː ˧˧ s aː w ˨˩
A Tu La	ʔ aː ˧˧ t u ˧˧ l aː ˧˧
A Tư Đà	ʔ aː ˧˧ t ɨ ˧˧ ʔ ɗ aː ˨˩
ACE	ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧
ADN	ʔ aː ˧˧ ʔ ɗ e ˧˧ ʔ ɛ n ˧˧
AI	ʔ ə j ˧˧ ʔ aː j ˧˧
AI tạo sinh	ʔ ə j ˧˧ ʔ aː j ˧˧ t aː w ˧˨ ʔ s ï ŋ ˧˧
Ai Cập	ʔ aː j ˧˧ k ə p̚ ˧˨ ʔ
Ai Cập cổ đại	ʔ aː j ˧˧ k ə p̚ ˧˨ ʔ k o ˧˩ ʔ ɗ aː j ˧˨ ʔ
Ai Lao	ʔ aː j ˧˧ l aː w ˧˧
Alexanđê	ʔ aː ˧˧ l ɛ k̚ ˧˦ s aː n ˧˧ ʔ ɗ e ˧˧
Ambrôsiô	ʔ aː m ˧˧ ʔ ɓ ɹ o ˧˧ s i ˧˧ ʔ o ˧˧
An	ʔ aː n ˧˧
An Dương	ʔ aː n ˧˧ z ɨ ə ŋ ˧˧
An Giang	ʔ aː n ˧˧ z aː ŋ ˧˧
An Huy	ʔ aː n ˧˧ h w i ˧˧
An Hải	ʔ aː n ˧˧ h aː j ˧˩
An Lão	ʔ aː n ˧˧ l aː w ˦ˀ˥
An Lê Mân	ʔ aː n ˧˧ l e ˧˧ m ə n ˧˧
An Nam	ʔ aː n ˧˧ n aː m ˧˧
An Ngãi	ʔ aː n ˧˧ ŋ aː j ˦ˀ˥
Anê	ʔ aː n ˧˧ n e ˧˧
B	ʔ ɓ e ˧˧
B	ʔ ɓ e ˧˧ ʔ ɓ ɔ ˨˩
B	ʔ ɓ əː ˨˩
BLDS	ʔ ɓ o ˧˨ ʔ l w ə t̚ ˧˨ ʔ z ə n ˧˧ s ɨ ˧˨ ʔ
BTC	ʔ ɓ aː n ˧˧ t o ˧˩ t͡ɕ ɨ k̚ ˧˦
Bin	ʔ ɓ i n ˧˧
Binh pháp Tôn Tử	ʔ ɓ ï ŋ ˧˧ f aː p̚ ˧˦ t o n ˧˧ t ɨ ˧˩
Bo	ʔ ɓ ɔ ˧˧
Bon	ʔ ɓ ɔ n ˧˧
Brigitta	ʔ ɓ ɹ i ˧˧ z i t̚ ˧˦ t aː ˧˧
Brâu	ʔ ɓ ɹ ə w ˧˧
Buôn Ma Thuột	ʔ ɓ u ə n ˧˧ m aː ˧˧ tʰ u ə t̚ ˧˨ ʔ
Bàn Cổ	ʔ ɓ aː n ˨˩ k o ˧˩
Bàn Môn Điếm	ʔ ɓ aː n ˨˩ m o n ˧˧ ʔ ɗ i ə m ˧˦
Bành	ʔ ɓ a j ŋ̟ ˨˩
Bành Hồ	ʔ ɓ a j ŋ̟ ˨˩ h o ˨˩
Bình	ʔ ɓ ï ŋ ˨˩
Bình Chánh	ʔ ɓ ï ŋ ˨˩ t͡ɕ a j ŋ̟ ˧˦
Bình Dương	ʔ ɓ ï ŋ ˨˩ z ɨ ə ŋ ˧˧
Bình Nhưỡng	ʔ ɓ ï ŋ ˨˩ ɲ ɨ ə ŋ ˦ˀ˥
Bình Phước	ʔ ɓ ï ŋ ˨˩ f ɨ ə k̚ ˧˦
Bình Thuận	ʔ ɓ ï ŋ ˨˩ tʰ w ə n ˧˨ ʔ
Bình Trị Thiên	ʔ ɓ ï ŋ ˨˩ t͡ɕ i ˧˨ ʔ tʰ i ə n ˧˧
Bình Đông	ʔ ɓ ï ŋ ˨˩ ʔ ɗ ə w ŋ͡m ˧˧
Bình Định	ʔ ɓ ï ŋ ˨˩ ʔ ɗ ï ŋ ˧˨ ʔ
