aba	à b à
abable	à b à b l é
abaɖonuwo	à b à ɖ ǒ n ú ɰ ó
abadzivɔ	à b à d͡z ǐ v ɔ́
abadzivɔwo	à b à d͡z ǐ v ɔ́ ɰ ó
abati	à b à t í
abei	à b e í
abolo	à b ó l ò
abɔ	à b ɔ̌
Abraham	á b l à h à m
Adam	á d à m
ade	à d é
adedada	à d è d à d à
Adeɛmekpɔxe	à d è ɛ́ m é k͡p ɔ́ x è
adela	à d è l á
adelã	à d è l ã̀
adelia	à d é l ì á
adre	à d l é
adrelia	à d l é l ì á
aɖaba	à ɖ à b á
aɖe	à ɖ è
aɖegbeƒoƒo	à ɖ è ɡ͡b è ɸ ò ɸ ò
aɖiba	à ɖ ì b á
aɖɔɖi	à ɖ ɔ̀ ɖ ì
adzamatre	à d͡z à m á t l é
adzudzɔ	à d͡z ù d͡z ɔ̀
afa	à f á
afã	à f ã́
afakaka	à f á k à k à
afi	à f ì
afia	à f ì à
afiatsotso	à f ì à t͡s ò t͡s ò
afɔ	à f ɔ̀
Afɔfiɛ	à f ɔ̀ f ì ɛ́
afɔkɔe	à f ɔ̀ k ɔ̀ é
afɔkpa	à f ɔ̀ k͡p à
afɔkpodzi	à f ɔ̀ k͡p ó d͡z í
afɔmɔ	à f ɔ̀ m ɔ́
agama	à ɡ à m à
agumetaku	à ɡ ù m è t á k ù
agbaƒuti	à ɡ͡b à ɸ ú t ì
agbalẽ	à ɡ͡b à l ẽ̀
agbe	à ɡ͡b è
agbeli	à ɡ͡b è l ì
agble	à ɡ͡b l è
agbledela	à ɡ͡b l è d è l á
aha	à h à
ahasi	à h á s ì
ahasiwɔwɔ	à h á s ì ɰ ɔ̀ ɰ ɔ̀
ahosi	à h ò s ì
akatsa	à k à t͡s á
ako	á k ò
akɔɖu	à k ɔ̀ ɖ ú
akutu	á k ú t ù
akpaviã	à k͡p á v ì ã̂
akpe	à k͡p é
akpɔkplɔ	à k͡p ɔ̀ k͡p l ɔ̀
alakpadada	à l à k͡p à d à d à
alakpatɔ	à l à k͡p à t ɔ́
alẽ	à l ẽ́
alẽnɔ	à l ẽ́ n ɔ̀
alilikpo	à l í l í k͡p ǒ
amatsi	à m à t͡s ì
ame	à m è
amegãxi	à m è ɡ ã́ x ì
amegbetɔ	à m è ɡ͡b è t ɔ́
amenuveve	à m è n ú v è v è
ameyibɔ	à m è j ì b ɔ̀
anyi	à ɲ í
anyi	à ɲ í
anyidi	à ɲ í d ì
anyigba	à ɲ í ɡ͡b á
anyigba	à ɲ í ɡ͡b á
anyimlɔxɔ	à ɲ í m l ɔ́ x ɔ̀
anyitsi	à ɲ í t͡s ì
anyĩtsi	à ɲ ĩ́ t͡s ì
Anyɔnyɔ	à ɲ ɔ̀ ɲ ɔ̀
aŋutrɔ	à ŋ ù t l ɔ̀
aŋutrɔdada	à ŋ ù t l ɔ́ d à d à
aŋutrɔdala	à ŋ ù t l ɔ́ d à l á
asi	à s í
asi	à s ì
asi	à s ì
asieke	à s í é k è
asiekelia	à s í é k è l ì á
asitsala	à s ì t͡s à l á
ati	à t í
atike	à t í k è
atikewɔƒe	à t í k è ɰ ɔ̀ ɸ é
atikewɔla	à t í k è ɰ ɔ̀ l á
atikutsetse	à t í k ú t͡s é t͡s é
atɔ	à t ɔ̀
atɔ̃	à t ɔ̃́
atɔtɔ	à t ɔ́ t ɔ́
atukpa	à t ù k͡p á
atsiaƒu	à t͡s í á ɸ ú
atsu	à t͡s ú
avu	à v ǔ
avulela	à v ù l é l á
avulenu	à v ù l é n ù
avunɔ	à v ǔ n ɔ̀
aʋako	à β à k ò
