Allâh	a l l ɒː h
Xudâ	χ ʊ d ɒ
Xudâ	χ ʊ d ɒː
Xudâ	χ ʊ̞ d ɒː
adaş	a d a ʃ
afsâr	a f s ɒ ɾ
afsâr	a f s ɒː ɾ
afsâr	ɑ v̥ s ɑː ɾ
afsâr	ɑ w s ɒː ɾ
afsûn	a f s uː n
almaq	a l m a q
alt	aː l t
alta	a l t a
alta	ɑ l t ɒ
alta	ɒ l t ɒ
altamıncı	a l t a m ɪ n d͡ʒ ɪ
altmış	a l t m ɪ̈ ʃ
altmış	a l t m ʊ ʃ
altmış	ɒ l t m i ʃ
alımla	a l ɪ m l a
alımla	a l ʊ m l a
alımla	a l ʊ m l aˑ
alımla	a l ʊ m l ɑ
alımla	a l ʊ̜ m l a
alımla	a l ʏ m l a
alımla	ɑ l ʊ m l ɒ
alımla	ɑ l ʊ̞ m l ɒ
ambur	a m b ʊ ɾ
ammə	a mː æ
ammə	aˑ mː æ
ammə	æ mː æ
ammə	æ̞ mː æ
ammə	æ̞ mː ə
ammə	æ̞ˑ mː æ
ammə	ɑ mː æ
amrût	a m ɾ uː ʊ̯ t
amı	a m u
amı	a m u̞
amı	a m ɪ
amı	aˑ m ʊ
amı	ɑ m u
amı	ɑ m ʊ
amı	ɑˑ m ʊ
anglamaq	a ŋ l a m a q
anguştər	a ŋ ɡ ʊ ʃ t æ ɾ
angûr	a ŋ ɡ uː ɾ
aqqar	a q ɡ̊ ɒˑ ɾ
aqqar	a q ɢ a ɾ
aqqar	a ɢ̥ ɢ̥ ɒˑ ɾ
aqrab	a q ɾ a b
aqîdə	a ʁ iː d æ
aqıl	a q ɪ̈ l
arpa	a ɾ p a
arqa	a ɾ q a
arxa	a ɾ χ a
arzân	a ɾ z ɒː n
arıtmaq	a ɾ ʊ t m a q
arığ	a ɾ ɪ ʁ
arığ	a ɾ ɪ̈ ʁ
arığ	a ɾ ʊ ʁ
aslən	a s l æ n
asra	a s ɾ a
asra	a ɾ s a
ast	ɑ s d̥
ast	ɒ s d̥
astana	a s t a n a
astar	a s t a ɾ
axta	a χ t a
ayna	a j n a
aşğırma	a ʃ ʁ ʊ ɾ m a
aşğırmaq	a ʃ ʁ ɪ̈ ɾ m a q
aşğırmaq	a ʃ ʁ ʊ ɾ m a q
bala	b a l a
baldız	b a l d u z
baldız	b a l d uː s̥
baldız	b a l d ɪ z
baldız	b a l d ɪ̹ z
baldız	b a l d ʊ z
bara	b a ɾ a
barasıça	b a ɾ a s ɪ̈ t͡ʃ a
barmaq	b a ɾ m a q
barmaq	b ɒ ɾ m ɒ q
basmaq	b a s m a q
bastırmaq	b a s t ʊ ɾ m a q
basılmaq	b a s ʊ l m a q
batmaq	b a t m a q
batmaq	b ɒ t m ɒ q
baxt	b a χ t
bayquş	b a j a̯ ʁ ʊ ʃ
bağışlamaq	b a ʁ ɪ̈ ʃ l a m a q
baş	b aˑ ʃ
baş	b æ̞ ʃ
baş	b ɒˑ ʃ
bidük	b i d i k
bidük	b i d ɪ k
bidük	b i̞ d ɪ k
