Aaden	aː d ə n
Aanter	aː n t ə r
Aap	aː p
Aaste	aː s t ə
Aastfräislound	aː s t f r ɛ ɪ̯ s l oː u̯ n d
Adder	a d ə r
Akster	a k s t ə r
Apel	aː p ə l
Appel	a p ə l
Baal	b aː l
Babe	b aː b ə
Been	b eː n
Bidden	b ɪ d ə n
Bisamrotte	b iː s a m r ɔ t ə
Blaumäske	b l aː u̯ m ɛ s k ə
Blede	b l eː d ə
Bloud	b l oː u̯ d
Bloume	b l oː u̯ m ə
Blääd	b l ɛː d
Boar	b ɔː r
Boare	b ɔː r ə
Boark	b ɔː r k
Boarke	b ɔː r k ə
Boart	b ɔː r t
Boas	b ɔː s
Boom	b oː m
Bouk	b oː u̯ k
Bouke	b oː u̯ k ə
Brainge	b r aː i̯ ŋ ə
Bronse	b r ɔ n s ə
Brood	b r oː d
Bround	b r oː u̯ n d
Brour	b r oː u̯ r
Bräge	b r ɛː ɣ ə
Bräienge	b r ɛ ɪ̯ ə ŋ ə
Brääg	b r ɛː ɣ
Brúur	b r uː r
Buk	b ʊ k
Buutje	b u t j ə
Bäiden	b ɛ ɪ̯ d ə n
Bäidene	b ɛ ɪ̯ d ə n ə
Bäidenstied	b ɛ ɪ̯ d ə n s t i d
Bäidenstieden	b ɛ ɪ̯ d ə n s t i d ə n
Bäie	b ɛ ɪ ə
Bäist	b ɛ ɪ̯ s t
Bäiste	b ɛ ɪ̯ s t ə
Bíerig	b iː r ɪ ɣ
Böije	b œː i̯ j ə
Dai	d aː i̯
Daks	d a k s
Dau	d aː u̯
Dege	d eː ɣ ə
Ding	d ɪ ŋ
Dingere	d ɪ ŋ ə r ə
Dokter	d ɔ k t ə r
Dole	d oː l ə
Dom	d ɔ m
Droom	d r oː m
Dröizelke	d r œː i̯ s ə l k ə
Díert	d iː r t
Dúve	d uː v ə
Düütsk	d y t s k
Düütsklound	d y t s k l oː u̯ n d
Eend	eː n d
Eende	eː n d ə
Eere	eː r ə
Eeuwend	eː u̯ ə n t
Elefant	eː l ə f a n t
Elefante	eː l ə f a n t ə
Fadder	f a d ə r
Fat	f a t
Februoar	f eː b r u ɔː r
Ferbonnenge	f ə r b ɔ n ə ŋ ə
Finger	f ɪ ŋ ə r
Fink	f ɪ ŋ k
Fisk	f ɪ s k
Fiskotter	f ɪ s k ɔ t ə r
Fjúur	f j uː r
Flaask	f l aː s k
Fledermuze	f l eː d ə r m u s ə
Fledermúus	f l eː d ə r m uː s
Floite	f l ɔ y̯ t ə
Floud	f l oː u̯ d
Foaks	f ɔː k s
Foaksgat	f ɔː k s ɣ a t
Foar	f ɔː r
Fouerke	f oː u̯ ə r k ə
Foulk	f oː u̯ l k
Fout	f oː u̯ t
Foutbaal	f oː u̯ t b aː l
Froage	f r ɔː ɣ ə
Froast	f r ɔː s t
Frucht	f r ʊ x t
Fräige	f r ɛ ɪ̯ ɣ ə
Fräindai	f r ɛ ɪ̯ n d aː i̯
Fräisk	f r ɛ ɪ̯ s k
Fräiske	f r ɛ ɪ̯ s k ə
Fräislound	f r ɛ ɪ̯ s l oː u̯ n d
Fründ	f r ʏ n d
Fugge	f ʊ ɣ ə
Fädder	f ɛ d ə r
Fäild	f ɛ ɪ̯ l d
Fäildere	f ɛ ɪ̯ l d ə r ə
Fäildmuze	f ɛ ɪ̯ l d m u s ə
Fäildmúus	f ɛ ɪ̯ l d m uː s
Fäite	f ɛ ɪ̯ t ə
Fäldmúus	f ɛ l d m uː s
Fúgel	f uː ɣ ə l
Fúurke	f uː r k ə
Gat	ɣ a t
Geet	ɣ eː t
Gete	ɣ eː t ə
Glove	ɣ l oː v ə
Goang	ɣ ɔː ŋ
Goate	ɣ ɔː t ə
Goatere	ɣ ɔː t ə r ə
God	ɣ ɔ d
