Aast	ɔː s t
Blör	b l œ r
Brain	b r a i̯ n
Bruar	b r u a̯ r
Bröch	b r œ x
Bröđer	b r œ ð ə r
Buat	b u a̯ t
Buusem	b uː z ə m
Daagen	d ɔː x ə n
Dai	d a ɪ̯
Dreeng	d r eː ŋ
En	ɛ n
Faamen	f ɔː m ə n
Faamner	f ɔː m n ə r
Faađer	f ɔː ð ə r
Fet	f ɛ t
Flāg	f l aː x
Fođer	f ɔ l ə
Fođer	f ɔ r ə
Frinj	f r ɪ ɲ
Gooki	ɡ oː k ə
Guus	ɡ uː s
Gögeler	ɡ œ ç ɛ l ə r
Gös	ɡ œ s
Gērs	ɡ ɛː r s
Haur	h a u̯ r
Hüs	h ʏ s
Hüüsing	h yː z ɪ ŋ
Hārefst	h aː r ə f s t
Jöl	j œ l
Kin	k ɪ n
Knif	k n ɪ f
Kü	k ʏ
Man	m ɑ n
Mootji	m oː tʲ ə
Mārig	m aː r ɪ ç
Nuurđfriisk	n uː r ð f r iː s k
Oom	oː m
Sjürt	ʂ ʏ x t
Skoch	s k ɔ x
Skolp	s k ɔ l p
Skruk	s k r ʊ k
Spook	s p oː k
Spraak	s p r ɔː k
Stroom	s t r oː m
Swērt	s v ɛː x t
Sērk	s ɛː x k
Tērp	t ɛː x p
Uurt	uː x t
Weeter	v eː t ə r
aacht	ɔː x t
aacht	ʌː x t
biise	b iː z ə
bister	b ɪ s t ə r
bjarn	b j a r n
blädje	b l ɛ d j ə
blö	b l œ
blööm	b l œː m
brün	b r ʏ n
deling	d ɛ l ɪ ŋ
diling	d i l ɪ ŋ
djo	d j o
drainke	d r a ɪ ŋ k ə
dräng	d r ɛ ŋ
däi	d ɛ ɪ
dörnsch	d œ r n ʃ
döör	d œː r
dü	d ʏ
düünj	d yː n j
düüwel	d yː v ə l
fif	f ɪ f
fraagi	f r ɔː x ə
frasch	f r a ʃ
freese	f r eː z ə
frün	f r ʏ n
fälj	f ɛ l j
goobel	ɡ ɔː b ə l
gre	ɡ r ɛ
green	ɡ r eː n
gur	ɡ ʊ ə̯
güül	ɡ yː l
hart	h a r t
heelpe	h eː l p ə
heewe	h eː v ə
hoken	h ɔ k ɛ n
höm	h œ m
hönj	h œ n j
höör	h øː r
hün	h y n
i	ɪ
ial	j ɑ l
ian	i a n
iilj	iː l j
iinj	iː n j
iit	iː t
ik	ɪ k
ja	j a
jeewe	j eː v ə
jen	j ɛ n
junk	j ʊ ŋ k
jä	j ɛ
jü	j ʏ
kiike	k iː k ə
krich	k r ɪ ç
kåmp	k ɒ m p
kåt	k ɒ t
laawen	l aː v ə n
liiwe	l iː v ə
luupe	l uː p ə
lönj	l œ n j
moune	m ɔ u n ə
mönster	m œ n s t ə r
mötj	m œ t j
niigen	n iː ç ə n
njüügen	n j yː ɡ ə n
noome	n ɔː m ə
nåcht	n ɒ x t
nöös	n øː s
nü	n ʏ
oler	ɔ l ə r
oocht	ɔː x t
ruar	r u a̯ ə
schap	ʃ a p
schunge	ʃ ʊ ŋ ə
schäip	ʃ ɛ ɪ p
schååp	ʃ ɒː p
schörk	ʃ œ ʀ k
se	s ɛ
sedel	s ɛ d ə l
seede	s eː d ə
seeks	s eː k s
sii	s iː
soks	s ɔ k s
soowen	s oː f ə n
soowen	s oː v ə n
spaale	s p aː l ə
spriik	s p r iː k
struum	s t r uː m
suurt	s uː x t
sös	s œ s
taatji	t ɔː tʲ ə
tau	t a u
tiin	t iː n
tjüsch	t j ʏ ʃ
twasche	t v a ʃ ə
twesken	t v ɛ s k ə n
tånke	t ɒ ŋ k ə
ual	u ə̯ l
wale	v a l ə
weese	v eː z ə
wiis	v iː s
win	v ɪ n
wit	v ɪ t
wååder	v ɒː d ə r
wü	v ʏ
Önereersk	œ n ə r eː s k
ärm	ɛ r m
ääse	ɛː z ə
ååpel	ɒː p ə l
ååwe	ɒː v ə
önj	œ n j
üs	ʏ s
üüs	yː s
üđer	ʏ l ə ɐ̯
üđer	ʏ r ə ɐ̯
üđer	ʏ ð ə ɐ̯
ārig	aː r ə ç
