adaş	a d a ʃ
afsâr	a f s ɒ ɾ
afsâr	a f s ɒː ɾ
afsâr	ɑ v̥ s ɑː ɾ
afsâr	ɑ w s ɒː ɾ
afsûn	a f s uː n
alımla	a l ʊ m l a
alımla	a l ʊ̜ m l a
alımla	a l ɪ m l a
alımla	a l ʏ m l a
alımla	ɑ l ʊ m l ɒ
alımla	ɑ l ʊ̞ m l ɒ
alımla	a l ʊ m l aˑ
alımla	a l ʊ m l a
alımla	a l ʊ m l ɑ
Allâh	a l l ɒː h
Allâh	a l l ɒː
almaq	a l m a q
alt	aː l t
alt	a l t
alta	ɑ l t ɒ
alta	ɒ l t ɒ
alta	ɒ l t ɒ
alta	a l t a
altamıncı	a l t a m ɪ n d͡ʒ ɪ
altmış	ɒ l t m i ʃ
altmış	a l t m ʊ ʃ
altmış	a l t m ɪ̈ ʃ
ambur	a m b ʊ ɾ
amı	ɑ m ʊ
amı	a m ɪ
amı	a m u
amı	ɑˑ m ʊ
amı	aˑ m ʊ
amı	ɑ m u
amı	a m u̞
ammə	ɑ mː æ
ammə	æ̞ mː æ
ammə	a mː æ
ammə	æ mː æ
ammə	æ̞ˑ mː æ
ammə	aˑ mː æ
ammə	æ̞ mː ɜ
amrût	a m ɾ uː ʊ̯ t
anglamaq	a ŋ l a m a q
anguştər	a ŋ ɡ ʊ ʃ t æ ɾ
angûr	a ŋ ɡ uː ɾ
aqıl	a q ɪ̈ l
aqqar	a q ɡ̊ ɒˑ ɾ
aqqar	a ɢ̥ ɢ̥ ɒˑ ɾ
aqqar	a q ɢ a ɾ
aqrab	a q ɾ a b
aqîdə	a ʁ iː d æ
aqîdə	a ʁ i d æ
arıtmaq	a ɾ ʊ t m a q
arığ	a ɾ ʊ ʁ
arığ	a ɾ ɪ ʁ
arığ	a ɾ ɪ̈ ʁ
arpa	a ɾ p a
arqa	a ɾ q a
arxa	a ɾ χ a
arzân	a ɾ z ɒː n
aslən	a s l æ n
asra	a s ɾ a
asra	a ɾ s a
asra	a ɾ s a
ast	ɒ s d̥
ast	ɑ s d̥
astana	a s t a n a
astar	a s t a ɾ
axta	a χ t a
aya	a j a
aya	a j a m
ayna	a j n a
aşğırma	a ʃ ʁ ʊ ɾ m a
aşğırmaq	a ʃ ʁ ɪ̈ ɾ m a q
