aa	ɑː
aadu	ɑː d u
aapain	ɑː p ɑ i̯ n
aapõ	ɑː p ə̠
aarto	ɑː r t o
aarõ	ɑː r ə̠
aavõ	ɑː v ə̠
aavõ	ɑː v
ačkõ	ɑ t͡ʃ k ə̠
ačkõd	ɑ t͡ʃ k ɤ̟ d̥
ačkõd	ɑ t͡ʃ k ɑ d̥
adrõ	ɑ d r ə̠
aftobussõ	ɑ f t o b u sː ə̠
aftobussõ	ɑ f t o b u sː ə̠
ahaz	ɑ h ɑ z̥
ahavõ	ɑ h ɑ v ə̠
ahilõ	ɑ hʲ i ɫ ə̠
ahissa	ɑ hʲ i sː ɑ
ahjo	ɑ h ʝ o
ahjo	ɑ h ʝ o
ahjopäälüz	ɑ h ʝ o pʲ æː l y z̥
ahkõrõ	ɑ x k ɤ r ə̠
ahmia	ɑ h mʲ i ɑ̯
ahnõ	ɑ h n ɤ
ahnõz	ɑ h n ɤ̟ z̥
aho	ɑ h o
ahta	ɑ h t ɑ
ahtõri	ɑ h t ɤ rʲ i
ahvõkko	ɑ h v ɤ̟ kː o
ahvõn	ɑ h v ɤ n
ahvõnõ	ɑ h v ɤ n ə̠
ai	ɑ i̯
ai	ɑ i̯
aika	ɑ i̯ k ɑ
aikõ	ɑ i̯ k ə̠
aikõ	ɑ i̯ k
ain	ɑ i̯ n
ain	ɑ i̯ n
ainogo	ɑ i̯ n o ɡ o
ainovõ	ɑ i̯ n o v ə̠
aintaki	ɑ i̯ n t ɑ kʲ i
ainõgo	ɑ i̯ n ɤ̟ ɡ o
airo	ɑ i̯ r o
aisõ	ɑ i̯ s ə̠
aitõ	ɑ i̯ t ə̠
aivo	ɑ i̯ v o
aivõsõllõ	ɑ i̯ v ɤ̟ s ɤ ɫː ə̠
aivõz	ɑ i̯ v ɤ̟ z̥
ajajõ	ɑ ʝ ɑ ʝ ə̠
ajatuz	ɑ ʝ ɑ t u z̥
ajatõllõ	ɑ ʝ ɑ t ɤ ɫː ə̠
ajja	ɑ ʝː ɑ
ajja	ɑ ʝː ɑ
ajo	ɑ ʝ o
ajud	ɑ ʝ u d̥
ajõllõ	ɑ ʝ ɤ ɫː ə̠
akanõ	ɑ k ɑ n ə̠
akkunaluz	ɑ kː u n ɑ ɫ u z̥
akkunaluz	ɑ kː u n ɑ ɫ u z̥
akkunaluz	ɑ kː u n ɑ ɫ u z̥
akkunaluz	ɑ kː u n ɑ ɫ u z̥
akkunõ	ɑ kː u n ə̠
akkunõ	ɑ kː u n
akkõ	ɑ kː ə̠
alameri	ɑ ɫ ɑ mʲ e rʲ i
alassi	ɑ ɫ ɑ sʲː i
alassi	ɑ ɫ ɑ sʲː i
alaz	ɑ ɫ ɑ z̥
alaz	ɑ ɫ ɑ z̥
alattu	ɑ ɫ ɑ tː u
alka	ɑ ɫ k ɑ
alka	ɑ ɫ k ɑ
alko	ɑ ɫ k o
alko	ɑ ɫ k o
alku	ɑ ɫ k u
alkua	ɑ ɫ k u ɑ̯
alkua	ɑ ɫ k u ɑ̯
all	ɑ lː ə̠
all	ɑ lː
alla	ɑ ɫː ɑ
allõ	ɑ ɫː ə̠
alt	ɑ ɫ t ə̠
alt	ɑ ɫ t
altõ	ɑ ɫ t ə̠
alukõrtõ	ɑ ɫ u k ɤ r t ə̠
alukõrtõ	ɑ ɫ u k ɤ r t
alumõin	ɑ ɫ u m ɤ i̯ n
aluz	ɑ ɫ u z̥
alõn	ɑ ɫ ɤ n
alõtsi	ɑ ɫ ɤ t͡s i
alõtsi	ɑ ɫ ɤ t͡s i
ammua	ɑ mː u ɑ̯
ammõz	ɑ mː ɤ̟ z̥
ampua	ɑ m p u ɑ̯
ampua	ɑ m p u ɑ̯
anči	ɑ n t͡ʃ i
angeli	ɑ ŋ ɡʲ e l i
angõrjõz	ɑ ŋ ɡ ɤ r ʝ ɤ̟ z̥
ankkuri	ɑ ŋ kː u rʲ i
anko	ɑ ŋ k o
annõ	ɑ nː ɤ
annõ	ɑ nː ɤ
anta	ɑ n t ɑ
anta	ɑ n t ɑ
antõssi	ɑ n t ɤ sʲː i
anõ	ɑ n ɤ
apajõ	ɑ p ɑ ʝ ə̠
apatõ	ɑ p ɑ t ə̠
api	ɑ pʲ i
api	ɑ pʲ i
appo	ɑ pː o
apreli	ɑ p rʲ e l i
aragõ	ɑ r ɑ ɡ ə̠
arči	ɑ r t͡ʃ i
arčipäive	ɑ r t͡ʃ i pʲ æ i̯ vʲ ə̟
arinõ	ɑ rʲ i n ə̠
arjõ	ɑ r ʝ ə̠
arkõ	ɑ r k ə̠
arkõ	ɑ r k
armo	ɑ r m o
armõz	ɑ r m ɤ̟ z̥
aro	ɑ r o
arpõ	ɑ r p ə̠
arva	ɑ r v ɑ
arvo	ɑ r v o
arvotuz	ɑ r v o t u z̥
arvõ	ɑ r v ə̠
arvõtõ	ɑ r v ɤ̟ t ə̠
assua	ɑ sː u ɑ̯
astia	ɑ s tʲ i ɑ̯
astijõ	ɑ s tʲ i ʝ ɤ
astjõ	ɑ s t ʝ ə̠
asu	ɑ s u
azʹzʹõ	ɑ ʑː ə̠
ato	ɑ t o
ato	ɑ t o
auči	ɑ u̯ t͡ʃ i
augusti	ɑ u̯ ɡ u s tʲ i
aukko	ɑ u̯ kː o
autoa	ɑ u̯ t o ɑ̯
autussõ	ɑ u̯ t u sː ə̠
autõ	ɑ u̯ t ə̠
avahtussõ	ɑ v ɑ h t u sː ə̠
avanto	ɑ v ɑ n t o
avatõ	ɑ v ɑ t ə̠
avatõ	ɑ v ɑ t
avitta	ɑ vʲ i tː ɑ
avitta	ɑ vʲ i tː ɑ
avu	ɑ v u
avvautõ	ɑ vː ɑ u̯ t ə̠
avvotta	ɑ vː o tː ɑ
avvõtõ	ɑ vː ɤ̟ t ə̠
avvõtõ	ɑ vː ɤ̟ t
avõ	ɑ v ɤ
baabukõz	b ɑː b u k ɤ̟ z̥
baabuškõ	b ɑː b u ʃ k ə̠
bočkõ	b o t͡ʃ k ə̠
bohattõri	b o h ɑ t t ɤ rʲ i
bohattõri	b o h ɑ t t ɤ rʲ i
bokkõ	b o kː ə̠
boltaitta	b o ɫ t ɑ i̯ tː ɑ
borkkõnõ	b o r k k ɑ n ɑ
borkkõnõ	b o r kː ɤ̟ n ə̠
borkkõnõ	b o r k k ɑ n ɑ
borkkõnõ	b o r kː ɤ̟ n
borttõ	b o r tː ə̠
bratko	b r ɑ t k o
bruudõ	b r uː d ə̠
bugrõ	b u ɡ r ɑ
bugrõ	b u ɡ r ə̠
bukvõ	b u k v ə̠
bulʹbukõz	b u ʎ b u k ɤ̟ z̥
bulkkõ	b u ɫ kː ə̠
butkõ	b u t k ə̠
bõllu	b ɤ ɫː u
bõõ	b ɤː
börböttä	b ø r b ø tʲː æ
börö	b ø rʲ ø
čaaju	t͡ʃ ɑː ʝ u
čainikkõ	t͡ʃ ɑ i̯ nʲ i kː ə̠
čako	t͡ʃ ɑ k o
čaškõ	t͡ʃ ɑ ʃ k ə̠
čedreluu	t͡ʃ e d rʲ ə̟ ɫ uː
čedrete	t͡ʃ e d r e̠ tʲ ə̟
čeeli	t͡ʃ eː l i
