а̄бпь	aː bʲ pʲ
а̄в	aː v
а̄ййк	aː jː k
а̄льп	aː lʲ pʲ
а̄лэ	aː l ɛ
а̄ррьтӭпе̄лль	aː rʲː tʲ ɛ p i̯ e lʲː
а̄ҋҋт	aː j̥ː t
аббьр	a bʲː rʲ
адтҍ	a dʲ tʲ
алля	a lʲː a
алфавиһт	a l f a v i h t
ва̄лль	v aː lʲː
ва̄ннҍцмушш	v aː nʲː t͡s m u ʃː
ва̄рр	v aː rː
ва̄ррь	v aː rʲː
вилльй	v i ʎː
воа̄ҏҏт	v ɒː r̥ː t
воа̄һп	v ɒː h p
вуадтэ	v u̯ a d t ɛ
вуоһп	v u̯ o h p
вуэййвланнҍ	v u̯ ɛ jː v l a nʲː
вуэлльк	v u̯ ɛ lʲː k
вуэҋҋтэ	v u̯ ɛ j̥ː t ɛ
высскэ	v ɨ sː k ɛ
выӊӊҍц	v ɨ n̥ʲː t͡s
вэ̄рр	v ɛː rː
вӯйвас	v uː j v a s
вӯйй	v uː jː
ге̄ррп	ɡ i̯ e rː p
гуэйкэ	ɡ u̯ ɛ j k ɛ
гӣммн	ɡ iː mː n
е̄бешь	j i̯ e bʲ e ʃʲ
е̄кьнэнч	j i̯ e kʲ n ɛ n t͡ʃʲ
е̄ннэ	j i̯ e nː ɛ
ка̄фтэль	k aː f t ɛ lʲ
касьт	k a sʲ tʲ
ке̄	k i̯ eː
ке̄ддҍк	k i̯ e dʲː k
ко̄ххт	k o xː t
коа̄сс	k ɒː sː
коажь	k ɒ ʒʲ
коаммыййма̄нн	k ɒ mː ɨ jː m aː nː
коаннҍт	k o̯ a nʲː tʲ
коаннҍт	k ɒ nʲː tʲ
куалмант	k u̯ a l m a n t
кула	k u l a
кулак	k u l a k
куэдтҍ	k u̯ ɛ dʲ tʲ
куэссь	k u̯ ɛ sʲː
кыдт	k ɨ d t
кыҋҋтэ	k ɨ j̥ː t ɛ
кӣдт	k iː d t
кӣһче	k iː h t͡ʃʲ e
кӯллэ	k uː lː ɛ
кӯль	k uː lʲ
кӯсс	k uː sː
кӯттҍк	k uː tʲː k
кӯһт	k uː h t
ла̄ммч	l aː m̥ː t͡ʃ
ла̄ммьп	l aː mʲː pʲ
ланнҍ	l a nʲː
луэмман	l u̯ ɛ mː a n
ля̄	l e̯ a
ля̄м	l e̯ a m
ля̄ммт	l e̯ a mː t
лӯмь	l uː mʲ
ма̄ҋҋк	m aː j̥ː k
маннь	m a ɲː
маннҍ	m a nʲː
маххт	m a xː t
маӈӈа	m a ŋː a
ме̄рр	m i̯ e rː
моа̄йнас	m ɒː j n a s
муннэ	m u nː e
муннэнҍ	m u nː e nʲ
мыннӭ	m ɨ nʲː e
мэ̄йт	m ɛː j t
мӣ	m iː
мӯн	m uː n
мӯнха	m uː n x a
мӯнэсьт	m uː n e sʲ t
мӯрр	m uː rː
мӯррьй	m uː rʲː j
нагерь	n a ɡʲ e rʲ
не̄лльй	ɲ i̯ e lʲː j ~ ɲ eː lʲː j
не̄лльй	ɲ i̯ e ʎː
не̄лльйлоагант	ɲ eː ʎ l ɒ ɡ a n t
не̄лльйлоагкь	ɲ eː ʎ l ɒ ɡʲ kʲ
