a.K.	a k o
a.t.m.	a t o m o
Aarono	a a r o n o
Aaronon	a a r o n o n
Abadono	a b a d o n o
Abadonon	a b a d o n o n
abajo	a b a j o
abajoj	a b a j o i̯
abajojn	a b a j o i̯ n
abajon	a b a j o n
abaĵuro	a b a ʒ u r o
abaĵuroj	a b a ʒ u r o i̯
abaĵurojn	a b a ʒ u r o i̯ n
abaĵuron	a b a ʒ u r o n
abako	a b a k o
abakoj	a b a k o i̯
abakojn	a b a k o i̯ n
abakon	a b a k o n
abandonante	a b a n d o n a n t e
abandonas	a b a n d o n a s
abandonate	a b a n d o n a t e
abandoni	a b a n d o n i
abandonis	a b a n d o n i s
abandonismo	a b a n d o n i s m o
abandonismoj	a b a n d o n i s m o i̯
abandonismojn	a b a n d o n i s m o i̯ n
abandonismon	a b a n d o n i s m o n
abandono	a b a n d o n o
abandonoj	a b a n d o n o i̯
abandonojn	a b a n d o n o i̯ n
abandonon	a b a n d o n o n
abandonos	a b a n d o n o s
abandonu	a b a n d o n u
abandonus	a b a n d o n u s
abata	a b a t a
abataj	a b a t a i̯
abatajn	a b a t a i̯ n
abatan	a b a t a n
abateco	a b a t e t͡s o
abatecoj	a b a t e t͡s o i̯
abatecojn	a b a t e t͡s o i̯ n
abatecon	a b a t e t͡s o n
abateja	a b a t e j a
abatejaj	a b a t e j a i̯
abatejajn	a b a t e j a i̯ n
abatejan	a b a t e j a n
abatejo	a b a t e j o
abatejoj	a b a t e j o i̯
abatejojn	a b a t e j o i̯ n
abatejon	a b a t e j o n
abatino	a b a t i n o
abatinoj	a b a t i n o i̯
abatinojn	a b a t i n o i̯ n
abatinon	a b a t i n o n
abatiso	a b a t i s o
abatisoj	a b a t i s o i̯
abatisojn	a b a t i s o i̯ n
abatison	a b a t i s o n
abato	a b a t o
abatoj	a b a t o i̯
abatojn	a b a t o i̯ n
abaton	a b a t o n
abazio	a b a z i o
abazioj	a b a z i o i̯
abaziojn	a b a z i o i̯ n
abazion	a b a z i o n
abdikanta	a b d i k a n t a
abdikantaj	a b d i k a n t a i̯
abdikantajn	a b d i k a n t a i̯ n
abdikantan	a b d i k a n t a n
abdikante	a b d i k a n t e
abdikanto	a b d i k a n t o
abdikas	a b d i k a s
abdikata	a b d i k a t a
abdikataj	a b d i k a t a i̯
abdikatajn	a b d i k a t a i̯ n
abdikatan	a b d i k a t a n
