ааба	ʔ äˑ b ɜ
аабӷьа	ā b ʁʲ a
аабыкьа	aː b ə kʼʲ a
аагалых	aː ɡ a l ə χ
аагара	aː ɡ a r a
ааӡаԥса	aː d z a pʰ s a
ааӡара	aː d z a r a
ааиваҟәыло	aː j v a qʼʷ ə l o̞
ааҟ	aː qʼ
аамсҭа	aː m ə s tʰ a
аамсҭар	aː m ə s tʰ a r
аамҫҭа	aː m ə ɕ tʰ a
аамҫҭар	aː m ə ɕ tʰ a r
аангыларҭа	aː n ɡ ə l a r tʰ a
аанҵасра	aː n t͡sʼ a s r a
ааԥҭра	aː pʰ tʰ r a
ааԥын	aː pʰ ə n
аарҩара	aː r ɥˤ a r a
аас	aː s
ааскьагара	aː s kʼʲ a ɡ a r a
ааскьара	aː s kʼʲ a r a
ааха	aː χ a
ааҷа	ā t ʃʼ a
ааҷҷтәы	ā t ʃʼ t ʃʼ tʼʷ ə
абаа	a b aː
абаажә	a b aː ʒʷ
абааԥс	a b aː pʰ s
абааҭа	a b aː tʰ a
абаӷьа	a b a ʁʲ a
абаӷьӡыс	a b a ʁʲ d z ə s
абаӷьӡьыҫ	a b a ʁʲ d ʑ ə ɕ
абаӷьмажәроу	a b a ʁʲ m a ʒʷ r o̞ w
абаӷьмаҟа	a b a ʁʲ m a qʼ a
абаӷәаза	a b a ɡʷ a z a
абаӡӡеи	a b a d z d z e̞ j
Бақьтор	b a kʰʲ tʼ o̞ r
Бақәа	b a kʰʷ a
абаҟа	a b a qʼ a
абалышь	a b a l ə ʃ
абарбал	a b a r b a l
абарзал	a b a r z a l
абас	a b a s
Басктәыла	b a s kʼ tʼʷ ə l a
абахәр	a b a χʷ r
абаҳа	a b a ħ a
Баҳреин	b a ħ r e j n
абаџьар	a b a d ʒ a r
абгыӡыр	a b ɡ ə d z ə r
абгыӡьар	a b ɡ ə d ʑ a r
абӷаза	a b ʁ a z a
абӷара	a b ʁ a r a
абӷарӡса	a b ʁ a r d z s a
Белуџьисҭан	b e l u d ʒ ə j s tʰ a n
абжьас	a b ʒʲ a s
бжьба	b ʑː b æ̈
абжьобжьик	a b ʒ a w b ʒ ə kʼ
абжьы	a b ʒ ə
абжьыфаил	a b ʒ ə f a j l
Абзагә	a b z a ɡʷ
абзазашьа	a b z a z a ʃ a
абзамыҟә	a b z a m ə qʼʷ
абзара	a b z a r a
абзыцәаҳәшьа	a b z ə t ɕʰʷ a ħʷ ʃ a
абзыцәашьа	a b z ə t ɕʰʷ a ʃ a
абиԥара	a b j ə pʰ a r a
абираҟныҟәгаҩ	a b ə j r a qʼ n ə qʼʷ ɡ a ɥˤ
абла	a b l a
аблацәа	a b l a t ɕʰʷ a
аблаҩа	a b l a ɥˤ a
Болгартәыла	b o l ɡ a r tʼʷ ə l a
абора	a b a w r a
Боҳемиа	b o ħ e m ə j a
абԥса	a b pʰ s a
абретон	b r e tʼ o̞ n
Бретонтәыла	b r e tʼ o̞ n tʼʷ ə l a
Абуџа	a b u ɖ ʐ a
абҵара	a b t sʼ a r a
абчараҳ	a b t ʃʼ a r a ħ
абынҳәа	a b ə n ħʷ a
абырзен	a b ə r z e̞ n
Бырзентәыла	b ə r z e n tʼʷ ə l a
абырфын	a b ə r f ə n
Быџьба	b ə d ʒ b a
авагон	a v a ɡ o̞ n
авагылара	a v a ɡ ə l a r a
аважьзаара	a v a ʒ z aː r a
аважьра	a v a ʒ r a
аваиара	a v a j a r a
авакра	a v a kʼ r a
авалара	a v a l a r a
авалиута	a v a lʲ u tʼ a
авалиутаԥсахра	a v a lʲ u tʼ a pʰ s a χ r a
авалиутаԥсахырҭа	a v a lʲ u tʼ a pʰ s a χ ə r tʰ a
авалиутатә	a v a lʲ u tʼ a tʼʷ
Вануату	v a n w a tʼ u
аваныза	a v a n ə z a
аварахышра	a v a r a χ ə ʂ r a
авареиҟара	a v a r e̞ j qʼ a r a
авартәа	a v a r tʼʷ a
аваршыс	a v a r ʂ ə s
аварышь	a v a r ə ʃ
аварҩа	a v a r ɥˤ a
Венесуела	v e n e s w e̞ l a
авидео	a v i d e̞ o
авидеонҵамҭа	a v i d e̞ o n t sʼ a m tʰ a
авидеорнаалага	a v i d e̞ o r n aː l a ɡ a
ага	a ɡ a
