अ	ə
अँ	ə̃
अँकड़ा	ə̃ k ɽ ɑː
अँकवैया	ə̃ k ʋ ə̯ i j ɑː
अँगड़ाई	ə ŋ ɡ ɽ ɑː iː
अँगड़ाना	ə ŋ ɡ ɽ ɑː n ɑː
अँगरेज़	ə ŋ ɡ ɾ eː d͡ʒ
अँगरेज़	ə ŋ ɡ ɾ eː z
अँगरेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अँगरेज़ी	ə ŋ ɡ ɾ eː z iː
अँगहीन	ə ŋ ɡʱ iː n
अँगिया	ə ŋ ɡ ɪ j ɑː
अँगीठी	ə ŋ ɡ iː ʈʰ iː
अँगूठी	ə ŋ ɡ uː ʈʰ iː
अँग्रेज़	ə ŋ ɡ ɾ eː d͡ʒ
अँग्रेज़	ə ŋ ɡ ɾ eː z
अँग्रेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अँग्रेज़ी	ə ŋ ɡ ɾ eː z iː
अँटना	ə̃ ʈ n ɑː
अँठई	ə ɳ ʈʰ ə iː
अँतड़ी	ə̃ t̪ ɽ iː
अँधियारा	ə n d̪ʱ ɪ j ɑː ɾ ɑː
अँधेरा	ə n d̪ʱ eː ɾ ɑː
अँधेरी	ə n d̪ʱ eː ɾ iː
अँधेरे	ə n d̪ʱ eː ɾ eː
अँधेरों	ə n d̪ʱ eː ɾ õː
अं	ə̃
अंक	ə ŋ k
अंकक	ə ŋ k ə k
अंकगणित	ə ŋ k ɡ ə ɳ ɪ t̪
अंकगणितीय	ə ŋ k ɡ ə ɳ ɪ t̪ iː jᵊ
अंकन	ə ŋ k ə n
अंकनी	ə ŋ k n iː
अंकनीय	ə ŋ k n iː jᵊ
अंकल	ə ŋ k ə l
अंकारा	ə ŋ k ɑː ɾ ɑː
अंकित	ə ŋ k ɪ t̪
अंकुर	ə ŋ k ʊ ɾ
अंकुरक	ə ŋ k ʊ ɾ ə k
अंकुरित	ə ŋ k ʊ ɾ ɪ t̪
अंकुश	ə ŋ k ʊ ʃ
अंको	ə ŋ k oː
अंकों	ə ŋ k õː
अंग	ə ŋ ɡ
अंगच्छेद	ə ŋ ɡ ə t̪ t͡ʃʰ eː d̪
अंगड़ाई	ə ŋ ɡ ɽ ɑː iː
अंगड़ाना	ə ŋ ɡ ɽ ɑː n ɑː
अंगद	ə ŋ ɡ ə d̪
अंगदान	ə ŋ ɡ d̪ ɑː n
अंगन	ə ŋ ɡ ə n
अंगना	ə ŋ ɡ ə n ɑː
अंगमर्दन	ə ŋ ɡ m ə ɾ d̪ ə n
अंगरक्षक	ə ŋ ɡ ɾ ə k ʂ ə k
अंगसंग	ə ŋ ɡ s ə ŋ ɡ
अंगहीन	ə ŋ ɡ ɦ iː n
अंगार	ə ŋ ɡ ɑː ɾ
अंगारा	ə ŋ ɡ ɑː ɾ ɑː
अंगिया	ə ŋ ɡ ɪ j ɑː
अंगियाँ	ə ŋ ɡ ɪ j ɑ̃ː
अंगीकार	ə ŋ ɡ iː k ɑː ɾ
अंगुल	ə ŋ ɡ ʊ l
अंगुली	ə ŋ ɡ ʊ l iː
अंगूठा	ə ŋ ɡ uː ʈʰ ɑː
अंगूठियाँ	ə ŋ ɡ uː ʈʰ ɪ j ɑ̃ː
अंगूठियों	ə ŋ ɡ uː ʈʰ ɪ j õː
अंगूठी	ə ŋ ɡ uː ʈʰ iː
अंगूठे	ə ŋ ɡ uː ʈʰ eː
अंगूठों	ə ŋ ɡ uː ʈʰ õː
अंगूर	ə ŋ ɡ uː ɾ
अंगूरी	ə ŋ ɡ uː ɾ iː
अंगो	ə ŋ ɡ oː
अंगों	ə ŋ ɡ õː
अंगोछा	ə ŋ ɡ oː t͡ʃʰ ɑː
अंगोट	ə ŋ ɡ oː ʈ
अंगोला	ə ŋ ɡ oː l ɑː
अंग्रेज	ə ŋ ɡ ɾ eː d͡ʒ
अंग्रेज	ə ŋ ɡ ɾ eː z
अंग्रेज़	ə ŋ ɡ ɾ eː d͡ʒ
अंग्रेज़	ə ŋ ɡ ɾ eː z
