ஃ	ɐ hᵄ
ஃக்	kʰ
ஃக்	x
ஃஜ்	z
ஃபோன்	f oː n
ஃப்	f
ஃஸ்	k s
அ	ɐ
அஃகம்	əʰ ɦ a m
அஃது	ɐ ɦ d̪ u
அஃறிணை	ə ɦ r ɪ ɳ ə ɪ̯
அகங்காரம்	ɐ ɡ ɐ ŋ ɡ aː ɾ ɐ m
அகங்கை	ɐ ɡ ɐ ŋ ɡ a ɪ̯
அகதி	ɐ ɡ ɐ d̪ i
அகதிகள்	ɐ ɡ ɐ d̪ i ɡ ɐ ɭ
அகத்தாழம்	ɐ ɡ ɐ t̪ː aː ɻ ɐ m
அகத்துக்காரர்	ɐ ɡ ɐ t̪ː u kː aː ɾ ɐ ɾ
அகத்துக்காரி	ɐ ɡ ɐ t̪ː u kː aː ɾ i
அகந்தை	ɐ ɡ ɐ n̪ d̪ a ɪ̯
அகனன்	ɐ ɡ ɐ n ɐ n
அகனள்	ɐ ɡ ɐ n ɐ ɭ
அகப்படு	ɐ ɡ ɐ pː ɐ ɖ u
அகப்பா	ɐ ɡ ɐ pː aː
அகப்பு	ɐ ɡ ɐ pː u
அகப்பை	ɐ ɡ ɐ pː a ɪ̯
அகம்	ɐ ɡ ɐ m
அகரமுதலி	ɐ ɡ ɐ ɾ ɐ m u d̪ ɐ l i
அகரம்	ɐ ɡ ɐ ɾ ɐ m
அகரவரிசை	ɐ ɡ ɐ ɾ ɐ ʋ ɐ ɾ i t͡ɕ a ɪ̯
அகராதி	ɐ ɡ ɐ ɾ aː d̪ i
அகரு	ɐ ɡ ɐ ɾ u
அகற்சி	ɐ ɡ ɐ r t͡ɕ i
அகற்று	ɐ ɡ ɐ rː u
அகலம்	ɐ ɡ ɐ l ɐ m
அகல்	ɐ ɡ ɐ l
அகழி	ɐ ɡ ɐ ɻ i
அகழ்	ɐ ɡ ɐ ɻ
அகவன்மகள்	ɐ ɡ ɐ ʋ ɐ n m ɐ ɡ ɐ ɭ
அகவை	ɐ ɡ ɐ ʋ a ɪ̯
அகிபுசம்	ɐ ɡ i b u t͡ɕ ɐ m
அகிலம்	ɐ h i l ɐ m
அகிலம்	ɐ ɡ i l ɐ m
அகில்	ɐ ɡ i l
அகை	ɐ ɡ a ɪ̯
அக்கச்சி	ɐ kː ɐ t͡ɕː i
அக்களிப்பு	ɐ kː ɐ ɭ i pː u
அக்கா	ɐ kː aː
அக்காமார்	ɐ kː aː m aː ɾ
அக்காள்	ɐ kː aː ɭ
அக்கி	ɐ kː i
அக்கினி	ɐ kː i n i
அக்கினிகர்ப்பம்	ɐ kː i n i ɡ ɐ ɾ pː ɐ m
அக்கினிகுண்டம்	ɐ kː i n i ɡ u ɳ ɖ ɐ m
அக்கினிகோத்திரம்	ɐ kː i n i ɡ oː t̪ː i ɾ ɐ m
அக்கினிச்சுவாலை	ɐ kː i n i t͡ɕː u ʋ aː l a ɪ̯
அக்கினித்தம்பம்	ɐ kː i n i t̪ː ɐ m b ɐ m
அக்கினியாஸ்திரம்	ɐ kː i n i j aː s t̪ i ɾ ɐ m
அக்கிரமம்	ɐ kː i ɾ ɐ m ɐ m
அக்கு	ɐ kː u
அக்குள்	ɐ kː u ɭ
அக்கை	ɐ kː a ɪ̯
அக்கைச்சி	ɐ kː a ɪ̯ t͡ɕː i
அக்டோபர்	ɐ k ʈ oː b ɐ ɾ
அங்கக	ɐ ŋ ɡ ɐ ɡ ɐ
அங்கண்	ɐ ŋ ɡ ɐ ɳ
அங்கதம்	ɐ ŋ ɡ ɐ d̪ ɐ m
அங்கன்வாடி	ɐ ŋ ɡ ɐ n ʋ aː ɖ i
