Aude	a w d e
Avairon	a β a j ɾ u
Avinhon	a v i ɲ ũⁿ
Avinhon	a β i ɲ u
Bordèu	b u ɾ ð ɛ w
Chipre	t͡ʃ i p r e
Erau	e r a w
Gard	ɡ a r
Gasconha	ɡ a s k u ɲ o
Gènoa	d ʒ ɛ n w o
Gènoa	ʒ ɛ n w o
Luxemborg	l y t͡s e m b u r k
Mozambic	m u z a m b i k
Septimània	s e p t i m a n j ɔ
abadiá	a β a ð j ɔ
abat	a β a t
abauquir	a β a w k i
acadèmia	a k a d ɛ m j o
acceptabilitat	a k s e p t a β i l i t a t
acceptabilitat	a s e t a b i l i t a
acièr	a s j ɛ
administracion	a d m i n i s t ʁ a s j ũᵑ
administracion	a d m i n i s t ʁ a s j ẽᵑ
administracion	a m m i n i s t ɾ a s j u
adreça	a ð ɾ e s o
agachar	a ɣ a t͡ʃ a
agantar	a ɣ a n t a
agarrir	a ɣ a r i
agast	a ɣ a s t
agradar	a ɣ r a ð a
agradiu	a ɣ ɾ a ð i w
agrelha	a ɣ r e ʎ o
agreu	a ɣ ɾ e w
agricultura	a ɣ ɾ i k y l t y ɾ o
agulha	a ɡ y j a
agulha	ɡ y j a
agut	a ɣ y t
aiganha	a j ɣ a ɲ ɒ
aigla	a i̯ ɡ j a
aigla	a i̯ ɡ l a
airal	a j r a l
aisit	a j z i t
ajudar	a d ʒ y a
ajudar	a d ʒ y d a
ajudar	a d ʒ ɥ a r
ala	a l a
ala	a l o̞
alfabet	a l f a β e t
alumar	a l y m a
aluqueta	a l y k e t o
amaisar	a m a j z a
amiga	a m i ɣ o
amé	a m e
analisar	a n a l i z a
anchoiada	ä n t͡ʃ u j ä ð ɔ̝
ancuèi	ãᵑ k œ i̯
ancuèi	ãᵑ k ɥ ɛ i̯
aont	a u n t
api	a p i
aquit	a k i t
aquit	a k i t e
araire	a a e
araire	a a j e
araire	a ʀ a i̯ ʀ e
aranha	a a ɲ a
aranha	a r a ɲ ɔ
aranha	a ɹ a ɲ a
aranha	a ʀ a ɲ a
aranha	a ʀ a ɲ ɔ
aranhada	a r a ɲ a j ɔ
argent	a ɾ d͡ʒ e n
argent	a ʀ d͡ʒ ɛ̃
argent	a ʀ d͡ʒ ɛ̃ ŋ
argent	a ʁ d͡z ɛ̃ⁿ
arpar	a r p a
artista	a ɾ t i s t o
arànhola	a a ɲ u a
arànhola	a ɹ a ɲ u ɹ a
arànhola	a ʀ a ɲ u ʀ a
ase	a z e
assostar	a s u s t a
atac	a t a k
atacar	a t a k a
atòm	a t ɔ n
atòme	a t ɔ m e
aubespin	ɔ w b e s p ĩᵑ
