aakʼee	ʔ ɑ̀ː kʼ èː
aakʼeed	ʔ ɑ̀ː kʼ èː t
aakʼei	ʔ ɑ̀ː kʼ ɛ̀ ɪ̀
aaníí	ʔ ɑ̀ː n íː
ąąʼ	ʔ ɑ̃̀ː ʔ
abeʼ	ʔ ɑ̀ p ɛ̀ ʔ
abíní	ʔ ɑ̀ p ɪ́ n ɪ́
abízhí	ʔ ɑ̀ p ɪ́ ʒ ɪ́
acheii	ʔ ɑ̀ t͡ʃʰ ɛ̀ ìː
áchį́į́h	ʔ ɑ́ t͡ʃʰ ĩ́ː h
achó	ʔ ɑ̀ t͡ʃʰ ó
achʼííʼ	ʔ ɑ̀ t͡ʃʼ íː ʔ
achʼooní	ʔ ɑ̀ t͡ʃʼ òː n ɪ́
adą́ą́dą́ą́ʼ	ʔ ɑ̀ t ɑ̃́ː t ɑ̃́ː ʔ
ádahooníłígíí	ʔ ɑ́ t ɑ̀ h òː n ɪ́ ɬ ɪ́ k íː
adahʼíílį́	ʔ ɑ̀ t ɑ̀ h ʔ íː l ĩ́
Adahwiilíní	ʔ ɑ̀ t ɑ̀ h w ìː l ɪ́ n ɪ́
adáyiʼ	ʔ ɑ̀ t ɑ́ j ɪ̀ ʔ
adáʼi	ʔ ɑ̀ t ɑ́ ʔ ɪ̀
adeezhí	ʔ ɑ̀ t èː ʒ ɪ́
ádí	ʔ ɑ́ t ɪ́
adijił	ʔ ɑ̀ t ɪ̀ t͡ʃ ì ɬ
adiloh	ʔ ɑ̀ t ɪ̀ l ò h
ádin	ʔ ɑ́ t ɪ̀ n
adinídíín	ʔ ɑ̀ t ɪ̀ n ɪ́ t íː n
adlą́	ʔ ɑ̀ t͡l ɑ̃́
agaan	ʔ ɑ̀ k ɑ̀ː n
aghaaʼ	ʔ ɑ̀ ɣ ɑ̀ː ʔ
aháshtʼóózh	ʔ ɑ̀ h ɑ́ ʃ tʼ óː ʒ
ahééh	ʔ ɑ̀ h éː h
Ahééhéshį́į́h	ʔ ɑ̀ h éː h é ʃ ĩ́ː h
Ahééhíshį́į́h	ʔ ɑ̀ h éː h ɪ́ ʃ ĩ́ː h
aheełtʼé	ʔ ɑ̀ h èː ɬ tʼ ɛ́
ahéheeʼ	ʔ ɑ̀ h ɛ́ h èː ʔ
ahigą́	ʔ ɑ̀ h ɪ̀ k ɑ̃́
ahił	ʔ ɑ̀ h ɪ̀ ɬ
aho	ʔ ɑ̀ h ò
ahóóhai	ʔ ɑ̀ h óː h ɑ̀ ɪ̀
ahwééh	ʔ ɑ̀ hʷ éː h
ajáád	ʔ ɑ̀ t͡ʃ ɑ́ː t
ajéí	ʔ ɑ̀ t͡ʃ ɛ́ ɪ́
ajéídíshjool	ʔ ɑ̀ t͡ʃ ɛ́ ɪ́ t ɪ́ ʃ t͡ʃ òː l
akał	ʔ ɑ̀ kʰ ɑ̀ ɬ
akałii	ʔ ɑ̀ kʰ ɑ̀ ɬ ìː
akáshtʼóózh	ʔ ɑ̀ kʰ ɑ́ ʃ tʼ óː ʒ
akaz	ʔ ɑ̀ kʰ ɑ̀ z
akąʼ	ʔ ɑ̀ kʰ ɑ̃́ ʔ
akeeʼ	ʔ ɑ̀ kʰ èː ʔ
akéeʼdi	ʔ ɑ̀ kʰ êː ʔ t ɪ̀
akétłʼóól	ʔ ɑ̀ kʰ ɛ́ t͡ɬʼ óː l
akónaa	ʔ ɑ̀ kʰ ó n ɑ̀ː
ákótʼé	ʔ ɑ́ kʰ ó tʼ ɛ́
ákótʼéego	ʔ ɑ̀ kʰ ó tʼ êː k ò
akʼah	ʔ ɑ̀ kʼ ɑ̀ h
akʼahkǫʼ	ʔ ɑ̀ kʼ ɑ̀ h kʰ õ̀ ʔ
akʼéí	ʔ ɑ̀ kʼ ɛ́ ɪ́
akʼídádéestʼį́į́ʼ	ʔ ɑ̀ kʼ ɪ́ t ɑ́ t éː s tʼ ĩ́ː ʔ
akʼis	ʔ ɑ̀ kʼ ɪ̀ s
akʼos	ʔ ɑ̀ kʼ ò s
ákweʼé	ʔ ɑ́ kʷʰ ɛ̀ ʔ ɛ́
ákwíí	ʔ ɑ̀ kʷ íː
alah	ʔ ɑ̀ l ɑ̀ h
álánééz	ʔ ɑ́ l ɑ́ n éː z
álátah	ʔ ɑ́ l ɑ́ tʰ ɑ̀ h
álázhoozh	ʔ ɑ́ l ɑ́ ʒ òː ʒ
álaʼ	ʔ ɑ́ l ɑ̀ ʔ
áłchíní	ʔ ɑ́ ɬ t͡ʃʰ ɪ́ n ɪ́
ałeeh	ʔ ɑ̀ ɬ èː h
ałhosh	ʔ ɑ̀ ɬ h ò ʃ
ałkʼésdisí	ʔ ɑ̀ ɬ kʼ ɛ́ s t ɪ̀ s ɪ́
ałkʼidą́ą́ʼ	ʔ ɑ̀ ɬ kʼ ɪ̀ t ɑ̃́ː ʔ
ałtį́į́ʼ	ʔ ɑ̀ ɬ tʰ ĩ́ː ʔ
áłtʼą́ą́ʼígo	ʔ ɑ́ ɬ tʼ ɑ̃́ː ʔ ɪ́ k ò
áłtsé	ʔ ɑ́ ɬ t͡sʰ ɛ́
ałtso	ʔ ɑ̀ ɬ t͡sʰ ò
áłtsʼíísí	ʔ ɑ́ ɬ t͡sʼ íː s ɪ́
áłtsʼóózí	ʔ ɑ́ ɬ t͡sʼ óː z ɪ́
ałʼąą	ʔ ɑ̀ ɬ ʔ ɑ̃̀ː
amá	ʔ ɑ̀ m ɑ́
amásání	ʔ ɑ̀ m ɑ́ s ɑ́ n ɪ́
ánaaí	ʔ ɑ́ n ɑ̀ː ɪ́
anaaʼ	ʔ ɑ̀ n ɑ̀ː ʔ
análí	ʔ ɑ̀ n ɑ́ l ɪ́
ánéeltʼeʼ	ʔ ɑ́ n êː l tʼ ɛ̀ ʔ
ániid	ʔ ɑ́ n ìː t
áníídí	ʔ ɑ́ n íː t ɪ́
aniiʼ	ʔ ɑ̀ n ìː ʔ
áníłnééz	ʔ ɑ́ n ɪ́ ɬ n éː z
anitséés	ʔ ɑ̀ n ɪ̀ t͡sʰ éː s
ánízáád	ʔ ɑ́ n ɪ́ z ɑ́ː t
aooʼ	ʔ ɑ̀ òː ʔ
asdzą́ą́	ʔ ɑ̀ s t͡s ɑ̃́ː
asdzoh	ʔ ɑ̀ s t͡s ò h
aseezį́	ʔ ɑ̀ s èː z ĩ́
asgąʼ	ʔ ɑ̀ s k ɑ̃̀ ʔ
ashą́	ʔ ɑ̀ ʃ ɑ̃́
ashdladiin	ʔ ɑ̀ ʃ t͡l ɑ̀ t ìː n
ashdlaʼ	ʔ ɑ̀ ʃ t͡l ɑ̀ ʔ
ashdlaʼáadah	ɑ̀ ʃ t͡l ɑ̀ ʔ t͡sʼ ɑ̂ː t ɑ̀ h
ashdlaʼáadah	ɑ̀ ʃ t͡l ɑ̀ ʔ ɑ̂ː t ɑ̀ h
ashkii	ʔ ɑ̀ ʃ kʰ ìː
ataaʼ	ʔ ɑ̀ tʰ ɑ̀ː ʔ
átááʼ	ʔ ɑ́ tʰ ɑ́ː ʔ
atiin	ʔ ɑ̀ tʰ ìː n
atʼąąʼ	ʔ ɑ̀ tʼ ɑ̃̀ː ʔ
átʼah	ʔ ɑ́ tʼ ɑ̀ h
átʼahálo	ʔ ɑ́ tʼ ɑ̀ h ɑ́ l ò
atʼaʼ	ʔ ɑ̀ tʼ ɑ̀ ʔ
átʼé	ʔ ɑ́ tʼ ɛ́
atʼééd	ʔ ɑ̀ tʼ éː t
átʼéego	ʔ ɑ́ tʼ êː k ò ʔ
atʼééké	ʔ ɑ̀ tʼ éː kʰ ɛ́
atłʼó	ʔ ɑ̀ t͡ɬʼ ó
atsá	ʔ ɑ̀ t͡sʰ ɑ́
átsé	ʔ ɑ́ t͡sʰ ɛ́
atsiighaʼ	ʔ ɑ̀ t͡sʰ ìː ɣ ɑ̀ ʔ
atsiin	ʔ ɑ̀ t͡sʰ ìː n
atsiitsʼiin	ʔ ɑ̀ t͡sʰ ìː t͡sʼ ìː n
atsiiʼ	ʔ ɑ̀ t͡sʰ ìː ʔ
atsilí	ʔ ɑ̀ t͡sʰ ɪ̀ l ɪ́
atsiniltłʼish	ʔ ɑ̀ t͡sʰ ɪ̀ n ɪ̀ l t͡ɬʼ ɪ̀ ʃ
atsįʼ	ɑ̀ t͡sʰ ĩ̀ ʔ
atsʼáozʼaʼ	ʔ ɑ̀ t͡sʼ ɑ́ ò z ʔ ɑ̀ ʔ
awáalya	ʔ ɑ̀ w ɑ̂ː l j ɑ̀
awééʼ	ʔ ɑ̀ w éː ʔ
awooʼ	ʔ ɑ̀ w òː ʔ
ayą́	ʔ ɑ̀ j ɑ̃́
ayęęzhii	ʔ ɑ̀ j ẽ̀ː ʒ ìː
ayol	ʔ ɑ̀ j ò l
ayóo	ʔ ɑ̀ j ôː
ayóóʼánííníshʼní	ʔ ɑ̀ j óː ʔ ɑ́ n íː n ɪ́ ʃ ʔ n ɪ́
ayóóʼánóshʼní	ʔ ɑ̀ j ó ʔ ɑ́ n ó ʃ ʔ n ɪ́
áyóʼní	ʔ ɑ́ j ó ʔ n ɪ́
azábąąh	ʔ ɑ̀ z ɑ́ p ɑ̃̀ː h
