㑚	n a ² ³
㑚好	n a ² ³ h ɔ ³ ⁴
㜺	t͡s e ³ ⁴
㞞	z o ŋ ² ³
㧦	ɕ u ø ⁵ ³
㫰	l ɑ̃ ² ³
㬟	v ə n ³ ⁴
㲀	t͡s ə n ⁵ ³
㷟	tʰ e ⁵ ³
㷟	tʰ ø ³ ⁴
㹙	ã ³ ⁴
㽘	ɦ ɑ̃ ² ³
㽱	k ɔ ⁵ ³
䃙磚	l o ʔ ¹ ¹ t͡s e ² ³
䈆	d a ² ³
䈬	b u ² ³
䏘	pʰ i ɪ ʔ ⁵ ⁵
䐁	t o ʔ ⁵ ⁵
䚭	ɕ y ø ⁵ ³
䟒	d͡ʑ y ø ² ³
䟿	l o ʔ ¹ ²
䥑	m a ʔ ¹ ²
䥛	t͡ɕ i ɪ ʔ ⁵ ⁵
䥛子	t͡ɕ i ɪ ʔ ³ ³ t͡s z̩ ⁴ ⁴
䫲	h e ⁵ ³
䵑幾幾	n̠ʲ i n ² ² t͡ɕ i ⁵ ⁵ t͡ɕ i ² ¹
䵑粥	n̠ʲ i n ² ² t͡s o ʔ ⁴ ⁴
一	i ɪ ʔ ⁵ ⁵
一下	i ɪ ʔ ³ ³ ɕ i a ⁴ ⁴
一下子	i ɪ ʔ ³ ³ ɕ i a ⁵ ⁵ t͡s z̩ ² ¹
一世	i ɪ ʔ ³ ³ s z̩ ⁴ ⁴
一世界	i ɪ ʔ ³ ³ s z̩ ⁵ ⁵ k a ² ¹
一五一十	i ɪ ʔ ³ ³ ŋ̍ ⁵ ⁵ i ɪ ʔ ³ ³ z ə ʔ ² ¹
一個	i ɪ ʔ ³ ³ ɦ ə ʔ ⁴ ⁴
一元	i ɪ ʔ ³ ³ ɦ y ø ⁴ ⁴
一共	i ɪ ʔ ³ ³ ɡ o ŋ ⁴ ⁴
一再	i ɪ ʔ ³ ³ t͡s e ⁴ ⁴
一切	i ɪ ʔ ³ ³ t͡ɕʰ i ɪ ʔ ⁴ ⁴
一千	i ɪ ʔ ³ ³ t͡ɕʰ i ⁴ ⁴
一半	i ɪ ʔ ³ ³ p ø ⁴ ⁴
一口酥	i ɪ ʔ ³ ³ kʰ ɤ ⁵ ⁵ s u ² ¹
一向	i ɪ ʔ ³ ³ ɕ i ã ⁴ ⁴
一塊	i ɪ ʔ ³ ³ kʰ u e ⁴ ⁴
一塌刮子	i ɪ ʔ ³ ³ tʰ a ʔ ⁵ ⁵ k u a ʔ ³ ³ t͡s z̩ ³ ⁴
一塌糊塗	i ɪ ʔ ³ ³ tʰ a ʔ ⁵ ⁵ ɦ u ³ ³ d u ² ¹
一塌糊塗	i ɪ ʔ ³ ³ tʰ a ⁵ ⁵ ɦ u ³ ³ d u ² ¹
一夜天	i ɪ ʔ ³ ³ ɦ i a ⁵ ⁵ tʰ i ² ¹
一夜情	i ɪ ʔ ³ ³ ɦ i a ⁵ ⁵ ʑ i n ² ¹
一天	i ɪ ʔ ³ ³ tʰ i ⁴ ⁴
一天世界	i ɪ ʔ ³ ³ tʰ i ⁵ ⁵ s z̩ ³ ³ k a ² ¹
一天到夜	i ɪ ʔ ³ ³ tʰ i ⁵ ⁵ t ɔ ³ ³ ɦ i a ² ¹
一家頭	i ɪ ʔ ³ ³ k a ⁵ ⁵ d ɤ ² ¹
一律	i ɪ ʔ ³ ³ l i ɪ ʔ ⁴ ⁴
一把年紀	i ɪ ʔ ³ ³ p o ³ ³ n̠ʲ i ² ² t͡ɕ i ⁴ ⁴
一方面	i ɪ ʔ ³ ³ f ɑ̃ ⁵ ⁵ m i ² ¹
一日	i ɪ ʔ ³ ³ n̠ʲ i ɪ ʔ ⁴ ⁴
一日到夜	i ɪ ʔ ³ ³ n̠ʲ i ɪ ʔ ⁵ ⁵ t ɔ ³ ³ ɦ i a ² ¹
一日天	i ɪ ʔ ³ ³ n̠ʲ i ɪ ʔ ⁵ ⁵ tʰ i ² ¹
一星	i ɪ ʔ ³ ³ ɕ i n ⁴ ⁴
一月	i ɪ ʔ ³ ³ ɦ y ɪ ʔ ⁴ ⁴
一概	i ɪ ʔ ³ ³ k e ⁴ ⁴
一槍裡	i ɪ ʔ ³ ³ t͡ɕʰ i ã ⁵ ⁵ l i ² ¹
一樣	i ɪ ʔ ³ ³ ɦ i ã ⁴ ⁴
一樣生	i ɪ ʔ ³ ³ i ã ⁵ ⁵ s ã ² ¹
一樣能	i ɪ ʔ ³ ³ i ã ⁵ ⁵ n ə n ² ¹
一次性	i ɪ ʔ ³ ³ t͡sʰ z̩ ⁵ ⁵ ɕ i n ² ¹
一歇	i ɪ ʔ ³ ³ ɕ i ⁴ ⁴
一歇辰光	i ɪ ʔ ³ ³ ɕ i ɪ ʔ ⁴ ⁴ z ə n ² ² k u ɑ̃ ⁴ ⁴
一歇辰光	i ɪ ʔ ³ ³ ɕ i ɪ ʔ ⁵ ⁵ z ə n ³ ³ k u ɑ̃ ² ¹
一洛式	i ɪ ʔ ³ ³ l o ʔ ⁵ ⁵ s ə ʔ ² ¹
一清早	i ɪ ʔ ³ ³ t͡ɕʰ i n ⁵ ⁵ t͡s ɔ ² ¹
一生一世	i ɪ ʔ ³ ³ s ã ⁵ ⁵ i ɪ ʔ ³ ³ s z̩ ² ¹
一百	i ɪ ʔ ³ ³ p a ʔ ⁴ ⁴
一直	i ɪ ʔ ³ ³ z ə ʔ ⁴ ⁴
一眼	i ɪ ʔ ³ ³ ŋ e ⁴ ⁴
一眼眼	i ɪ ʔ ³ ³ ŋ e ⁵ ⁵ ŋ e ² ¹
一致	i ɪ ʔ ³ ³ t͡s z̩ ⁴ ⁴
一般	i ɪ ʔ ³ ³ p e ⁴ ⁴
一萬	i ɪ ʔ ³ ³ v e ⁴ ⁴
一號	i ɪ ʔ ³ ³ ɦ ɔ ⁴ ⁴
一見棒	i ɪ ʔ ³ ³ t͡ɕ i ⁵ ⁵ b ɑ̃ ² ¹
一言	i ɪ ʔ ³ ³ ɦ i ⁴ ⁴
一言	i ɪ ʔ ⁴ ⁴ ɦ i ² ³
一言難盡	i ɪ ʔ ³ ³ ɦ i ⁴ ⁴ n e ² ² ʑ i n ⁴ ⁴
一路	i ɪ ʔ ³ ³ l u ⁴ ⁴
一輩子	i ɪ ʔ ³ ³ p e ⁵ ⁵ t͡s z̩ ² ¹
一道	i ɪ ʔ ³ ³ d ɔ ⁴ ⁴
一邊	i ɪ ʔ ³ ³ p i ⁴ ⁴
一門心思	i ɪ ʔ ³ ³ m ə n ⁵ ⁵ ɕ i n ³ ³ s z̩ ² ¹
一面孔	i ɪ ʔ ³ ³ m i ⁵ ⁵ kʰ o ŋ ² ¹
一點	i ɪ ʔ ³ ³ t i ⁴ ⁴
一齊	i ɪ ʔ ³ ³ ʑ i ⁴ ⁴
丁	t i n ⁵ ³
七	t͡ɕʰ i ɪ ʔ ⁵ ⁵
七十	t͡ɕʰ i ɪ ʔ ³ ³ z ə ʔ ⁴ ⁴
七國	t͡ɕʰ i ɪ ʔ ³ ³ k o ʔ ⁴ ⁴
七巧	t͡ɕʰ i ɪ ʔ ³ ³ t͡ɕʰ i ɔ ⁴ ⁴
七巧日	t͡ɕʰ i ɪ ʔ ³ ³ t͡ɕʰ i ɔ ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
七巧節	t͡ɕʰ i ɪ ʔ ³ ³ t͡ɕʰ i ɔ ⁵ ⁵ t͡ɕ i ɪ ʔ ² ¹
七擒七縱	t͡ɕʰ i ɪ ʔ ³ ³ d͡ʑ i n ⁴ ⁴ t͡ɕʰ i ɪ ʔ ³ ³ t͡s o ŋ ⁴ ⁴
七月	t͡ɕʰ i ɪ ʔ ³ ³ ɦ y ɪ ʔ ⁴ ⁴
七講八講	t͡ɕʰ i ɪ ʔ ³ ³ k ɑ̃ ⁵ ⁵ p a ʔ ³ ³ k ɑ̃ ² ¹
七點	t͡ɕʰ i ɪ ʔ ³ ³ t i ⁴ ⁴
丈	z ã ² ³
丈人	z ɑ̃ ² ² n̠ʲ i n ⁴ ⁴
丈人老頭	z ã ² ² n̠ʲ i n ⁵ ⁵ l ɔ ³ ³ d ɤ ² ¹
丈人阿伯	z ã ² ² n̠ʲ i n ⁵ ⁵ a ʔ ³ ³ p a ʔ ² ¹
丈夫	z ã ² ² f u ⁴ ⁴
丈母	z ã ² ² m̩ ⁴ ⁴
丈母娘	z ã ² ² m̩ ⁵ ⁵ n̠ʲ i ã ² ¹
三	s e ⁵ ³
三不時	s e ⁵ ⁵ p ə ʔ ³ ³ z z̩ ² ¹
三代	s e ⁵ ⁵ d e ² ¹
三伏天	s e ⁵ ⁵ v o ʔ ³ ³ tʰ i ² ¹
三位一體	s e ⁵ ⁵ ɦ u e ³ ³ i ɪ ʔ ³ ³ tʰ i ² ¹
三位一體	s e ⁵ ⁵ ɦ u e ³ ³ i ɪ ʔ ³ ³ tʰ i ³ ⁴
三八	s e ⁵ ⁵ p a ʔ ² ¹
三分	s e ⁵ ⁵ f ə n ² ¹
三十	s e ⁵ ⁵ z ə ʔ ² ¹
三十一	s e ⁵ ⁵ z ə ʔ ³ ³ i ɪ ʔ ² ¹
三十七	s e ⁵ ⁵ z ə ʔ ³ ³ t͡ɕʰ i ɪ ʔ ² ¹
三十三	s e ⁵ ⁵ z ə ʔ ³ ³ s e ² ¹
三十九	s e ⁵ ⁵ z ə ʔ ³ ³ t͡ɕ i ɤ ² ¹
三十二	s e ⁵ ⁵ z ə ʔ ³ ³ n̠ʲ i ² ¹
三十五	s e ⁵ ⁵ z ə ʔ ³ ³ ŋ̍ ² ¹
三十八	s e ⁵ ⁵ z ə ʔ ³ ³ p a ʔ ² ¹
三十六	s e ⁵ ⁵ z ə ʔ ³ ³ l o ʔ ² ¹
三十四	s e ⁵ ⁵ z ə ʔ ³ ³ s z̩ ² ¹
三和土	s e ⁵ ⁵ ɦ u ³ ³ tʰ u ² ¹
三哥	s e ⁵ ⁵ k u ² ¹
三國	s e ⁵ ⁵ k o ʔ ² ¹
三字經	s e ⁵ ⁵ z z̩ ³ ³ t͡ɕ i n ² ¹
三尾子	s e ⁵ ⁵ m e ³ ³ t͡s z̩ ² ¹
三才	s e ⁵ ⁵ z e ² ¹
三文魚	s e ⁵ ⁵ m ə n ³ ³ ŋ̍ ² ¹
三文魚	s e ⁵ ⁵ v ə n ³ ³ ŋ̍ ² ¹
三明	s e ⁵ ⁵ m i n ² ¹
三明治	s e ⁵ ⁵ m i n ³ ³ z z̩ ² ¹
三更半夜	s e ⁵ ⁵ k ã ³ ³ p ø ³ ³ ɦ i a ² ¹
三更天	s e ⁵ ⁵ k ã ³ ³ tʰ i ² ¹
三月	s e ⁵ ⁵ ɦ i o ʔ ² ¹
三月	s e ⁵ ⁵ ɦ y ɪ ʔ ² ¹
三民主義	s e ⁵ ⁵ m i n ³ ³ t͡s z̩ ³ ³ n̠ʲ i ² ¹
三民主義	s e ⁵ ⁵ m i n ³ ³ t͡s z̩ ³ ³ n̠ʲ i ⁴ ⁴
三環	s e ⁵ ⁵ ɡ u e ² ¹
三皇	s e ⁵ ⁵ ɦ u ɑ̃ ² ¹
三皇五帝	s e ⁵ ⁵ ɦ u ɑ̃ ³ ³ u ³ ³ t i ⁴ ⁴
三神	s e ⁵ ⁵ z ə n ² ¹
三級片	s e ⁵ ⁵ t͡ɕ i ɪ ʔ ³ ³ pʰ i ² ¹
三絲	s e ⁵ ⁵ s z̩ ² ¹
三腳貓	s e ⁵ ⁵ t͡ɕ i a ʔ ³ ³ m ɔ ² ¹
三英	s e ⁵ ⁵ i n ² ¹
三觀	s e ⁵ ⁵ k u ø ² ¹
三角形	s e ⁵ ⁵ k o ʔ ³ ³ ɦ i n ² ¹
三角油豆腐	s e ⁵ ⁵ k o ʔ ³ ³ ɦ i ɤ ² ² d ɤ ⁵ ⁵ v u ² ¹
三角油豆腐	s e ⁵ ⁵ k o ʔ ³ ³ ɦ i ɤ ² ² d ɤ ⁵ ⁵ ɦ u ² ¹
三輪車	s e ⁵ ⁵ l ə n ³ ³ t͡sʰ o ² ¹
三長兩短	s e ⁵ ⁵ z ã ² ¹ l i ã ² ² t ø ⁴ ⁴
三隻手	s e ⁵ ⁵ t͡s a ʔ ³ ³ s ɤ ² ¹
三青四綠	s e ⁵ ⁵ t͡ɕ i n ³ ³ s z̩ ³ ³ l o ʔ ² ¹
三面紅旗	s e ⁵ ⁵ m i ² ¹ ɦ o ŋ ² ² d͡ʑ i ⁴ ⁴
三高	s e ⁵ ⁵ k ɔ ² ¹
三鮮	s e ⁵ ⁵ ɕ i ² ¹
三點	s e ⁵ ⁵ t i ² ¹
三點水	s e ⁵ ⁵ t i ³ ³ s z̩ ² ¹
上	z ɑ̃ ² ³
上半天	z ɑ̃ ² ² p ø ⁵ ⁵ tʰ i ² ¹
上半年	z ɑ̃ ² ² p ø ⁵ ⁵ n̠ʲ i ² ¹
上半日	z ɑ̃ ² ² p ø ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
上口	z ɑ̃ ² ² kʰ ɤ ⁴ ⁴
上場昏	z ɑ̃ ² ² z ã ⁵ ⁵ h u ə n ² ¹
上墳	z ɑ̃ ² ² v ə n ⁴ ⁴
上墳	z ɑ̃ ³ ³ v ə n ² ³
上妝	z ɑ̃ ² ² t͡s ɑ̃ ⁴ ⁴
上學	z ɑ̃ ² ² ɦ i a ʔ ⁴ ⁴
上學	z ɑ̃ ² ² ɦ o ʔ ⁴ ⁴
上學	z ɑ̃ ³ ³ ɦ i a ʔ ¹ ²
上學	z ɑ̃ ³ ³ ɦ o ʔ ¹ ²
上客	z ɑ̃ ² ² kʰ a ʔ ⁴ ⁴
上山	z ɑ̃ ² ² s e ⁴ ⁴
上岸	z ɑ̃ ² ² ŋ ø ⁴ ⁴
上帝	z ɑ̃ ² ² t i ⁴ ⁴
上手	z ɑ̃ ² ² s ɤ ⁴ ⁴
上方	z ɑ̃ ² ² f ɑ̃ ⁴ ⁴
上晝	z ɑ̃ ² ² t͡s ɤ ⁴ ⁴
上棚	z ɑ̃ ³ ³ b ã ² ³
上橫頭	z ɑ̃ ² ² ɦ u ɑ̃ ⁵ ⁵ d ɤ ² ¹
上海	z ɑ̃ ² ² h e ⁴ ⁴
上海人	z ɑ̃ ² ² h e ⁵ ⁵ n̠ʲ i n ² ¹
上海灘	z ɑ̃ ² ² h e ⁵ ⁵ tʰ e ² ¹
上海話	z ɑ̃ ² ² h e ⁵ ⁵ ɦ o ² ¹
上海閒話	z ɑ̃ ² ² h e ³ ³ ɦ e ² ² ɦ o ⁴ ⁴
上海閒話	z ɑ̃ ² ² h e ⁵ ⁵ ɦ e ³ ³ ɦ o ² ¹
上火	z ɑ̃ ² ² h u ⁴ ⁴
上照	z ɑ̃ ² ² t͡s ɔ ⁴ ⁴
上班	z ɑ̃ ² ² p e ⁴ ⁴
上環	z ɑ̃ ² ² ɡ u e ⁴ ⁴
上當	z ɑ̃ ² ² t ɑ̃ ⁴ ⁴
上發條	z ɑ̃ ² ³ f a ʔ ³ ³ d i ɔ ⁴ ⁴
上禮拜	z ɑ̃ ² ² l i ⁵ ⁵ p a ² ¹
上菜	z ɑ̃ ² ² t͡sʰ e ⁴ ⁴
上落	z ɑ̃ ² ² l o ʔ ⁴ ⁴
上裝	z ɑ̃ ² ² t͡s ɑ̃ ⁴ ⁴
上言	z ɑ̃ ² ² ɦ i ⁴ ⁴
上課	z ɑ̃ ² ² kʰ u ⁴ ⁴
上趟	z ɑ̃ ² ³ tʰ ɑ̃ ³ ⁴
上趟子	z ɑ̃ ² ² tʰ ɑ̃ ⁵ ⁵ t͡s z̩ ² ¹
上路	z ɑ̃ ² ² l u ⁴ ⁴
上車	z ɑ̃ ² ² t͡sʰ o ⁴ ⁴
上車	z ɑ̃ ³ ³ t͡sʰ o ⁵ ³
上面	z ɑ̃ ² ² m i ⁴ ⁴
上頭	z ɑ̃ ² ² d ɤ ⁴ ⁴
上首	z ɑ̃ ² ² s ɤ ⁴ ⁴
上馬桶	z ɑ̃ ³ ³ m o ² ² d o ŋ ⁴ ⁴
下	ɕ i a ³ ⁴
下	ɦ i a ² ³
下	ɦ o ² ³
下作	ɦ o ² ² t͡s o ʔ ⁴ ⁴
下作黨	ɦ o ² ² t͡s o ʔ ⁵ ⁵ t ɑ̃ ² ¹
下來	ɦ o ² ² l e ⁴ ⁴
下半天	ɦ o ² ² p ø ⁵ ⁵ tʰ i ² ¹
下半年	ɦ o ² ² p ø ⁵ ⁵ n̠ʲ i ² ¹
下半日	ɦ o ² ² p ø ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
下去	ɦ o ² ² t͡ɕʰ i ⁴ ⁴
下山	ɦ o ³ ³ s e ⁵ ³
下巴	ɦ o ² ² p o ⁴ ⁴
下底	ɦ o ² ² t i ⁴ ⁴
下底頭	ɦ o ² ² t i ⁵ ⁵ d ɤ ² ¹
下擺	ɦ o ² ² p a ⁴ ⁴
下方	ɦ o ² ² f ɑ̃ ⁴ ⁴
下晝	ɦ o ² ² t͡s ɤ ⁴ ⁴
下橫頭	ɦ o ² ² ɦ u ã ⁵ ⁵ d ɤ ² ¹
下班	ɦ o ² ² p e ⁴ ⁴
下禮拜	ɦ o ² ² l i ⁵ ⁵ p a ² ¹
下船	ɦ o ³ ³ z ø ² ³
下趟	ɦ o ² ² tʰ ɑ̃ ⁴ ⁴
下趟	ɦ o ² ³ tʰ ɑ̃ ³ ⁴
下身	ɦ o ² ² s ə n ⁴ ⁴
下車	ɦ o ² ² t͡sʰ o ⁴ ⁴
下車	ɦ o ³ ³ t͡sʰ o ⁵ ³
下轉	ɦ o ² ² t͡s ø ⁴ ⁴
下面	ɦ o ² ² m i ⁴ ⁴
下頭	ɦ o ² ² d ɤ ⁴ ⁴
下首	ɦ o ² ² s ɤ ⁴ ⁴
不	p ə ʔ ⁵ ⁵
不倒翁	p ə ʔ ³ ³ t ɔ ⁵ ⁵ o ŋ ² ¹
不可思議	p ə ʔ ³ ³ kʰ u ⁵ ⁵ s z̩ ³ ³ n̠ʲ i ² ¹
不如	p ə ʔ ³ ³ z z̩ ⁴ ⁴
不妨	p ə ʔ ³ ³ f ɑ̃ ⁴ ⁴
不朽	p ə ʔ ³ ³ ɕ i ɤ ⁴ ⁴
不老	p ə ʔ ³ ³ l ɔ ⁴ ⁴
不語	p ə ʔ ³ ³ n̠ʲ y ⁴ ⁴
不足	p ə ʔ ³ ³ t͡s o ʔ ⁴ ⁴
不過	p i ɪ ʔ ³ ³ k u ⁴ ⁴
不過	p ə ʔ ³ ³ k u ⁴ ⁴
不鏽鋼	p ə ʔ ³ ³ ɕ i ɤ ⁵ ⁵ k ɑ̃ ² ¹
丐	k e ³ ⁴
丑	t͡sʰ ɤ ³ ⁴
且	t͡ɕʰ i a ³ ⁴
且	t͡ɕʰ i ³ ⁴
丕	pʰ e ⁵ ³
丕	pʰ i ⁵ ³
世	s z̩ ³ ⁴
世代	s z̩ ³ ³ d e ⁴ ⁴
世界	s z̩ ³ ³ k a ⁴ ⁴
世界	s z̩ ⁵ ⁵ k a ² ¹
世界盃	s z̩ ⁵ ⁵ k a ³ ³ p e ² ¹
世紀	s z̩ ³ ³ t͡ɕ i ⁴ ⁴
世胄	s z̩ ³ ³ z ɤ ⁴ ⁴
丘	t͡ɕʰ i ɤ ⁵ ³
丙	p i n ³ ⁴
丞	z ə n ² ³
丟	t i ɤ ⁵ ³
並	b i n ² ³
並且	b i n ² ² t͡ɕʰ i ɪ ʔ ⁴ ⁴
並且	b i n ² ² t͡ɕʰ i ⁴ ⁴
並勿	b i n ² ² v ə ʔ ⁴ ⁴
並排	b i n ² ² b a ⁴ ⁴
並非	b i n ² ² f i ⁴ ⁴
丫	i a ⁵ ³
丫	o ⁵ ³
丫杈	o ⁵ ⁵ t͡sʰ o ² ¹
丫枝	o ⁵ ⁵ t͡s z̩ ² ¹
丫頭	i a ⁵ ⁵ d ɤ ² ¹
中	t͡s o ŋ ³ ⁴
中	t͡s o ŋ ⁵ ³
中人	t͡s o ŋ ⁵ ⁵ n̠ʲ i n ² ¹
中午	t͡s o ŋ ⁵ ⁵ ɦ u ² ¹
中國	t͡s o ŋ ⁵ ⁵ k o ʔ ² ¹
中國人	t͡s o ŋ ⁵ ⁵ k o ʔ ³ ³ n̠ʲ i n ² ¹
中國人民解放軍	t͡s o ŋ ⁵ ⁵ k o ʔ ³ ³ z ə n ² ² m i n ³ ³ t͡ɕ i a ³ ³ f ɑ̃ ⁵ ⁵ t͡ɕ y n ² ¹
中國地方	t͡s o ŋ ⁵ ⁵ k o ʔ ³ ³ d i ² ² f ɑ̃ ⁴ ⁴
中國特色	t͡s o ŋ ⁵ ⁵ k o ʔ ² ¹ d ə ʔ ¹ ¹ s ə ʔ ² ³
中國語	t͡s o ŋ ⁵ ⁵ k o ʔ ³ ³ n̠ʲ y ² ¹
中外合資	t͡s o ŋ ⁵ ⁵ ŋ a ³ ³ ɦ ə ʔ ¹ ¹ t͡s z̩ ² ³
中央	t͡s o ŋ ⁵ ⁵ i ã ² ¹
中學	t͡s o ŋ ⁵ ⁵ ɦ o ʔ ² ¹
中巴	t͡s o ŋ ⁵ ⁵ p a ² ¹
中心	t͡s o ŋ ⁵ ⁵ ɕ i n ² ¹
中意	t͡s o ŋ ⁵ ⁵ i ² ¹
中指	t͡s o ŋ ⁵ ⁵ t͡s z̩ ² ¹
中提琴	t͡s o ŋ ⁵ ⁵ d i ³ ³ d͡ʑ i n ² ¹
中文	t͡s o ŋ ⁵ ⁵ v ə n ² ¹
中方	t͡s o ŋ ⁵ ⁵ f ɑ̃ ² ¹
中暑	t͡s o ŋ ³ ³ s z̩ ⁴ ⁴
中暑	t͡s o ŋ ⁴ ⁴ s z̩ ³ ⁴
中浪	t͡s o ŋ ⁵ ⁵ l ɑ̃ ² ¹
中浪向	t͡s o ŋ ⁵ ⁵ l ɑ̃ ³ ³ ɕ i ã ² ¹
中環	t͡s o ŋ ⁵ ⁵ ɡ u e ² ¹
中秋	t͡s o ŋ ⁵ ⁵ t͡ɕʰ i ɤ ² ¹
中秋節	t͡s o ŋ ⁵ ⁵ t͡ɕʰ i ɤ ³ ³ t͡ɕʰ i ɪ ʔ ² ¹
中腦	t͡s o ŋ ⁵ ⁵ n ɔ ² ¹
中華	t͡s o ŋ ⁵ ⁵ ɦ o ² ¹
中華人民共和國	t͡s o ŋ ⁵ ⁵ ɦ o ³ ³ z ə n ² ² m i n ³ ³ ɡ o ŋ ² ² ɦ u ⁵ ⁵ k o ʔ ² ¹
中華民國	t͡s o ŋ ⁵ ⁵ ɦ o ³ ³ m i n ² ² k o ʔ ⁴ ⁴
中華民族	t͡s o ŋ ⁵ ⁵ ɦ o ³ ³ m i n ² ² z o ʔ ⁴ ⁴
