㐁	tʰ ʌ m H
㐆	ʔ ɨ n X
㐭	l i ɪ m X
㐲	d ɑ i H
㑁	ʈ i u ɪ t̚
㑉	s ɨ u k̚
㑗	ɕ i ɪ n
㑙	t e p̚
㑛	s u k̚
㑜	j i ᴇ i H
㑟	pˠ æ ŋ X
㑥	j i ᴇ H
㑳	d͡ʒ ɨ u H
㑳	t͡ʃ ɨ o
㑵	d͡z i ɪ t̚
㑻	mˠ ɛ t̚
㑿	d͡ʒˠ a u X
㒄	ȵ i ᴇ n X
㒅	kʰ e i X
㒇	m ɨ o X
㒈	hˠ a m H
㒊	ʃˠ i ɪ p̚
㒋	s i ᴇ
㒓	tʰ ɑ t̚
㒔	d u k̚
㒚	ʔ u ə n X
㒝	m e t̚
㒝	m ʉ ɐ t̚
㒟	n e u X
㒠	ɦˠ ɛ i H
㒥	pʰ ɨ u ŋ
㒴	k u ə t̚
㒸	z i u ɪ H
㒼	m u ɑ n
㒽	kʰˠ i u ᴇ n
㒾	j i ᴇ H
㓃	t u o H
㓄	ʈˠ i ɪ m H
㓊	d u ŋ H
㓖	p i ɪ t̚
㓚	k u ŋ
㓠	t e m X
㓢	l ɑ k̚
㓣	kʰˠ ɛ p̚
㓤	kʰˠ ɛ t̚
㓱	d ə u
㓳	t e i
㓷	ŋˠ i ᴇ i H
㓹	t͡sʰ i u ᴇ i H
㓺	k ɨ ɐ n
㓼	t͡ʃʰ ɪ t̚
㓽	d͡ʒ ɨ u ŋ
㔂	l i ɪ n H
㔄	s ɨ o k̚
㔆	d͡z ʌ m X
㔊	t͡ɕ i ᴇ n X
㔋	ɦˠ a m X
㔌	d͡z ə u
㔍	t͡ʃʰˠ u a t̚
㔎	ŋˠ i ɪ t̚
㔏	l e k̚
㔒	ɦ w e i
㔓	k ɨ ɐ n X
㔗	b ʉ i H
㔙	pˠ æ ŋ
㔝	l ɨ ɐ ŋ X
㔞	kʰˠ u ɛ i
㔠	hˠ a t̚
㔡	p e t̚
㔢	t͡s i u ᴇ t̚
㔣	l u ʌ i
㔥	bˠ ɛ X
㔩	ʔ ʌ p̚
㔪	l u o X
㔮	n ɑ
㔯	z i u ᴇ n
㔴	j ɨ k̚
㔶	k ʌ m X
㔸	tʰ e i
㔹	l ə k̚
㔻	pʰˠ i ɪ
㕆	t u o X
㕇	l ʌ p̚
㕈	ʔ ʌ i X
㕊	pʰ ɨ o
㕋	ɡˠ i ɪ m
㕎	kʰ ɑ p̚
㕒	ŋˠ i u ᴇ
㕙	t͡sʰ i u ɪ n
㕟	kʰˠ u ɛ i H
㕢	ɦˠ a i H
㕣	j i u ᴇ n X
㕦	ɦˠ u a H
㕧	hˠ i ɪ H
㕬	t͡ɕ ɨ o ŋ
㕭	ʔˠ a u
㕯	n u ə t̚
㕰	hˠ ʌ k̚
㖃	ɦ ə u X
㖅	s i u ɪ t̚
㖏	n e t̚
㖑	hˠ ɛ i H
㖟	d͡ʑ ɨ u H
㖥	ɡˠ i u ɪ n X
㖩	t͡s ɨ o
㖪	hˠ w ɛ k̚
㖷	d͡ʑ i ᴇ
㗉	l ɨ ɐ k̚
㗊	t͡ʃ i ɪ p̚
㗔	kʰˠ i ᴇ n
㗗	pˠ i ᴇ X
㗘	p w ɑ k̚
㗙	ɳˠ ɛ p̚
㗚	l i ɪ t̚
㗢	ɦ u o ŋ
㗤	t͡s ɨ u k̚
㗦	l ɑ u
㗧	ʈˠ i ɪ t̚
㗨	hˠ ɛ
㗩	s i ɪ p̚
㗫	t͡sʰ e t̚
㗬	ʈʰˠ a
㗱	t͡s i ɪ p̚
㗲	ɦˠ w ɛ k̚
㗴	ŋˠ ɛ n
㗵	h ɨ u t̚
㗻	k u ɑ
㗼	ŋ ɨ ɐ p̚
㗾	h ɨ u ɑ
㗿	h ɑ X
㘀	t͡s ɑ k̚
㘁	j i ᴇ k̚
㘆	tʰ ʌ i X
㘈	ŋ ɨ H
㘋	ɦˠ i ɪ n
㘌	ɡˠ i æ k̚
㘍	t͡s i ɪ t̚
㘓	l ɑ n
