Adam	æ d ə m
Brython	b r ə θ ɔ n
Grifyuth	ɡ r i f j ʏ θ
Grifyuth	ɡ ɾ ɪ f j ɪ θ
Kernewek	k ɛ r n ɛ w ɛ k
Kernow	k ɛ r n ɔ w
Kernowak	k ə r n u ə k
Kernowek	k ə r n uː ɐ k
Kernowek	k ɛ r n ɔ w ɛ k
Kernowyon	k ə r n o u j ɔ n
a	a
a	aː
abel	aː b ɛ l
aber	a b ɛ r
abrans	a b r a n s
acowntysy	ə k o ʊ n t ɪ z i
adamant	a d a m a n t
addya	æ d j ə
adermyn	ə d ɛ ɹ m ə n
adermyn	ə d ɛ ɹ m ɪ n
adhelergh	ə ð ɛ l h ə ɹ
adhelergh	ə ð ɛ l h ə ɹ x
adhewedhes	ə ð ə w ɛ ð ə s
adhewedhes	ə ð ə w ɛ ð ə z
adhves	a ð v ɛ s
adhyskans	a ð ɪ s k a n s
adhyski	a ð ɪ s k i
adhyskonieth	a ð ɪ s k ɔ n i ɛ θ
adhyskoniethel	a ð ɪ s k ɔ n i ɛ θ ɛ l
adhyskonydh	a ð ɪ s k ɔ n ɪ ð
adre	ə d ɹ eː
afina	a f iː n a
afînus	ə f iː n ɪ s
aga	æ ɡ ə
agan	æ ɡ ə n
agas	æ ɡ ə s
agas	æ ɡ ə z
agensow	ə ɡ ɛ n z o ʊ
agria	a ɡ r iː a
agria	ə ɡ ɹ iː ə
ahës	ə h eː z
ahës	ə h iː z
ahÿs	ə h eː z
ahÿs	ə h iː z
als	æ l z
als	ɒ l z
alwhedhow	ə l ʍ ɛ ð o ʊ
alwheth	æ l ʍ ə θ
amanyn	ə m æ n ə n
amanyn	ə m æ n ɪ n
amary	æ m ə ɾ i
avorow	ə v ɔ ɾ o ʊ
bay	b æ i
blejen	b l ɛ d͡ʒ ə n
blejennow	b l ə d͡ʒ ɛᵈ n o ʊ
blejyow	b l ɛ d͡ʒ o ʊ
bo	b oː
bones	b ɔ n ə s
bones	b ɔ n ə z
bos	b iː
bos	b oː z
bos	b ɔː z
bos	ɛ r ɐ
brâs	b ɹ ɒː z
bÿs	b eː z
bÿs	b iː z
coth	k o θ
dager	d a ɡ ɛ r
daras	d aː r a s
daras	d æː r ə s
darasow	d a r aː z ɔ ʊ
darjow	d æː r d͡ʒ ɔ ʊ
dha	ð a
dha	ð ə
dhe	ð ə
dydh	d ɪː ð
dywvregh	d i ʊ v r ə x
dëdh	d eː ð
dëdh	d iː ð
dÿdh	d eː ð
dÿdh	d iː ð
fon	f oː n
fon	f ɔː n
gell	ɡ ɛ lː
glaw	ɡ l a u
goffos	ɡ ɔ f ə z
gohi	ɡ ɔ h i
golyow	ɡ ɔ l j o ʊ
gorm	ɡ ɔ r m
gwag	ɡ w æː ɡ
gwedh	ɡ w eː ð
gwern	ɡ w ɛ r n
gwragh	ɡ w ʁ ɑː χ
gwëdh	ɡ w eː ð
gwÿdh	ɡ w iː ð
gà	ɡ ə
hireth	h ɪ r ɛ θ
hos	h ɔ s
hwi	ʍ iː
hwi	ʍ ə ɪ
hy	i
kal	k a l
kales	k a l ɛ s
kaletter	k a l ɛ tː ɛ r
kalgh	k a l x
kei	k ə j
kemmyn	k ɛ m m ɪ n
kerdhes	k ɛ r ð ɛ s
keus	k ʊ z
kuntilow	k ɐ n t iː l ɔː
lewpard	l e ʊ p a r d
lewpard	l ɛ ʊ p a r d
lewpard	l ɛ ʊ p ə r d
maghteth	m a x t ɛ θ
maghteth	m æʰ t ɐ θ
margh	m a ɾ x
maw	m æ ʊ
mergh	m ɛ ɹ x
nerth	n ɛ r θ
ny	n iː
ny	n ə ɪ
ny	n ɪ
nyns	n ɪ n z
ostes	o s t ə s
perna	p e r n ə
po	p oː
po	p ɔ
pobas	p ɔ b a s
pur	p iː r
pur	p yː r
puskes	p i s k ə s
puskes	p yː s k ɛ s
pysk	p ɪː s k
pyskador	p ɪ s k aː d ɔ r
pyskadoryon	p ɪ s k a d ɔː r j ɔ n
pò	p ɔ
ros	ɹ oː z
sagh	s aː x
sagh	z æːʰ
skons	s k ɔ n s
skrif	s k r iː f
sur	s iː r
sur	s yː r
sur	z iː r
tasow	t a z o
teylu	t ə ɪ l ɪ ʊ
teylu	t ɛ ɪ l y
tiger	t iː ɡ ɐ r
tiger	t iː ɡ ɛ r
tredan	t ɹ ɛ d ə n
trist	t r iː s t
tron	t r oː n
udn	ɪᵈ n
udn	ʏ n
unn	ɪᵈ n
unn	ʏ n
vo	v oː
why	ʍ iː
why	ʍ ə ɪ
y	ɪː
yn	ɪ n
ysel	ə z ɛ l
âls	æ l z
âls	ɒ l z
ès	ɛ z
ɐ	ɔ
ᵹ	ɣ
Ꝺ	ð
ꝺ	ð
Ᵹ	ɣ
Ꝿ	ŋ
ꝿ	ŋ
Ꞇ	θ
ꞇ	θ
