bbr	b ɛ b ɛ r
bbt	b ɛ b ɛ t
bbwt	b ɛ b uː t
bdt	b ɛ d ɛ t
bdš	b ɛ d ɛ ʃ
bgs	b ɛ ɡ ɛ s
bhd	b ɛ h ɛ d
bhn	b ɛ h ɛ n
bht	b ɛ h ɛ t
bhꜣ	b ɛ h ɑ
bhꜣw	b ɛ h ɑ uː
bjf	b i f
bjk	b i k
bjn	b aː j i n
bjn	b aː ʔ ə n
bjn	b i n
bjn	β oː ʔ ə n
bjnt	b a j n V t
bjnt	b a j n V ʔ
bjnt	b a j n a
bjnt	b i n ɛ t
bjnt	β a j n ə
bjrwnygꜣt	b i r uː n iː ɡ ɑ t
bjrwnygꜣt	β ə ɾ ə n iː k ə
bjt	b i j a t
bjt	b i j a ʔ
bjt	b i t
bjt	b ə j a ʔ
bjt	β ə j a ʔ
bjtj	b i j aː t V j
bjtj	b i t i
bjtj	b ə j aː t ə
bjtj	β ə j oː t
bjꜣ	b i ɑ
bjꜣt	b i ɑ t
bjꜣyt	b i ɑ iː t
bkꜣ	b ɛ k ɑ
bn	b ɛ n
bnbnt	b ɛ n b ɛ n ɛ t
bnr	b i n i j
bnr	b i n i ɾ
bnr	b ə n e ʔ
bnr	b ɛ n ɛ r
bnr	β ə n e ʔ
bns	b ɛ n ɛ s
bntj	b ɛ n t i
bntwt	b ɛ n t uː t
bnw	b ɛ n uː
bnš	b ɛ n ɛ ʃ
brwgtj	b ɛ r uː ɡ t i
bs	b ɛ s
btj	b ɛ t i
btꜣ	b ɛ t ɑ
bw	b uː
bwt	b uː t
bwtj	b uː t i
bzj	b ɛ z i
bšj	b ɛ ʃ i
bšṯ	b ɛ ʃ ɛ t͡ʃ
bḥ	b ɛ h
bḥdt	b ɛ h d ɛ t
bḥn	b ɛ h ɛ n
bḥnj	b ɛ h n i
bḥnt	b ɛ h n ɛ t
bḥs	b ɛ h ɛ s
bḥw	b ɛ h uː
bḥz	b ɛ h ɛ z
bḫnt	b ɛ x n ɛ t
bṯ	b ɛ t͡ʃ
bẖbẖ	b ɛ ç b ɛ ç
bꜣ	b e j
bꜣ	b i ʀ
bꜣ	b ɑ
bꜣ	β e j
bꜣbꜣrw	b ɑ b ɑ r uː
bꜣgj	b i ʀ kʼ i t
bꜣgj	b i ʀ kʼ i ʔ
bꜣgj	b iː kʼ a
bꜣgj	b ɑ ɡ i
bꜣgj	β iː kʼ ə
bꜣgsw	b ɑ ɡ s uː
bꜣj	b ɑ i
bꜣjr	b ɑ i r
bꜣjr	β ø ʔ ɾ ə
bꜣk	b aː ʀ a k
bꜣk	b aː ʔ ə k
bꜣk	b ɑ k
bꜣk	β oː ʔ ə k
bꜣkt	b a ʀ k a t
bꜣkt	b a ʀ k a ʔ
bꜣkt	b aː k a
bꜣkt	b ɑ k ɛ t
bꜣkt	β oː k ə
bꜣkw	b a ʀ k u w
bꜣkw	b ɑ k uː
bꜣkw	b ə k u ʔ
bꜣkw	b ə k ø ʔ
bꜣkꜣ	b ɑ k ɑ
bꜣs	b ɑ s
bꜣst	b ɑ s ɛ t
bꜣstt	b u ʀ i s t i t
bꜣstt	b u ʀ i s t i ʔ
bꜣstt	b ɑ s t ɛ t
bꜣstt	ʔ u b e s t a
bꜣstt	ʔ u β e s t ə
bꜣt	b aː ʀ a t
bꜣt	b aː ʀ a ʔ
bꜣt	b aː ʔ a
bꜣt	b ɑ t
bꜣt	β oː ʔ ə
bꜣw	b i ʀ uː w a w
bꜣw	b ɑ uː
bꜣw	b ə ʔ uː w ə
bꜣw	β eː w
bꜣyt	b ɑ iː t
bꜣḥ	b ɑ h
bꜣẖ	b ɑ ç
bꜣẖw	b a ʀ ç a w
bꜣẖw	b aː ç ə
bꜣẖw	b ɑ ç uː
bꜣẖw	β oː ç
bꜥr	b ɑː r
bꜥḥ	b ɑː h
bꜥḥj	b e ʕ ħ a
bꜥḥj	b i ʕ ħ i t
bꜥḥj	b i ʕ ħ i ʔ
bꜥḥj	b ɑː h i
bꜥḥj	β e ʕ ħ ə
bꜥḥw	b ɑː h uː
db	d ɛ b
db	tʼ e b
db	tʼ e p
db	tʼ i b
dbn	d ɛ b ɛ n
dbn	tʼ iː b a n
dbn	tʼ iː b ə n
dbn	tʼ iː β ə n
dbnt	d ɛ b n ɛ t
dbḥ	d ɛ b ɛ h
dbḥ	tʼ aː b a ħ
dbḥ	tʼ aː b ə ħ
dbḥ	tʼ oː β ə ħ
dbꜣ	d ɛ b ɑ
ddw	d ɛ d uː
dgj	d ɛ ɡ i
dgm	d ɛ ɡ ɛ m
