a	ɑː
aabits	ɑː b i t s
aafrika	ɑː f r i k ɑ
aasia	ɑː s i ɑ
aastaaeg	ɑː s t ɑ ɑ e̯ ɡ̊
ablas	ɑ b̥ l ɑ s
aevastama	ɑ e̯ v ɑ s t ɑ m ɑ
aine	ɑ i̯ n e
aituma	ɑ i̯ t u m ɑ
aitäh	ɑ i̯ t æ h
aitüma	ɑ i̯ t y m ɑ
ajalugu	ɑ j ɑ l u ɡ̊ u
aktiveerima	ɑ k t i v eː r i m ɑ
albaania	ɑ l b̥ ɑː n i ɑ
alk	ɑ lʲ k
ameerika	ɑ m eː r i k ɑ
and	ɑ nʲˑ t
andorra	ɑ n d̥ o rː ɑ
antarktis	ɑ n t ɑ r k t i s
aplus	ɑ p l u s
armastus	ɑ r m ɑ s t u s
armeenia	ɑ r m eː n i ɑ
aserbaidžaan	ɑ s e r b̥ ɑ i̯ d̥ ʒ ɑː n
astmevaheldus	ɑ s t m e v ɑ h e l d̥ u s
atmosfäär	ɑ t m o s f æː r
austria	ɑ u̯ s t r i ɑ
auto	ɑ u̯ t o
b	b̥ eː
baar	b̥ ɑː r
ballett	b̥ ɑ lː e tʲː
barrikaad	b̥ ɑ rː i k ɑː d̥
belgia	b̥ e lʲ ɡ̊ i ɑ
bosnia	b̥ o s n j ɑ
bulgaaria	b̥ u l ɡ̊ ɑː r i ɑ
c	t s eː
d	d̥ eː
depressioon	d̥ e p r e sː i oː n
džemper	d̥ ʒ e m p e r
džäss	d̥ ʒ æ sː
e	eː
ebaõnn	e b̥ ɑ ɤ nʲː
eeden	eː d̥ e n
eesti	eː s t i
elamu	e l ɑ m u
enne	e nː e
enne	e nːː e
entsüklopeedia	e n t s y k l o p eː d̥ i ɑ
epideemia	e p i d̥ eː m j ɑ
eramu	e r ɑ m u
erektsioon	e r e k t s i oː n
esmaspäev	e s m ɑ s p æ e̯ v
euroopa	e u r oː p ɑ
f	e fː
g	ɡ̊ eː
geograafia	ɡ̊ e o̯ ɡ̊ r ɑː f j ɑ
geoloogia	ɡ̊ e o̯ l oː ɡ̊ j ɑ
georgia	d̥ ʒ oː r d̥ ʒ i ɑ
georgia	ɡ̊ e o r ɡ̊ i ɑ
grammatika	ɡ̊ r ɑ mː ɑ tʲ i k ɑ
gruusia	ɡ̊ r uː s i ɑ
h	h ɑ ʃː
h	h ɑː
haarama	h ɑː r ɑ m ɑ
hall	h ɑ lʲː
hall	h ɑ lː
hambapasta	h ɑ m b̥ ɑ p ɑ s t ɑ
hele	h e l e
heleda	h e l e d̥ ɑ
helisema	h e l i s e m ɑ
hertsegoviina	h e r t s e ɡ̊ o v iː n ɑ
hirm	h i r m
homme	h o mː e
horvaatia	h o r v ɑː t i ɑ
häbemekink	h æ b̥ e m e k i n k
hüüumärk	h y i̯ u m æ r k
igaüks	i ɡ̊ ɑ y k s
iiri	iː r i
iirimaa	iː r i m ɑː
island	i s l ɑ n d̥
itaalia	i t ɑː l i ɑ
j	j o tʲː
jaanipäev	j ɑː n i p æ e̯ v
jalanõu	j ɑ l ɑ n ɤ u̯
jalka	j ɑ l k ɑ
jelena	j e l e n ɑ
jooma	j oː m ɑ
jumalanna	j u m ɑ l ɑ nː ɑ
juurima	j uː r i m ɑ
järgmine	j æ r ɡ̊ m i n e
jääaeg	j æː ɑ e̯ ɡ̊
jõulud	j ɤ u̯ l u d̥
jõululaupäev	j ɤ u̯ l u l ɑ u̯ p æ e̯ v
