ans	ɑː n s
bindn	b̥ i n d̥ː ŋ
brenna	b̥ r e̞ n ɐ
bsuacht	b̥ s u ɐ̯ χ d̥
Bweis	b̪̊ ʋ ɑ ɛ̯ s
Bweis	b̪̊ ʋ æː s
båchn	b̥ ɔ x ɴ̩
Bånkert	b̥ ɔ ŋ ɡ̥ː ɐ d̥
Bånkert	b̥ ɒ̃ ŋ ɡ̥ː ɐ d̥
deafn	d̥ e̞ ɐ̯ f ŋ
deafn	d̥ e̞ ɐ̯ f ɱ̩
denkt	d̥ e̞ ŋ ɡ̥ː d̥
derwoatn	d̥ ɐ v ɔ ɐ̯ d̥ː n̩
diafn	d̥ i ɐ̯ f ŋ
diafn	d̥ i ɐ̯ f ɱ̩
doa	d̥ o̞ ɐ̯
Dreier	d̥ r ɑ ɛ̯ʲ ɐ
fiare	f iː ɐ̯ r e̞
fimf	f ɪ ɱ f
findn	f i n d̥ː ŋ
flåch	f l ɔ x
fångan	f ɒ̃ ŋ ɐ̃
gebn	ɡ̥ e̞ː m
gflogn	ɡ̥ f l o̞ː ŋ
ghabt	kʰ ɒ p t
ghoidn	kʰ ɔ e̯ d̥ː n̩
Haus	h ɒː s
Haus	h æː z̥ ɐ
Haxn	h ɑ ɡ̥ː s n̩
hebn	h e̞ː m
Hefl	h e f l̩
Hefn	h e f ɱ̩
heier	h ɑ ɛ̯ʲ ɐ
heier	h æːʲ ɐ
hoiber	h o e β ɐ
hoibert	h o e β ɐ d̥
hoidn	h ɔ e̯ d̥ː n̩
Häfn	h e f ɱ̩
i	iː
i	ɪ
i	e
Kiwe	k iˑ v ɛ
Knedl	ɡ̥ n e̞ː l̪
knotzn	ɡ̥ n o̞ t͡s n̩
knotzn	ɡ̥ n o t͡s n̩
Koda	k ɔː d̥ a
Kåda	k ɔː d a
lebn	l e̞ː m
låchn	l ɔ x ɴ̩
lådn	l ɔː n̪ː
Mittn	m i n̪ː
mittn	m i n̪ː
mödn	m œː n̪ː
Oachkatzlschwoaf	o a̯ x k a t͡s l̩ ʃ w o a̯ f
pickig	b̥ i ɡ̥ː i ɡ̥
rama	r ɑ m ɑ
redn	r eː n̪
regna	r e̞ː ŋ ɡ ɐ
ruafn	r u ɐ f ɴ̣
schiach	ʃ iː ɐ̯ x
Schuid	ʃ uʲ d̥
segn	s e̞ː ŋ
Sie	s iː
Sie	s ɪ
Sie	s e
steh	ʃ d̥ e̞ː
stinkert	ʃ d̥ i ŋ ɐ d̥
suacha	s u ɐ χ ɐ
suachn	s u ɐ χ ŋ
teier	d̥ ɑ ɛ̯ʲ ɐ
teier	d̥ æːʲ ɐ
tretn	d̥ r eː n̪
Tåg	d̥ ɔ ɡ̥ː
Tåg	d̥ ɔ k
urteier	u ɐ̯ d̥ ɑ ɛ̯ʲ ɐ
urteier	u ɐ̯ d̥ æːʲ ɐ
versteh	ʃ d̥ e̞ː
wei	β ɑ ɛ̯
weiß	v ɑ ɛ̯ s
winschn	v i n d̥ ʃ n̩
woar	β ɔ ɐ̯
woatn	v ɔ ɐ̯ d̥ː n̩
wår	β ɒː
Zager	t͡s ɑː ɡ̥ ɐ
Ångscht	ɔ ŋ ɡ̥ ʃ
åtmen	ɔ d̥ː m ɐ n
ös	e s
öß	e s
