Ⴀ	ɑ
Ⴃ	d̪
Ⴄ	ɛ
Ⴅ	v
ა	a
ააბარგებს	a a b a ɾ ɡ e b s
ააგდებს	a a ɡ d e b s
ააგიზგიზებს	a a ɡ i z ɡ i z e b s
ააგო	a a ɡ o
აადვილებს	a a dʷ i l e b s
აალებადი	a a l e b a d i
აალებული	a a l e b u l i
აამებს	a a m e b s
აბა	a b a
აბაზანა	a b a z a n a
აბაზაშვილი	a b a z a ʃʷ i l i
აბაზი	a b a z i
აბაიაძე	a b a i a d͡z e
აბაიშვილი	a b a i ʃʷ i l i
აბაკი	a b a kʼ i
აბამს	a b a m s
აბანო	a b a n o
აბანოზი	a b a n o z i
აბაჟური	a b a ʒ u ɾ i
აბარგება	a b a ɾ ɡ e b a
აბარებს	a b a ɾ e b s
აბასაშვილი	a b a s a ʃʷ i l i
აბატი	a b a tʼ i
აბაშვილი	a b a ʃʷ i l i
აბაშიშვილი	a b a ʃ i ʃʷ i l i
აბგა	a b ɡ a
აბდაუბდა	a b d a u b d a
აბედი	a b e d i
აბეზღებს	a b e z ʁ e b s
აბელაშვილი	a b e ɫ a ʃʷ i l i
აბელი	a b e l i
აბელიანი	a b e l i a n i
აბეწვაშვილი	a b e t͡sʼʷ a ʃʷ i l i
აბზაცი	a b z a t͡sʰ i
აბზინდა	a b z i n d a
აბი	a b i
აბიაშვილი	a b i a ʃʷ i l i
აბიბინებს	a b i b i n e b s
აბინძურებს	a b i n d͡z u ɾ e b s
აბისონაშვილი	a b i s o n a ʃʷ i l i
აბლაბუდა	a b ɫ a b u d a
აბლაგვებს	a b ɫ a ɡʷ e b s
აბლაუტი	a b ɫ a u tʼ i
აბმა	a b m a
აბო	a b o
აბონემენტი	a b o n e m e n tʼ i
აბონენტი	a b o n e n tʼ i
აბორიგენი	a b o ɾ i ɡ e n i
აბრაგი	a b ɾ a ɡ i
აბრაკადაბრა	a b ɾ a kʼ a d a b ɾ a
აბრალებს	a b ɾ a l e b s
აბრამაშვილი	a b ɾ a m a ʃʷ i l i
აბრამი	a b ɾ a m i
აბრამიშვილი	a b ɾ a m i ʃʷ i l i
აბრევი	a b ɾ e v i
აბრევიატურა	a b ɾ e v i a tʼ u ɾ a
აბრეშუმი	a b ɾ e ʃ u m i
აბრუნებს	a b ɾ u n e b s
აბრძანდება	a b ɾ d͡z a n d e b a
აბსოლუტიზმი	a b s o ɫ u tʼ i z m i
აბსოლუტურად	a b s o ɫ u tʼ u ɾ a d
აბსოლუტური	a b s o ɫ u tʼ u ɾ i
აბსტრაქტულად	a b s tʼ ɾ a kʰ tʼ u ɫ a d
აბსტრაქტული	a b s tʼ ɾ a kʰ tʼ u l i
აბსტრაქცია	a b s tʼ ɾ a kʰ t͡sʰ i a
აბსურდულად	a b s u ɾ d u ɫ a d
აბსურდული	a b s u ɾ d u l i
აბსურდულობა	a b s u ɾ d u ɫ o b a
აბუაშვილი	a b u a ʃʷ i l i
აბულაშვილი	a b u ɫ a ʃʷ i l i
აბურძგნილი	a b u ɾ d͡z ɡ n i l i
აბუსერიძე	a b u s e ɾ i d͡z e
აბშილავა	a b ʃ i ɫ a v a
აბჯარი	a b d͡ʒ a ɾ i
აგავა	a ɡ a v a
აგარა	a ɡ a ɾ a
აგარაკი	a ɡ a ɾ a kʼ i
აგაშენაშვილი	a ɡ a ʃ e n a ʃʷ i l i
აგბობს	a ɡ b o b s
აგდება	a ɡ d e b a
აგდებს	a ɡ d e b s
აგდებულად	a ɡ d e b u ɫ a d
აგდებული	a ɡ d e b u l i
აგება	a ɡ e b a
აგებინებს	a ɡ e b i n e b s
აგებს	a ɡ e b s
აგეგმვა	a ɡ e ɡ mʷ a
აგენტად	a ɡ e n tʼ a d
აგენტი	a ɡ e n tʼ i
