ـܢܐ	a n o
ـܢܝ	a n i
ـܬܐ	a θ e
ܐܒ	o b
ܐܒܪܐ	a b r o
ܐܕܪ	o ð a r
ܐܘܪܗܝ	ʔ u r h o j
ܐܚܘܢܐ	a ħ u n o
ܐܚܢܐ	a ħ n a
ܐܝـܝܪ	i j a r
ܐܝܠܢ	i l ə n
ܐܠܗ	ʔ a l o h
ܐܠܗܐ	ʔ ɑ l o h e
ܐܠܗܐ	ʔ ɑ l o h o
ܐܠܦܐ	a l f o
ܐܡܐ	ʔ e m a
ܐܡܐ	ʔ e m o
ܐܢܐ	n o
ܐܢܐ	ʔ o n o
ܐܢܐ	ʔ ə n o
ܐܪܒܥܐ	a r b ʕ o
ܐܪܒܥܝ	a r b ʕ i
ܐܪܒܥܣܪ	a r b a ʕ s a r
ܐܫܘܛ	ə ʃ w ə tˤ
ܐܫܡܐ	ʔ ə ʃ m e
ܐܫܡܐ	ʔ ə ʃ m o
ܐܫܢܐ	ə ʃ n e
ܐܫܩܕ	ʔ ə ʃ q a ð
ܐܫܬܐ	ə ʃ t o
ܐܫܬܝ	ə ʃ t i
ܐܫܬܥܣܪ	ə ʃ t a ʕ s a r
ܒܚܪܐ	b a ħ r o
ܒܚܪܐ	b a ħ ɑ r e
ܒܚܬܐ	b ə ħ t o
ܒܟܫܐ	b a x t͡ʃ a
ܒܟܫܐ	b a x t͡ʃ a t
ܒܟܬ	b a x t
ܒܩܐ	b o q o
ܒܪܬܐ	b a r θ o
ܒܫܡ	b ə t͡ʃ m e
ܒܫܡ	b ə t͡ʃ ə m
ܓܒ	ɡ a b
ܓܘܗܪܐ	ɡ u h ɑ r a t
ܓܘܗܪܐ	ɡ u h ɑ r e
ܓܘܪܐ	ɡ a w r o
ܓܝܗܢܐ	ɡ i h ɑ n e
ܓܝܗܢܐ	ɡ i h ɑ n o
ܓܢܢܐ	ɡ ɑ n o n e
ܓܢܢܐ	ɡ ɑ n o n o
ܓܢܬܐ	ɡ a n θ e
ܓܢܬܐ	ɡ a n θ o
ܓܦܐ	ɡ e f e
ܓܦܐ	ɡ e f o
ܓܫܪܐ	ɡ ə ʃ r e
ܓܫܪܐ	ɡ ə ʃ r o
ܔܙܕܐܢ	d͡ʒ ə z d ɑ n
ܔܙܕܐܢ	d͡ʒ ə z d ɑ n a t
ܔܪܔܐ	d͡ʒ ə r d͡ʒ o
ܕܘܓܠܐ	d u ɡ l e
ܕܘܓܠܐ	d u ɡ l o
ܕܟܪܐ	d a x r e
ܕܟܪܐ	d a x r o
ܕܩܩܐ	d a q q a
ܕܩܩܬ	d a q q a t
ܕܪܒܝܢ	d o r b i n
ܕܪܒܝܢ	d o r b i n a t
ܕܪܒܝܢ	d o r b i n e
ܗܘܐ	h a w o
ܗܘܟܐ	h a w x a
ܗܝܐ	h a j o
ܗܝܝܐ	h i j a
ܗܝܝܐ	h i j e
ܗܢܐ	h a n o
ܗܢܝ	h a n i
ܗܢܟ	h a n ə k
ܗܢܢܐ	h ə n n e
ܗܬ	h a t
ܗܬܐ	h a θ e
ܗܬܘ	h a t u
ܙܒܢ	ʒ b o n
ܙܢܔܝܪ	z a n a d͡ʒ i r
ܙܢܔܝܪ	z ə n d͡ʒ i r
ܙܢܢܟܐ	ʒ ə n n ə k a t
ܙܢܢܟܐ	ʒ ə n n ə k e
ܙܥܘܪܐ	z ʕ u r e
ܙܥܘܪܐ	z ʕ u r o
ܙܥܘܪܐ	z ʕ u r t o
ܚܐ	ħ a
ܚܒܘܫܐ	ħ a b u ʃ o
ܚܕܐ	ħ ð o
ܚܕܥܣܪ	ħ ð a ʕ s a r
ܚܘܪܐ	ħ a w r o
ܚܘܪܐ	ħ e w o r o
ܚܙܝܪܢ	ħ z i r ə n
ܚܡܪܐ	ħ a m r o
ܚܡܪܐ	ħ m o r o
ܚܡܫܐ	ħ a m ʃ o
ܚܡܫܝ	ħ a m ʃ i
ܚܡܫܥܣܪ	ħ a m ʃ a ʕ s a r
ܚܬܐ	ħ o θ o
ܛܒܒܟ	t ə b b a x
ܛܓܢܐ	t a ɣ n o
ܛܝܐ	tˤ a j o
ܝܘܡܐ	j a w m e
ܝܘܡܐ	j a w m o
ܝܡܐ	j ɑ m e
ܝܡܐ	j ɑ m o
ܝܪܚܐ	j a r ħ e
ܝܪܚܐ	j a r ħ o
ܝܫܘܥ	j ə ʃ u ʕ
ܟܓܬ	k a ɣ a t
ܟܓܬ	k a ɣ a t a t
ܟܓܬ	k a ɣ a t e
ܟܝܐ	k y e
ܟܝܐ	k y o
ܟܝܝܣܐ	k a y i s o
ܟܟܐ	k a k e
ܟܟܐ	k a k o
ܟܠܒܐ	k a l b o
ܟܠܠܐ	k a l l ɑ
ܟܠܠܐ	k a l l ɑ u a t
ܟܠܠܐ	k a l l ɑ u e
ܟܡܐ	k m o
ܟܡܐ	k o m o
ܟܫܫܟܐ	k a t͡ʃ t͡ʃ ə k a t
ܟܫܫܟܐ	k a t͡ʃ t͡ʃ ə k e
ܟܬܘܐ	k θ o w e
ܟܬܘܐ	k θ o w o
ܟܬܦܐ	k a t f o
ܟܬܦܐ	k a t f o θ e
ܟܬܦܐ	k a θ p o
ܟܬܦܐ	k a θ p o θ e
ܠܐܠܐ	l ɑ l e
ܠܐܠܐ	l ɑ l o
ܠܗܒܟ	l ə h b o k
ܠܗܒܟ	l ə h b o k e
ܠܚܡܐ	l a ħ m o
ܠܠܠܐ	l a l l e
ܠܠܠܐ	l a l l o θ e
ܡܐ	m e
ܡܐ	m o
ܡܓܠܝܘܢ	m ɡ a l y u n
ܡܓܠܝܢ	m ɡ a l i n
ܡܓܠܝܢ	m ɡ a l y o n
ܡܓܠܝܢ	m ɡ a l y ə n
ܡܕܐ	m e d e
ܡܕܐ	m e d o n e
ܡܝܐ	m ɑ y e
ܡܠܟܐ	m a l k o
ܡܡܡܐ	m a m m o
ܡܣܟܝܢܐ	m ə s k i n e
ܡܣܟܝܢܐ	m ə s k i n o
ܡܫܚܐ	m ə ʃ ħ e
ܡܫܚܐ	m ə ʃ ħ o
ܡܬܐ	m a θ e
ܢܝܣܢ	n i s ə n
ܢܫܪܐ	n ə ʃ r e
ܢܫܪܐ	n ə ʃ r o
ܣܘܪܓܕܐ	s u r ɡ o ð e
ܣܘܪܓܕܐ	s u r ɡ o ð o
ܣܟܡܒܝܠ	s k a m b i l
ܣܥܐ	s a ʕ a
ܣܥܬ	s a ʕ a t
ܣܬܘܐ	s a θ w o
ܥܙܪܐ	ʕ ə z r o
ܥܝܣܩܬܐ	ʕ i s a q y o θ e
ܥܝܣܩܬܐ	ʕ i s a q θ o
ܥܣܟܪ	ʕ a s e k ə r
ܥܣܟܪ	ʕ a s k a r
ܥܣܪܐ	ʕ a sˤ r o
ܥܣܪܝ	ʕ ə ʃ r i
ܦܘܚܐ	f u ħ e
ܦܘܚܐ	f u ħ o
ܨܢܝـܝܐ	sˤ a n i j e
ܨܢܝـܝܬ	sˤ a n i j a t
ܨܦܪܐ	sˤ a f r o
ܨܪܬܐ	sˤ ə r t o
ܩܘܪܐ	q a w r o
ܩܛܝܢܬܐ	q a tˤ i n o θ e
ܩܛܢܬܐ	q a tˤ ə n t o
ܩܝܛܐ	q a j tˤ o
ܩܡܝܐ	q a m o j o
ܩܡܣܬܐ	q m ə s t ɒ
ܩܪܩܘܪܐ	q a r q u r e
ܩܪܩܘܪܐ	q a r q u r o
ܪܒܝܥܝܐ	r b i ʕ o j o
ܪܒܥ	r a b ə ʕ
ܪܦܦܐ	r f o f e
ܪܦܦܐ	r f o f o
ܫܐܓ	t͡ʃ ɑ ɣ
ܫܐܓܬ	t͡ʃ ɑ ɣ a t
ܫܒܐ	ʃ a b e
ܫܒܬܐ	ʃ a b θ o
ܫܘܚܠܦܐ	ʃ u ħ l o f e
ܫܘܚܠܦܐ	ʃ u ħ l o f o
ܫܘܥܐ	ʃ a w ʕ o
ܫܘܥܝ	ʃ a w ʕ i
ܫܘܥܣܪ	ʃ w a ʕ s a r
ܫܝܟܐ	t͡ʃ i k e
ܫܝܪܟܐ	t͡ʃ i r o k a t
ܫܝܪܟܐ	t͡ʃ i r o k e
ܫܡܐ	ʃ m o
ܫܡܬܐ	ʃ a m θ o
ܫܢܓܐ	t͡ʃ a n ɡ a t
ܫܢܓܐ	t͡ʃ a n ɡ e
ܫܢܛܐ	t͡ʃ a n tˤ a
ܫܢܛܐ	ʃ a n tˤ a
ܫܢܨ	ʃ a n sˤ
ܫܢܨ	ʃ a n sˤ a t
ܫܥܐ	ʃ o ʕ e
ܫܥܬܐ	ʃ o ʕ θ o
ܫܩܡܩ	t͡ʃ ə q m a q
ܫܩܡܩ	t͡ʃ ə q m a q a t
ܫܫܫܐ	t͡ʃ a t͡ʃ t͡ʃ a t
ܫܫܫܐ	t͡ʃ a t͡ʃ t͡ʃ e
ܫܬܐ	ʃ a t o
ܬܠܝܬܝܐ	t l i θ o j o
ܬܠܬܐ	t l o θ o
ܬܠܬܝ	t l e θ i
ܬܠܬܡܐ	t l ə θ m o
ܬܠܬܥܣܪ	t l o θ a ʕ s a r
ܬܡܙ	t a m ə z
ܬܡܢܝ	t m o n i
ܬܡܢܝܐ	t m a n j o
ܬܡܢܥܣܪ	t m o n a ʕ s a r
