ben	b ɛː n
bred	b r ɛː d
ded	d ɛː d
een	ɛː n
efte	ɛː f t e
ein	ɛː ɪ̯ n
en	ɛː n
eng	ɛː ŋ
enich	ɛː n i χ
enne	ɛː nː e
er	ɛː r
er	ɛː r
ere	ɛː r e
erm	æ r m
erosta	ɛː r o s t a
erste	ɛː r s t e
feder	f æ d e r
femne	f ɛː m n e
gest	ɡ ɛː s t
hel	h ɛː l
hela	h eː l a
hela	h ɛː l a
helich	h ɛː l i χ
hem	h ɛː m
her	h ɛː r
hera	h ɛː r a
kleth	k l ɛː θ
leda	l ɛː d a
lesa	l ɛː s a
lesta	l ɛː s t a
mester	m ɛː s t e r
nen	n ɛː n
pel	p ɛː l
serk	s æ r k
sever	s ɛː f e r
sever	s ɛː w e r
skep	s k ɛː p
smel	s m æ l
stef	s t æ f
sten	s t ɛː n
sterk	s t æ r k
strete	s t r ɛː t e
thek	θ æ k
twen	t w ɛː n
twene	t w ɛː n e
twer	t w ɛː r
wesa	w ɛː s a
