A	ɑ
Aagni	ɑː ɡ n i
alfabeʹtt	ɑ l f ɑ b e tː
alfabeʹtträidd	ɑ l f ɑ b e tː r a i dː
b	b
B	b
c	t͡s
C	t͡s
ceeʒʒaž	t͡s eː d͡zː ɑ ʒ
ceerkav	t͡s eː r k ɑ v
cââǥǥan	t͡s ɐː ɣː ɑ n
ʒ	d͡z
Ʒ	d͡z
ǯ	d͡ʒ
Ǯ	d͡ʒ
d	d
D	d
đ	ð
Đ	ð
e	e
e	ɛ
E	e
E	ɛ
f	f
F	f
Fooma	f oː m ɑ
g	ɡ
G	ɡ
garmaan	ɡ ɑ r m ɑː n
gåårad	ɡ ɔː r ɑ d
ǥ	ɣ
Ǥ	ɣ
h	x
h	h
H	x
H	h
i	i
i	j
I	i
I	j
Iirâšǩ	iː r ɐ ʃ c͡ç
j	ʝ
J	ʝ
Jååǥǥar	ʝ ɔː ɣː ɑ r
k	k
K	k
kluuǥǥai	k l uː ɣː ɑ i
koǯǯ	k o d͡ʒː
koonǥõs	k oː n ɣ ɘ s
kuõbǯǯ	k u̯ ɘ b d͡ʒː
kõʒʒ	k ɘ d͡zː
l	l
L	l
luõss	l u ɘ sː
m	m
M	m
manah	m ɑ n ɑ x
n	n
N	n
Njauddâm	ɲ ɑ u dː ɐ m
njuhčč	ɲ u h t͡ʃː
nõmm	n ɘ mː
ŋ	ŋ
Ŋ	ŋ
o	o
O	o
p	p
P	p
papp	p ɑ pː
päärnaž	p aː r n ɑ ʒ
päärr	p aː rː
päärõõttâd	p aː r ɘː tː ɐ d
pääršâʹstted	p aː r ʃ ɐ s tː e d
pååttaǩ	p ɔː tː ɑ c͡ç
r	r
R	r
s	s
S	s
smiâhh	s m i̯ ɐ xː
soorkõs	s oː r k ɘ s
sääldat	s aː l d ɑ t
t	t
T	t
truubšeǩ	t r uː b ʃ e c͡ç
tueʹlesinn	t u e l e s i nː
tueʹleskuâus	t u e l e s k u ɐ u s
tueʹlespeiʹvv	t u e l e s p e i vː
tueʹlesveiʹǧǧ	t u e l e s v e i ɟ͡ʝː
tueʹlesveärr	t u e l e s v e a rː
tueʹlääž	t u e l aː ʒ
u	u
u	w
U	u
U	w
v	v
V	v
villj	v i ʎː
võrr	v ɘ rː
võõri	v ɘː r i
z	z
Z	z
â	ɐ
Â	ɐ
ä	a
Ä	a
äkk	a kː
å	ɔ
Å	ɔ
Ååggašǩ	ɔː ɡː ɑ ʃ c͡ç
Åållaž	ɔː lː ɑ ʒ
õ	ɘ
Õ	ɘ
õõđ	ɘː ð
Č	t͡ʃ
č	t͡ʃ
čiõlliǩ	t͡ʃ i ɘ lː i c͡ç
čäŋŋõõtti	t͡ʃ a ŋː ɘː tː i
čõrmm	t͡ʃ ɘ r mː
Š	ʃ
š	ʃ
škooulnekka	ʃ k oː u l n e kː ɑ
škooulneʹǩǩ	ʃ k oː u l n e c͡çː
ž	ʒ
Ž	ʒ
ǧ	ɟ͡ʝ
Ǧ	ɟ͡ʝ
ǩ	c͡ç
Ǩ	c͡ç
ǩiõll	c͡ç i ɘ ɫː
