'bout	b a ʊ t
'cause	k ɒ z
'cause	k ɔ z
'cause	k ə z
'dswounds	d z w u n d z
'em	m̩
'em	ə m
'em	ɛ m
'em	ɪ m
'emselves	ə m s ɛ l v z
'fraid	f ɹ e ɪ d
'ganst	ɡ æ n s t
'll	ə l
'm	m
'm	m̩
'm	ə m
'mong	m ʌ ŋ
'murica	m ɝ ɪ k ə
'n'	n̩
'n'	ə n
'nough	n ʌ f
'nuff	n ʌ f
's	ɪ z
'sblood	z b l ʌ d
'scuse	s k j uː s
'scuse	s k j uː z
'sdeath	z d ɛ θ
'sfar	s f ɑː ɹ
'swounds	z w u n d z
'tis	t ɪ z
'tisn't	t ɪ z n t
'tshall	t͡ʃ ə l
'tude	t j uː d
'twas	t w ɒ z
'twasn't	t w ɒ z n̩ t
'twill	t w ɪ l
'twixt	t w ɪ k s t
'ud	uː d
'ud	ə d
'ullo	ʌ l ə ʊ
'un	ʌ n
a	e ɪ
a	e ɪ̯
a	æ
a	ɑ
a	ɑː
a	ɔ
a	ə
a'n't	æ n t
aa	ɑː ɑː
aaad	e ɪ e ɪ e ɪ d iː
aaaee	e ɪ e ɪ e ɪ iː iː
aaarg	e ɪ e ɪ e ɪ ɑː ɹ d ʒ iː
aaav	e ɪ e ɪ e ɪ v iː
aaawesome	ɔː s ə m
aabh	e ɪ e ɪ b iː e ɪ t ʃ
aacap	e ɪ e ɪ k æ p
aacb	e ɪ e ɪ s iː b iː
aacbc	e ɪ e ɪ s iː b iː s iː
aacbp	e ɪ e ɪ s iː b iː p iː
aacd	e ɪ e ɪ s iː d iː
aacdp	e ɪ e ɪ s iː d iː p iː
aace	e ɪ e ɪ s iː iː
aach	æ k
aach	ɑː k
aachen	ɑː k ə n
aachs	e ɪ e ɪ s iː e ɪ t ʃ ɛ s
aacjc	e ɪ e ɪ s iː d ʒ e ɪ s iː
aacl	e ɪ e ɪ s iː ɛ l
aacm	e ɪ e ɪ s iː ɛ m
aacpa	e ɪ e ɪ s iː p iː e ɪ
