A	a
aba	a β̞ a
ababor	a β̞ a β̞ o r
abade	a β̞ a ð̞ e
abadegai	a β̞ a ð̞ e ɣ̞ a i̯
abadegintza	a β̞ a ð̞ e ɣ̞ ĩ n t͡s̻ a
abadeki	a β̞ a ð̞ e k i
abadesa	a β̞ a ð̞ e s̺ a
abadetar	a β̞ a ð̞ e t̪ a r
abadetasun	a β̞ a ð̞ e t̪ a s̺ ũ n
abadetu	a β̞ a ð̞ e t̪ u
abadetza	a β̞ a ð̞ e t͡s̻ a
abadia	a β̞ a ð̞ i a
Abadiano	a β̞ a ð̞ i a n o
abadot	a β̞ a ð̞ o t̪
abagune	a β̞ a ɣ̞ u n e
abail	a β̞ a i̯ l
abaila	a β̞ a i̯ l a
abaila	a β̞ a ʎ a
abaildu	a β̞ a i̯ l̪ d̪ u
abaildura	a β̞ a i̯ l̪ d̪ u ɾ a
abakando	a β̞ a k ã n̪ d̪ o
abako	a β̞ a k o
abal	a β̞ a l
abalatu	a β̞ a l a t̪ u
abaldun	a β̞ a l̪ d̪ ũ n
abalkide	a β̞ a l k i ð̞ e
abandonatu	a β̞ ã n̪ d̪ o n a t̪ u
abandonu	a β̞ ã n̪ d̪ o n u
abangoardia	a β̞ a ŋ ɡ o a r ð̞ i a
abangoardismo	a β̞ a ŋ ɡ o a r ð̞ i z̺ m o
abangoardista	a β̞ a ŋ ɡ o a r ð̞ i s̺ t̪ a
abant	a β̞ ã n̪ t̪
abantada	a β̞ ã n̪ t̪ a ð̞ a
abantaila	a β̞ ã n̪ t̪ a i̯ l a
abantaila	a β̞ ã n̪ t̪ a ʎ a
abantailatsu	a β̞ ã n̪ t̪ a i̯ l a t͡s̺ u
abantailatsu	a β̞ ã n̪ t̪ a ʎ a t͡s̺ u
abantailatsu	a β̞ ã n̪ t̪ a ʎ a t͡s̺ u
abantailatsu	a β̞ ã n̪ t̪ a ʎ a t͡s̻ u
abantailatu	a β̞ ã n̪ t̪ a i̯ l a t̪ u
abantailatu	a β̞ ã n̪ t̪ a ʎ a t̪ u
abantailatuki	a β̞ ã n̪ t̪ a i̯ l a t̪ u k i
abantailatuki	a β̞ ã n̪ t̪ a ʎ a t̪ u k i
abantailos	a β̞ ã n̪ t̪ a i̯ l o s̺
abantailos	a β̞ ã n̪ t̪ a ʎ o s̺
abantailoski	a β̞ ã n̪ t̪ a i̯ l o s̺ k i
abantailoski	a β̞ ã n̪ t̪ a ʎ o s̺ k i
abantari	a β̞ ã n̪ t̪ a ɾ i
abantean	a β̞ ã n̪ t̪ e ã n
abantzamendu	a β̞ ã n t͡s̻ a m ẽ n̪ d̪ u
abantzatu	a β̞ ã n t͡s̻ a t̪ u
abantzu	a β̞ ã n t͡s̻ u
abantzuño	a β̞ ã n t͡s̻ u ɲ o
abao	a β̞ a o
abar	a β̞ a r
abaraska	a β̞ a ɾ a s̺ k a
abaritz	a β̞ a ɾ i t͡s̻
abarizia	a β̞ a ɾ i s̻ i a
abarizia	a β̞ a ɾ i s̻ i a
abarizia	a β̞ a ɾ i s̺ i a
abarizti	a β̞ a ɾ i s̻ t̪ i
abarizti	a β̞ a ɾ i s̻ t̪ i
abarizti	a β̞ a ɾ i s̺ t̪ i
abarka	a β̞ a r k a
abarkadun	a β̞ a r k a ð̞ ũ n
abarkagile	a β̞ a r k a ɣ̞ i l e
abarkagile	a β̞ a r k a ɣ̞ i ʎ e
abarkagin	a β̞ a r k a ɣ̞ ĩ n
abarkagintza	a β̞ a r k a ɣ̞ ĩ n t͡s̻ a
abarkari	a β̞ a r k a ɾ i
abarketa	a β̞ a r k e t̪ a
abarketari	a β̞ a r k e t̪ a ɾ i
abaro	a β̞ a ɾ o
abarotsu	a β̞ a ɾ o t͡s̺ u
abarotsu	a β̞ a ɾ o t͡s̺ u
abarotsu	a β̞ a ɾ o t͡s̻ u
abarrakitu	a β̞ a r a k i t̪ u
abarreria	a β̞ a r e ɾ i a
abarreztatu	a β̞ a r e s̻ t̪ a t̪ u
abarreztatu	a β̞ a r e s̻ t̪ a t̪ u
abarreztatu	a β̞ a r e s̺ t̪ a t̪ u
abarrots	a β̞ a r o t͡s̺
abarrots	a β̞ a r o t͡s̺
abarrots	a β̞ a r o t͡s̻
abartegi	a β̞ a r t̪ e ɣ̞ i
abartsu	a β̞ a r t͡s̺ u
abartsu	a β̞ a r t͡s̺ u
abartsu	a β̞ a r t͡s̻ u
abartu	a β̞ a r t̪ u
abata	a β̞ a t̪ a
abatari	a β̞ a t̪ a ɾ i
abatz	a β̞ a t͡s̻
abdika	a β̞ ð̞ i k a
abdikatu	a β̞ ð̞ i k a t̪ u
abdikazio	a β̞ ð̞ i k a s̻ i o
abdikazio	a β̞ ð̞ i k a s̻ i o
abdikazio	a β̞ ð̞ i k a s̺ i o
abdomen	a β̞ ð̞ o m ẽ n
abdukzio	a β̞ ð̞ u k s̻ i o
abdukzio	a β̞ ð̞ u k s̻ i o
abdukzio	a β̞ ð̞ u k s̺ i o
abduzi	a β̞ ð̞ u s̻ i
abduzi	a β̞ ð̞ u s̻ i
abduzi	a β̞ ð̞ u s̺ i
abegi	a β̞ e ɣ̞ i
abegikor	a β̞ e ɣ̞ i k o r
abegitsu	a β̞ e ɣ̞ i t͡s̺ u
abegitsu	a β̞ e ɣ̞ i t͡s̺ u
abegitsu	a β̞ e ɣ̞ i t͡s̻ u
abelazkuntza	a β̞ e l a s̻ k ũ n t͡s̻ a
abelazkuntza	a β̞ e l a s̻ k ũ n t͡s̻ a
abelazkuntza	a β̞ e l a s̺ k ũ n t͡s̻ a
abelbide	a β̞ e l β̞ i ð̞ e
abelburu	a β̞ e l β̞ u ɾ u
abeldar	a β̞ e l̪ d̪ a r
abeldun	a β̞ e l̪ d̪ ũ n
abeletxe	a β̞ e l e t͡ʃ e
abelgorri	a β̞ e l ɣ̞ o r i
abelgorriki	a β̞ e l ɣ̞ o r i k i
abeltegi	a β̞ e l̪ t̪ e ɣ̞ i
abeltzain	a β̞ e l t͡s̻ ã ĩ̯ n
abeltzainak	a β̞ e l t͡s̻ a i̯ n a k
abeltzainak	a β̞ e l t͡s̻ a ɲ a k
