Ёма	j o m ɑ
Изьва	i zʲ v ɑ
Печора	p e t͡sʲ o r ɑ
Россия	r o s sʲ i j ɑ
Сыктыв	s ɨ k t ɨ v
Эжва	e ʒ v ɑ
агас	ɑ ɡ ɑ s
аски	ɑ s k i
аскомысь	ɑ s k o m ɨ sʲ
асыв	ɑ s ɨ v
баба	b ɑ b ɑ
бадь	b ɑ dʲ
бать	b ɑ tʲ
бедь	b e dʲ
берд	b e r d
блюд	b lʲ u d
бобув	b o b u v
бон	b o n
борд	b o r d
булка	b u l k ɑ
бус	b u s
бутылка	b u t ɨ l k ɑ
быг	b ɨ ɡ
ва	v ɑ
вад	v ɑ d
вал	v ɑ l
вежон	v e ʒ o n
ветымын	v e t ɨ m ɨ n
видз	v i d͡zʲ
видзысь	v i d͡zʲ ɨ sʲ
визув	v i z u v
вина	v i n ɑ
вины	v i n ɨ
вис	v i s
вичко	v i t͡sʲ k o
виысь	v i ɨ sʲ
во	v o
водзир	v o d͡zʲ i r
вож	v o ʒ
воз	v o z
вой	v o j
вок	v o k
воль	v o lʲ
вон	v o n
воськов	v o sʲ k o v
вуг	v u ɡ
вудж	v u d͡ʒ
вуж	v u ʒ
вуз	v u z
выллюн	v ɨ l lʲ u n
выльлун	v ɨ lʲ l u n
вӧв	v ə v
вӧр	v ə r
вӧравны	v ə r ɑ v n ɨ
вӧралысь	v ə r ɑ l ɨ sʲ
вӧрк	v ə r k
вӧт	v ə t
гаг	ɡ ɑ ɡ
гадь	ɡ ɑ dʲ
геб	ɡ e b
гез	ɡ e z
гезъяс	ɡ e z j ɑ s
гоб	ɡ o b
гож	ɡ o ʒ
горс	ɡ o r s
горт	ɡ o r t
грезд	ɡ r e z d
гыж	ɡ ɨ ʒ
гыр	ɡ ɨ r
гырк	ɡ ɨ r k
гыч	ɡ ɨ t͡sʲ
гӧг	ɡ ə ɡ
гӧнец	ɡ ə nʲ e t͡s
гӧп	ɡ ə p
гӧр	ɡ ə r
гӧсть	ɡ ə s tʲ
гӧстя	ɡ ə s tʲ ɑ
дав	d ɑ v
дворец	d v o r e t͡s
джадж	d͡ʒ ɑ d͡ʒ
джек	d͡ʒ e k
джодж	d͡ʒ o d͡ʒ
джын	d͡ʒ ɨ n
дзоридз	d͡zʲ o r i d͡zʲ
додь	d o dʲ
доз	d o z
дон	d o n
дуль	d u lʲ
ді	d i
ен	j e n
енэж	j e n e ʒ
жель	ʒ e lʲ
жыр	ʒ ɨ r
жӧник	ʒ ə n i k
зеп	z e p
зоб	z o b
зон	z o n
зонка	z o n k ɑ
зыр	z ɨ r
зэр	z e r
зі	z i
зіб	z i b
зӧр	z ə r
и	i
ид	i d
идз	i d͡zʲ
из	i z
история	i s t o r i j ɑ
йыв	j ɨ v
йӧв	j ə v
йӧз	j ə z
йӧй	j ə j
йӧюк	j ə j u k
кад	k ɑ d
канава	k ɑ n ɑ v ɑ
кань	k ɑ nʲ
кар	k ɑ r
квайтымын	k v ɑ j t ɨ m ɨ n
кев	k e v
кер	k e r
керка	k e r k ɑ
ключ	k lʲ u t͡sʲ
книга	k nʲ i ɡ ɑ
ков	k o v
коз	k o z
козин	k o zʲ i n
кок	k o k
коль	k o lʲ
кольк	k o lʲ k
кор	k o r
кос	k o s
кось	k o sʲ
куз	k u z
кыв	k ɨ v
кыдз	k ɨ d͡zʲ
кыр	k ɨ r
кырныш	k ɨ r n ɨ ʃ
кытш	k ɨ t͡ʃ
кӧв	k ə v
кӧин	k ə i n
кӧкъямыс	k ə k j ɑ m ɨ s
кӧр	k ə r
кӧрт	k ə r t
кӧч	k ə t͡sʲ
кӧчиль	k ə t͡sʲ i lʲ
леденец	lʲ e dʲ e nʲ e t͡s
лек	lʲ e k
лов	l o v
лоп	l o p
лудік	l u d i k
лук	l u k
лун	l u n
лыд	l ɨ d
лым	l ɨ m
лыс	l ɨ s
льӧб	lʲ ə b
льӧм	lʲ ə m
лэбач	l e b ɑ t͡sʲ
лӧдз	l ə d͡zʲ
мам	m ɑ m
мамук	m ɑ m u k
манак	m ɑ n ɑ k
марксизм	m ɑ r k sʲ i z m
мек	m e k
мел	m e l
мог	m o ɡ
мойд	m o j d
море	m o r e
морт	m o r t
мортвиысь	m o r t v i ɨ sʲ
мортсёйысь	m o r t sʲ o j ɨ sʲ
му	m u
мус	m u s
мыльк	m ɨ lʲ k
мыр	m ɨ r
мыш	m ɨ ʃ
мӧвп	m ə v p
мӧс	m ə s
мӧсвидзысь	m ə s vʲ i d͡zʲ ɨ sʲ
нальк	n ɑ lʲ k
народ	n ɑ r o d
невеста	nʲ e v e s t ɑ
нек	nʲ e k
нелямын	nʲ e lʲ ɑ m ɨ n
ним	nʲ i m
нитш	nʲ i t͡ʃ
ном	n o m
ныв	n ɨ v
нывка	n ɨ v k ɑ
ныр	n ɨ r
ньыв	nʲ ɨ v
ньывк	nʲ ɨ v k
ньӧв	nʲ ə v
нэм	n e m
нянь	nʲ ɑ nʲ
нёль	nʲ o lʲ
нӧб	n ə b
нӧк	n ə k
оз	o z
ош	o ʃ
пар	p ɑ r
партия	p ɑ r tʲ i j ɑ
пашкан	p ɑ ʃ k ɑ n
пев	p e v
петас	p e t ɑ s
пи	p i
пивиысь	p i v i ɨ sʲ
пилот	pʲ i l o t
письмӧ	p i sʲ m ə
пиук	p i u k
плӧтник	p l ə t n i k
пож	p o ʒ
поз	p o z
пон	p o n
поп	p o p
пос	p o s
преник	p rʲ e nʲ i k
пруд	p r u d
пу	p u
пув	p u v
пуд	p u d
пуж	p u ʒ
пур	p u r
пызан	p ɨ z ɑ n
пызь	p ɨ zʲ
пыш	p ɨ ʃ
пӧв	p ə v
пӧк	p ə k
пӧлтинник	p ə l t i nʲː i k
пӧрт	p ə r t
равнина	r ɑ v n i n ɑ
рас	r ɑ s
регыд	r e ɡ ɨ d
рос	r o s
руч	r u t͡sʲ
ручиль	r u t͡sʲ i lʲ
рысь	r ɨ sʲ
рыт	r ɨ t
рытыв	r ɨ t ɨ v
сад	s ɑ d
свод	s v o d
сикт	sʲ i k t
син	sʲ i n
сир	sʲ i r
сись	sʲ i sʲ
сов	s o v
сод	s o d
сок	s o k
сос	s o s
судно	s u d n o
сунис	s u nʲ i s
сьӧла	sʲ ə l ɑ
сьӧм	sʲ ə m
сюв	sʲ u v
сюр	sʲ u r
сюрс	sʲ u r s
сё	sʲ o
сёйны	sʲ o j n ɨ
сёйысь	sʲ o j ɨ sʲ
сім	s i m
сӧп	s ə p
таб	t ɑ b
таз	t ɑ z
талун	t ɑ l u n
тор	t o r
тош	t o ʃ
тув	t u v
тулыс	t u l ɨ s
тупыль	t u p ɨ lʲ
тури	t u r i
тшак	t͡ʃ ɑ k
тшыг	t͡ʃ ɨ ɡ
тшӧг	t͡ʃ ə ɡ
ты	t ɨ
