ᤀ	ɔ
ᤀᤠᤀᤡᤴ	a i n
ᤀᤠᤀᤡᤴᤋᤠᤴᤍᤡᤰ	a i n t a n d i k
ᤀᤠᤂᤧᤴ	a kʰ ɛ n
ᤀᤠᤏᤡ	a n i
ᤀᤠᤑᤠᤗᤣ	a pʰ a l e
ᤀᤠᤱᤃᤠ	a ŋ ɡ a
ᤀᤠᤳᤋᤡᤴ	a t t i n
ᤀᤠᤴᤇᤡ	a n t͡ɕʰ i
ᤀᤠᤶᤒᤡ	a m b i
ᤀᤠᤸᤗᤠᤣ	a l l o
ᤀᤡᤰᤗᤣᤰ	i k l e k
ᤀᤡᤱᤄᤱ	i ŋ ɡʱ ɔ ŋ
ᤀᤡᤶᤔᤠ	i m m a
ᤀᤧᤄᤠᤱ	ɛ ɡʱ a ŋ
ᤁ	k ɔ
ᤁᤴ	k ɔ n
ᤁᤴᤇᤡ	k ɔ n t͡ɕʰ i
ᤁᤴᤏᤠ	k ɔ n n a
ᤁᤴᤜᤠ	k ɔ n ɦ a
ᤂ	kʰ ɔ
ᤂᤠᤍᤠᤶᤔᤠ	kʰ a d a m m a
ᤃ	ɡ ɔ
ᤄ	ɡʱ ɔ
ᤅ	ŋ ɔ
ᤅᤠᤛᤡ	ŋ a s i
ᤆ	t͡ɕ ɔ
ᤆᤠᤜᤠᤒᤠ	t͡ɕ a ɦ a b a
ᤆᤢᤰᤛᤠ	t͡ɕ u k s a
ᤆᤣᤛᤢᤱ	t͡ɕ e s u ŋ
ᤆᤫᤠ	t͡ɕ w a
ᤆᤫᤠ᤹ᤸ	t͡ɕ w aˀ l
ᤇ	t͡ɕʰ ɔ
ᤈ	d ʑ ɔ
ᤉ	d ʑʱ ɔ
ᤊ	ɲ ɔ
ᤋ	t ɔ
ᤋᤖᤣᤒᤠ	t ɔ r e b a
ᤋᤖᤣᤔᤠ	t ɔ r e m a
ᤋᤠᤑᤧᤶᤒᤠ	t a pʰ ɛ m b a
ᤋᤠᤴᤍᤡ	t a n d i
ᤋᤠᤴᤍᤡᤰ	t a n d i k
ᤌ	tʰ ɔ
ᤌᤠᤣ	tʰ o
ᤌᤠᤱᤒᤣᤴ	tʰ a ŋ b e n
ᤌᤡᤒᤠᤣᤱ	tʰ i b o ŋ
ᤌᤡᤰ	tʰ i k
ᤌᤡᤰᤛᤡᤃᤣᤰ	tʰ i k s i ɡ e k
ᤍ	d ɔ
ᤎ	dʱ ɔ
ᤏ	n ɔ
ᤏᤠᤁᤢᤛᤱ	n a k u s ɔ ŋ
ᤏᤠᤶᤎᤡᤱᤃᤥ	n a m dʱ i ŋ ɡ o
ᤏᤡᤱᤄᤢᤶ	n i ŋ ɡʱ u m
ᤏᤢ	n u
ᤏᤢᤒᤠ	n u b a
ᤏᤢᤔᤠ	n u m a
ᤏᤢᤛᤡ	n u s i
ᤏᤧᤳᤇᤡ	n ɛ t t͡ɕʰ i
ᤐ	p ɔ
ᤐᤠᤍᤠᤱᤒᤠ	p a d a ŋ b a
ᤑ	pʰ ɔ
ᤑᤠᤱᤛᤡ	pʰ a ŋ s i
ᤑᤢᤱ	pʰ u ŋ
ᤑᤧᤍᤠᤱᤔᤠ	pʰ ɛ d a ŋ m a
ᤒ	b ɔ
ᤓ	bʱ ɔ
ᤔ	m ɔ
ᤔᤠᤱ	m a ŋ
ᤔᤡ	m i
ᤔᤡᤰ	m i k
ᤔᤢᤰᤁᤢᤶᤒᤠ	m u k k u m b a
ᤔᤧᤴᤇᤢᤔᤠ	m ɛ n t͡ɕʰ u m a
ᤔᤧᤴᤇᤩᤠ	m ɛ n t͡ɕʰ j a
ᤔᤧᤶᤒᤣ	m ɛ m b e
ᤕ	j ɔ
ᤕᤠᤣ	j o
ᤕᤠᤶᤒᤡᤇᤠ	j a m b i t͡ɕʰ a
ᤕᤣ᤺ᤰᤕᤠ	j eː k j a
ᤕᤧᤳᤇᤡ	j ɛ t t͡ɕʰ i
ᤕᤶᤒᤠ	j ɔ m b a
ᤖ	r ɔ
ᤗ	l ɔ
ᤗᤠᤱ	l a ŋ
ᤗᤡᤛᤡ	l i s i
ᤗᤣᤵᤔᤡ	l e p m i
ᤘ	w ɔ
ᤙ	ʃ ɔ
ᤚ	s ɔ
ᤛ	s ɔ
ᤛᤠᤖᤡᤰ	s a r i k
ᤛᤠᤵᤔᤢᤴᤎᤢᤶ	s a p m u n dʱ u m
ᤛᤢᤶᤛᤡ	s u m s i
ᤛᤧᤰᤂᤠᤒᤡ	s ɛ k kʰ a b i
ᤜ	ɦ ɔ
ᤜᤠᤖᤠ	ɦ a r a
ᤜᤡᤶ	ɦ i m
ᤜᤢᤏᤡ	ɦ u n i
ᤜᤢᤏᤣ	ɦ u n e
ᤜᤢᤴᤇᤡ	ɦ u n t͡ɕʰ i
ᤜᤥᤵ	ɦ o p
ᤜᤧᤏᤡ	ɦ ɛ n i
ᤜᤧᤏᤣ	ɦ ɛ n e
ᤜᤧᤰᤁᤣᤀᤠᤱ	ɦ ɛ k k e a ŋ
ᤜᤧᤳᤋᤠᤣ	ɦ ɛ t t o
ᤜᤧᤴ	ɦ ɛ n
ᤜᤧᤴᤇᤡ	ɦ ɛ n t͡ɕʰ i
ᤜᤧᤴᤜᤠ	ɦ ɛ n ɦ a
