က	k a ʔ
ကထိုန်	k a tʰ a ɪː n
ကဒါတ်	k a d ɑ t
ကရေင်	k ə r e a ŋ
ကရေင်	k a r e a ŋ
ကလေၚ်	k ə l ɪ ə ŋ
ကလေၚ်	k ə l i ə ŋ
ကလေၚ်	ʔ ə l i ə ŋ
ကလေၚ်	ʔ ə l i ə ŋ
ကလေၚ်	k a l e a ŋ
ကဝဲ	k a ʔ w ɔ a
ကဝ်ဖှဳ	k ɑ w f ɪ
ကသပ်	k ə s ɔ p
ကသပ်	k a ʔ s ɔ p
ကာလယဲ	k a l a ʔ j ò a
ကိတ်	k i t
ကိုတ်	k ɒ t
ကိုပ်ကၠာ	k ɔː p k͡l aː
ကုန်	k u n
ကောန်	k o n
ကောန်	k oː n
ကောန်ၚာ်	k o n ŋ a̤ i k
ကောန်ၚာ်	k o n ɲ a̤ i k
ကောန်ၚာ်	k oː n ŋ a̤ː c
ကောန်ၚာ်တြုံ	k o n ŋ a̤ i k k r a o h
ကောန်ၚာ်တြုံ	k o n ɲ a̤ i k k r a o h
ကောန်ၚာ်တြုံ	k oː n ŋ a̤ː c t r u h
ကောန်ၚာ်တြုံ	k oː n ŋ a̤ː c t r a o h
ကောန်ၚာ်ဗြဴ	k o n
ကောန်ၚာ်ဗြဴ	ŋ a̤ i k
ကောန်ၚာ်ဗြဴ	p r ɛ̀ a
ကောန်စိုတ်	k oː n c ɔ t
ကောန်စိုတ်	k o n c ɒ t
ကောန်စိုတ်	k o n c ɑ t
ကောန်တြုံ	k o n k r a o h
ကောန်တြုံ	k oː n t r u h
ကဴ	k a o
ကံ	k ɔ ʔ
က္ဍိုပ်	ɗ ɒ p
က္ဍိုပ်	d ɒ p
က္ဍိုပ်	d ɑ p
က္ဍိုပ်	k a d aː p
က္ဍိုပ်	d aː p
က္တောဝ်	k ə t o
က္တောဝ်	k a t oː
ကၞိ	k a n ɔ e ʔ
ကၞိ	n ɔ e ʔ
ကၞိ	n ɒ i ʔ
ကၞိ	n ɑ e ʔ
ကၞိ	k ə n ɔ e ʔ
ကၞိ	k a n ɔ e ʔ
ကၞိ	k a ʔ n ɒ i ʔ
ကၞိပ်	k ə n ɛ p
ကၞိပ်	k a n i p
ကၞု	k ɑ n ɑ u
ကၞုဲ	k a n u i
ကၞုဲ	n ɔ e
ကၟက်	m ɛ k
ကၟက်	k a m a k
ကၟာဲ	m a i
ကၟာဲ	k a m aː i
ကၟု	k ə m a o ʔ
ကၟု	k a m a o ʔ
ကၟု	m a o ʔ
ကျာ	c a
ကျာ	k j a
ကျာ	k j a
ကျာ	k j aː
ကျာန်ထၜေါအ်ရဳ	t͡ɕ a n tʰ a b u r i
ကျာံ	c a m
ကျာံ	k j a m
ကျာ်	c a i k
ကျာ်	c j a i c
ကျာ်	c a ə c
ကျာ်	k j aː c
ကျာ်	c j a i c
ကျာ်ခမဳ	c a i k kʰ a ʔ m ɒ ə
ကြပ်	k a ʔ r ɔ p
ကြပ်	k r ɔ p
ကြပ်	k r ɔ p
ကြုက်	k r ɜ k
ကြုက်	k r ə k
ကြုတ်	k r ɔ t
ကြုတ်	k r u t
ကြုတ်	k r ɔ t
ကြုတ်	k r u t
ကြုတ်	k r ɔ t
ကြုတ်	k r u t
ကြုတ်	k ə r ɔ t
ကြုတ်	k r u t
ကြေဲ	k r e a
ကၠ	k l a ʔ
ကၠန်	k l ɔ n
ကၠန်	k l ɔː n
ကၠိက်	k l o i k
ကၠိက်	k l ə c
ကၠိုဟ်	k l ɒ h
ကၠီု	k l ɒ m
ကၠီု	k l aː m
ကၠုၚ်	k l ɤ ŋ
ကၠုၚ်	k l ɜ ŋ
ကၠုၚ်	k l ə ŋ
ကၠေၚ်	k l ɑ ɲ
ကၠဵု	k l ɜ
ကၠဵု	k l ə
ကၠဵု	k l ɔː
ကၠံ	k l ɔ ʔ
ကၠံ	k l ɔ m
ကွာင်	k w a ɲ
ကွာန်	k w a n
ကွာဲ	k w a i
ကွာဲ	k w aː i
ကွာ်	k w a c
ကွေန်	k ə w e n
ကွး	k w a h
က္သေဲ	k ə s e a
က္သေဲ	k a s e a
က္ၜၚ်	b ɛ ŋ
က္ၜၚ်	b a ŋ
က္ၜၚ်	k a b a ŋ
က္ၜင်ကျာ	b ɛ ŋ c a
က္ၜင်ကျာ	b a ŋ c a
က္ၜင်ကျာ	k a b a ŋ k j aː
ခ	kʰ a ʔ
ခမဳ	kʰ a ʔ m ɒ ə
ခမှာဲ	h ə m a i
ခမှာဲ	kʰ a ʔ m a i
ခမှာဲ	h a m a e
ခရိုင်	kʰ a ʔ k à ŋ
ခိုဟ်	kʰ ɒ h
ခိုဟ်	k h ɑ h
ခေတ်	kʰ e t
