Aapel	oː b̥ l̩
Aast	oː s t
Basgitari	b̥ a s k ə tʰ a r ə
Biin	b̥ iː n
Blör	b̥ l œ ɐ̯
Bok	b̥ ɔ k
Brain	b̥ r a ɪ̯ n
Bruar	b̥ r ɔː ɐ̯
Bröch	b̥ r œ ç
Bröđer	b̥ r œ l ɐ
Bröđer	b̥ r œ l ɐ r
Bröđer	b̥ r œ r ɐ
Bröđer	b̥ r œ r ɐ r
Buat	b̥ ɔ ɐ̯ t
Buaten	b̥ ɔ ɐ̯ d̥ n̩
Buusem	b̥ uː z ə m
Böter	b̥ œ d̥ ɐ
Bēr	b̥ ɛː ɐ̯
Daagen	d̥ oː x n̩
Dai	d̥ a ɪ̯
Dreeng	d̥ r eː ŋ
Duar	d̥ ɔː ɐ̯
Duiwel	d̥ ʊ ɪ̯ f l̩
Dütsklön	d̥ ʏ t͡s k l œ n
Düüwel	d̥ yː f l̩
En	ɛ n
Faamen	f oː m n̩
Faamner	f oː m n ɐ
Faađer	f oː l ɐ
Faađer	f oː r ɐ
Febriwaari	f ɛ b̥ r ə v oː r ə
Fet	f ɛ t
Finger	f ɪ ŋ ɐ
Flāg	f l aː x
Forhual	f ɐ h ɔ ɐ̯ l
Fođer	f ɔ l ɐ
Fođer	f ɔ l ɐ r
Fođer	f ɔ r ɐ
Fođer	f ɔ r ɐ r
Fođermuun	f ɔ l ɐ m uː n
Fođermuun	f ɔ l ɐ r m uː n
Fođermuun	f ɔ r ɐ m uː n
Fođermuun	f ɔ r ɐ r m uː n
Fraag	f r oː x
Freer	f r eː ɐ̯
Frinj	f r ɪ nʲ
Gaawel	ɡ̊ oː f l̩
Gooki	ɡ̊ oː ɡ̊ ə
Guus	ɡ̊ uː s
Gögeler	ɡ̊ œ ç ə l ɐ
Gös	ɡ̊ œ s
Gērs	ɡ̊ ɛː ɐ̯ s
Hail	h a ɪ̯ l
Haur	h a ʊ̯ ɐ
Hunger	h ʊ ŋ ɐ
Hün	h ʏ n
Hüs	h ʏ s
Hüüsing	h yː z ɪ ŋ
Hārefst	h aː r ə f s t
Jaar	j oː ɐ̯
Janiwaari	j a n ə v oː r ə
Jerem	j ɛ r ɐ m
Jungen	j ʊ ŋ n̩
Jöl	j œ l
Kiarl	kʰ ɛː ɐ̯ l
Kin	kʰ ɪ n
Klawiir	kʰ l a v iː ɐ̯
Knif	kʰ n ɪ f
Kniiwer	kʰ n iː f ɐ
Kok	kʰ ɔ k
Kualev	kʰ ɔ ɐ̯ l ɐ f
Kööken	kʰ øː ɡ̊ ŋ̍
Kü	kʰ ʏ
Leefdi	l eː f t ə
Leewent	l eː f n̩ t
Man	m a n
Mooter	m oː d̥ ɐ
