Aal	ɔː l
Aant	aː n t
Aant	ɔː n t
achten	a x t n̩
achten	a x t ə n
achtergahn	ɑ x t ə ɡ ɔː n
achtergahn	ɑ x t ə ɡ ɒː n
Adder	ɑ d ɐ
adjüs	a d ʒ ʏ s
Ai	a ɪ
aisen	a ɪ̯ z ə n
Aisen	a ɪ̯ z ə n
aisig	a ɪ s l ɪ ç
aislik	a ɪ s l ɪ k
aiwisk	a ɪ ʋ ɪ s̺ k
aiwisk	a ɪ w ɪ s̺ k
alleen	ɑ l eː n
an	a n
an	aː n
an	ɒː n
an	ɔː n
Aven	ɔː v ə n
Avend	ɔː v ə n t
avends	ɔː v ə n t s
Backelse	b a k e l z ə
balstürig	b a l s t yː r ɪ ç
Barg	b ɛ r x
Bedd	b ɛ t
beden	b eː d ə n
Been	b ɛ ɪ̯ n
Beet	b eː t
befehlen	b ə f eː l ə n
beför	b e f œ r
begraven	b ə ɡ r aː v ə n
Bein	b ɛ ɪ̯ n
Bein	b a ɪ̯ n
Ben	b ɛ ɪ̯ n
Bessem	b ɛ s ə m
bi	b iː
bieten	b iː t ə n
binnen	b ɪ n n ə n
blaag	b l ɔː x
blaag	b l ɒː x
blag	b l ɔː x
blag	b l ɒː x
Blatt	b l a t
Bloom	b l o ʊ m
breken	b r eː k ə n
bringen	b r ɪ ŋ ə n
bringen	b r ɪˑ ŋ ŋ̩
broedegom	b r uː d ə ɡ ɔ m
broedegom	b r u d ə ɡ ɔ m
brun	b ɾ uː n
Brun	b ɾ uː n
bruun	b ɾ uː n
Bruun	b ɾ uː n
buten	b uː t ə n
Bärg	b ɛ r ɣ
daags	d ɔː x s
daagsöver	d ɔː x s øː v ə r
dat	d a t
dat	d ɑ t
de	d eː
de	d e ɪ̯
de	d ɛ ɪ̯
Deev	d eː f
dei	d ɛ ɪ̯
dei	d a ɪ̯
Deif	d a ɪ̯ f
Deif	d ɛ ɪ̯ f
Dird	d iː ɐ̯ t
Dirt	d iː ɐ̯ t
doof	d oː f
doon	d oː n
dröven	d r øː v ŋ̩
dröven	d r øː v ə n
dumm	d ʊ m
Duorp	d u̯ ɔ ɐ̯ p
Duuv	d uː v
Duuv	d uː f
dwingen	d v ɪ ŋ ə n
döpen	d øː p ŋ̩
döpen	d øː p ə n
dören	d øː r ŋ̩
dören	d øː r ə n
dörven	d œ r v ə n
dörven	d œ r v n̩
Döör	d øː ɐ̯
Döör	d œː ɐ̯
düppen	d ʏ p ə n
düster	d y s t ə
düster	d y s t æ
Düörpm	d y̯ œ r p ə n
düüster	d y s t ə
düüster	d y s t æ
Eanske	ɛː n s k ə
een	eː n
ehr	eː r
ehr	eː ə
ehr	eː æ
ehr	ɛː r
ehr	ɛː ə
ehr	ɛː æ
ehr	eː r
ehr	eː ə
ehrder	eː r d ə r
ehren	eː r ə n
ein	ɛ ɪ̯ n
ein	a ɪ̯ n
eine	ɛ ɪ̯ n ə
eine	a ɪ̯ n ə
en	ɛ ɪ̯ n
en	eː n
en	æ ɪ̯ n
en	eː ɪ̯ n
ene	ɛ ɪ̯ n ə
Engelsch	ɛ ŋ ə l ʃ
eten	eː t ə n
fallen	f a lː n̩
fallen	f a lː ə n
Farwe	f a r w ə
Farwe	f aː v ə
faten	f ɒː t ə n
faten	f ɒː t n̩
faten	f ɔː t n̩
fechten	f ɛ x t n̩
Fent	f ɛ n t
Fick	f ɪ k
Foot	f ɔ ʊ̯ t
Foot	f ɛ ʊ̯ t
Forell	f ɔ ɾ ɛ l
Färöer	f ɛː r øː ə r
Färöer	f ɛː r øː r
Färöer	f ɛ r øː ə r
Färöer	f ɛ r øː r
för	f œ͡ɐ
