ah	ʔ āː ʔ
ahpi	ʔ āː ʔ p í
ahsa	ʔ āː ʔ s ʌ́
ahsi	ʔ āː ʔ s í
ahtui	ʔ āː ʔ t ūː i̯
ai	ʔ ʌ́ i̯
akal	ʔ ʌ̄ k ʌ̄ l
akap	ʔ ʌ̄ k ǎː p
akop	ʔ ʌ̄ k ò p
ama	ʔ ʌ̄ m ʌ̀
ane	ʔ ʌ̄ n ěː
ankam	ʔ ʌ́ n k ʌ̀ m
ankamthau	ʔ ʌ́ n k ʌ̀ m tʰ âː u̯
asa	ʔ ʌ̄ s ʌ̀
awl	ʔ ɔ́ l
awm	ʔ ɔ̄ː m
awm	ʔ ɔ̄ m
awp	ʔ ɔ́ p
ba	b āː
ba	b āː
bah	b āː ʔ
ban	b āː n
bang	b ʌ̀ ŋ
bang	b ǎː ŋ
bawl	b ɔ̄ l
bawng	b ɔ̄ ŋ
bawng	b ɔ́ ŋ
bawngnawi	b ɔ̄ ŋ n ɔ́ i̯
bawngnou	b ɔ̄ ŋ n ó u̯
bawngsa	b ɔ̄ ŋ s ǎː
bawngtal	b ɔ̄ ŋ t ʌ̄ l
bawngtang	b ɔ̄ ŋ t ʌ́ ŋ
be	b ěː
bil	b í l
bom	b ó m
bu	b ù
buh	b ǔː ʔ
buh	b ǔː ʔ
buh	b ū ʔ
buong	b w ō ŋ
buongsing	b w ō ŋ s í ŋ
chi	t͡ʃ í
chi	t͡ʃ ì
chi	t͡ʃ ì
chil	t͡ʃ ī l
ching	t͡ʃ ī ŋ
chivom	t͡ʃ ī v ō m
dah	d āː ʔ
dai	d āː i̯
dai	d āː i̯
dawn	d ɔ̄ n
dawn	d ɔ̀ n
dawn	d ɔ́ n
dawn	d ɔ̀ n
dong	d ò ŋ
eh	ʔ ēː ʔ
eh	ʔ ē ʔ
ei	ʔ é i̯
ei	ʔ é i̯
en	ʔ é n
gal	ɡ āː l
galkap	ɡ āː l k ǎː p
galmi	ɡ ʌ̄ l m í
gamla	ɡ ʌ̄ m l ʌ́
ganing	ɡ ʌ̄ n ʔ ī ŋ
gawng	ɡ ɔ̄ ŋ
gen	ɡ ěː n
gil	ɡ ī l
gilkiel	ɡ ī l k ī j è l
gilkiel	ɡ ī l k ī j ē l
gilpi	ɡ ī l p í
gu	ɡ ù
guh	ɡ ù ʔ
guhna	ɡ ù ʔ n ʌ̄
gul	ɡ ūː l
guo	ɡ w ōː
ha	h āː
hai	h āː i̯
hai	h ǎː i̯
hai	h ʌ̀ i̯
hai	h âː i̯
ham	h ǎː m
ham	h ǎː m
ham	h ʌ̀ m
ham	h ʌ́ m
hamtheilou	h ǎː m tʰ ē i̯ l ò u̯
han	h âː n
hanmun	h âː n m ù n
hanmuol	h âː n m w ō l
hi	h ī
hi	h ī
hi	h ì
hing	h ī ŋ
hing	h í ŋ
hitang	h ī t āː ŋ
hoilou	h ò i̯ l ò u̯
hong	h ō ŋ
hu	h ù
hu	h ù
huoh	h w ó ʔ
huon	h w ó n
ih	ʔ īː ʔ
ih	ʔ ī ʔ
in	ʔ í n
ing	ʔ îː ŋ
ing	ʔ ì ŋ
inmai	ʔ í n m āː i̯
insa	ʔ í n s ʌ́
insung	ʔ í n s ū ŋ
intung	ʔ í n t ú ŋ
inva	ʔ í n v ʌ̄
ip	ʔ ì p
kai	k āː i̯
kai	k âː i̯
kal	k ʌ̄ l
kal	k āː l
kal	k ʌ́ l
kal	k ʌ̄ l
kam	k ʌ̄ m
kangva	k âː ŋ v ǎː
kangvasa	k âː ŋ v ǎː s ǎː
kap	k ǎː p
kawlbuthei	k ɔ̄ l b ū tʰ é i̯
kawlthei	k ɔ̄ l tʰ ē i̯
kawmla	k ɔ̄ m l ʌ̄
kei	k é i̯
kel	k êː l
keng	k ěː ŋ
keng	k ē ŋ
kengkoh	k ěː ŋ k ō ʔ
kha	kʰ ǎː
khat	kʰ ʌ̀ t
khatna	kʰ ʌ̀ t n ʌ̄
khau	kʰ āː u̯
khauhla	kʰ âː u̯ ɬ ʌ̀
khauphe	kʰ âː u̯ pʰ ē
khel	kʰ é l
khel	kʰ è l
khel	kʰ ēː l
khi	kʰ īː
khi	kʰ ì
khup	kʰ ǔː p
khutchin	kʰ ù t t͡ʃ í n
khutphang	kʰ ù t pʰ āː ŋ
khutpi	kʰ ù t p í
ki	k í
ki	k í
kiginni	k ī ɡ ì n n ī
kil	k ì l
kimawl	k ī m ɔ̄ l
kimkhat	k í m kʰ ʌ̀ t
kiu	k ī j ù
kot	k ò t
kou	k ó u̯
kuo	k w ó
ma	m ʌ̀
ne	n ěː
ne	n êː
pei	p é i̯
pei	p ē i̯
thau	tʰ ʌ̀ u̯
thau	tʰ âː u̯
thau	tʰ āː u̯
thau	tʰ ʌ̀ u̯
theilou	tʰ è i̯ l ò u̯
vatou	v ʌ̄ t ó u̯
vohsa	v ò ʔ s ǎː
vohsa	v ò ʔ s ʌ̀
za	z ǎː
za	z âː
zakhat	z ʌ̄ kʰ ʌ̀ t
zang	z ʌ́ ŋ
zawng	z ɔ̄ ŋ
zi	z īː
zing	z īː ŋ
zumhuoi	z ù m h w ō i̯
zun	z ù n
