abad	a b a d
adabiyot	a d a b i j ɒ t
adash	a d a ʃ
adashmoq	a d a ʃ m ɔ q
adolat	a d ɒ l a t
adyol	æ d j ɒ ɫ
Afrika	a f r i k a
Afrika	a f r i q ɒ
Afgʻoniston	a f ʁ ɒ n i s t ɒ n
agar	a ɡ a r
aka	a k a
amirlik	a m i r l i k
araq	a r a q
araqxoʻr	a r a q χ o r
aroq	a r ɒ q
arslon	a r s l ɒ n
aso	æ s ɒ
asosan	a s ɒ s a n
axir	a χ i r
ayniqsa	a j n i q s a
achimsiq	a t ʃ i m s i q
badaviy	b a d a ʋ i j
bahor	b a h ɒ r
baqlajon	b a q l a d ʒ ɒ n
bek	b e k
Belarus	b e l a r u s
bermoq	b e ɾ m ɒ q
besh	b e ʃ
bilan	b i l a n
bilmoq	b ɪ l m ɒ q
bir	b i r
bitta	b i t t a
bizga	b i z ɡ a
bola	b ɒ l a
bormoq	b ɒ r m ɒ q
botil	b ɒ t i l
bogʻ	b ɒ ʁ
bosh	b ɒ ʃ
boshqird	b ɒ ʃ q i r d
bu	b u
bugun	b u ɡ u n
bulut	b u l u t
butun	b u t u n
buyuk	b u j u k
boʻhton	b o h t ɒ n
boʻlmoq	b o l m ɒ q
boʻlmoq	b o l m ɒ q
boʻri	b o r i
darvoqe	d a r ʋ ɒ q e
darvoza	d a r ʋ ɒ z a
davlat	d a ʋ l a t
demoq	d e m ɒ q
din	d i n
dunyo	d u n j ɒ
dunyolar	d u n j ɒ l a r
doʻkon	d o k ɒ n
ellik	e l l i k
ellik	æ l l i
emas	e m a s
Eron	e r ɒ n
ertaga	e r t a ɡ a
eshak	e ʃ a k
eng	e ŋ
Fargʻona	f a r ʁ ɒ n a
Fiji	ɸ i d͡ʒ i
fil	f i l
gapirmoq	ɡ a p i r m ɒ q
gul	ɡ ʊ l
gulmohi	ɡ u l m ɒ h i
guruh	ɡ u r u h
hassa	h æ s s æ
hashamat	h a ʃ a m a t
hukumat	h u k u m a t
humo	h u m ɒ
hur	h u r
hurmat	h u r m a t
ikki	i k k i
inqilob	i n q i l ɒ b
inson	i n s ɒ n
ipak	i p a k
iqror	i q r ɒ r
iqtisodiy	i q t i s ɒ d i j
irq	i ɾ q
irqiy	i ɾ q i j
ism	ʔ ɪ s m
izhor	i z h ɒ r
izoh	i z ɒ h
