־טום	t ʊ m
־ניש	n ɪ ʃ
אַ	a
אַזיע	a z j ə
אַנדערע	a n d ə r ə
אַפּליקאַנט	a p l ɪ k a n t
אָבזשאָרע	ɔ b ʒ ɔ ʀ ɜ
אָוונטברויט	ɔ v n̩ t b r e ɪ̯ t
אָוונטברויט	ɔ v n̩ t b r ɔ u t
אָוונטברויט	ɔ v n̩ t b r ɔ ɪ̯ t
אבֿן־טובֿ	ɛ ɪ̯ v n̩ t ɔ f
אויבן	ɔ ɪ̯ b m̩
אויגן	ɔ ɪ̯ ɡ ŋ̩
אויס־	o ʊ̯ s
אויס־	oː s
אויס־	ɔ ɪ̯ s
אויער	e ɪ v ə ʁ
אויער	e ɪ ə ʁ
אויער	ɛ v ə ʁ
אויער	ɛ ʊ̯ ə ʁ
אויפֿוועקן	a v v ɛ k ŋ̩
אויפֿוועקן	ɔ v v ɛ k ŋ̩
אויקען	ɔ ɪ̯ k ŋ̩
אומעטום	ɨ m ə t ɨ m
אומעטום	ɪ m ə t ɪ m
אומעטום	ʊ m ə t ʊ m
און	ɨ n
און	ɪ n
און	ʊ n
אונדז	ɨ n d z
אונדז	ɪ n d z
אונדז	ʊ n d z
איבן	i b m̩
איבן	iː b m̩
איבן	ɪ b m̩
איבער	i b ə r
איבער	j i b ə r
איבעראַכטאָג	ɪ b ə ʁ a χ t ʊ ɡ
איבערלעבן	iː b ɜ ɾ ɫ e ɪ̯ b m̩
איבערלעבן	ɪ b ɜ ʁ ɫ ɛ b m̩
איז	ɪ
אימדאַר	ɪ m d a ʁ
אין	ɪ n
אײַל	a ɪ̯ ɫ
אײַל	a ɫ
אײַל	aː ɫ
אײַלן	a ɪ̯ ɫ n̩
אײַלן	a ɫ n̩
אײַלן	aː ɫ n̩
אײַנברען	aː n b r ə n
אײַנברען	aː n b r ɛ n
אײַנשטומען	a n ʃ t ɨ m ə n
אײַנשטומען	a ɪ̯ n ʃ t ʊ m ə n
אײַנשטומען	aː n ʃ t ɪ m ə n
באַזונדער	b a z u n d ɛ r
באַר	b a ʁ
באָבע־מעשׂה	b ʊ b ə m aː s ə
בודקע	b ʊ t k ə
בויך	b ɔ ɪ χ
בוים	b e ɪ̯ m
בוים	b ɔ ɪ̯ m
בוך	b i χ
בוך	b iː χ
בוך	b ʊ χ
ביליאָן	b ɪ ʎ j ɔ n
בעט	b e ɪ̯ t
בעט	b i t
בעט	b ɛ t
בעטן	b e ɪ̯ t n̩
בעטן	b i t n̩
בעטן	b ɛ t n̩
בער	b ɛ ɪ̯ ʁ
בער	b ɛ ʁ
בראשיתדיק	b ʁ a ɪ̯ ʃ ə z d ɪ k
בראשיתדיק	b ʁ e ɪ̯ ʃ ə z d ɪ k
בראשיתדיק	b ʁ ɛ ɪ̯ ʃ ə z d ɨ k
בראשיתדיק	b ʁ ɛ ɪ̯ ʃ ə z d ɪ k
ברויט	b r e ɪ̯ t
ברויט	b r ɔ u t
ברויט	b r ɔ ɪ̯ t
בריוו	b ʁ i v
בריוו	b ʁ iː v
בריוו	b ʁ ɪ v
בת־יענה	b a s j a n ə
בת־יענה	b a s j a ɪ̯ n ə
בת־יענה	b a s j aː n ə
גאַנדז	ɡ a n d͡z
גאַנדז	ɡ a n t͡s
גאַנדז	ɡ ɔ n d͡z
גאונים	ɡ ɔ ɪ n ə m
גאונים	ɡ ɛ ɪ n ə m
גוט	ɡ ɨ t
גוט	ɡ ɪ t
גוט	ɡ ʊ t
גוטע	ɡ ʊ t ə
גוף	ɡ ɪ f
גוף	ɡ ʊ f
גנבֿה	ɡ n ɛ ɪ v ə
גנבֿיש	ɡ a n ɛ ɪ v ɪ ʃ
געבן	ɡ e ɪ̯ b m̩
געבן	ɡ ɛ b m̩
געזונט	ɡ ə z ɪ n t
געזונט	ɡ ə z ʊ n t
געזעען	ɡ e z eː n
געפֿרעגט	ɡ ə f ʁ ɛ k t
געפֿרעגט	ɡ ə f ʁ ɛ ɪ̯ k t
גערויש	ɡ ə ʁ ɔ ɪ ʃ
גערויש	ɡ ə ʁ ɔː ʃ
גערעדט	ɡ ə r ɛ t
גערעדט	ɡ ə ʁ ɛ t
גראָז	ɡ ʁ uː s
גראָז	ɡ ʁ ɔ z
גרויס	ɡ r e ɪ̯ s
גרויס	ɡ r ɔ u s
גריבענעס	ɡ ʁ ɪ b ə n ə s
גרענעץ	ɡ ʀ ɛ n ə t͡s
גרײַז	ɡ ʁ a z
גרײַז	ɡ ʁ a ɪ z
