aa	aː
aama	aː m a
aare	aː ɾ ɛ
aarede	aː ɾ ɛ d ɛ
abaikɨte	a b a i̯ k ɯ t ɛ
afai	a ɸ a i̯
aiyɨ	a i̯ j ɯ
aizɨde	a i̯ θ ɯ d ɛ
akaido	a k a i̯ d ɔ
akatate	a k a t a t ɛ
ame	a m ɛ
amena	a m ɛ n a
ana	a n a
anafe	a n a ɸ ɛ
anafeko	a n a ɸ ɛ k ɔ
ananeko	a n a n ɛ k ɔ
arɨ	a ɾ ɯ
atava	a t a β a
aɨ	a ɯ̯
aɨfɨ	a ɯ̯ ɸ ɯ
aɨkɨ	a ɯ̯ k ɯ
baaɨde	b aː ɯ̯ d ɛ
bainaño	b a i̯ n a ɲ ɔ
bainino	b a i̯ n i n ɔ
baite	b a i̯ t ɛ
bakɨta	b a k ɯ t a
beya	b ɛ d͡ʒ a
beyado	b ɛ d͡ʒ a d ɔ
bite	b i t ɛ
biya	b i d͡ʒ a
biyama	b i d͡ʒ a m a
boode	b ɔː d ɛ
bue	b u w ɛ
bumɨe	b u m ɯ ɰ ɛ
burue	b u ɾ u w ɛ
buu	b uː
buua	b uː w a
buude	b uː d ɛ
da	d a
dae	d a ɛ
daje	d a h ɛ
dakaño	d a k a ɲ ɔ
dayu	d a d͡ʒ u
dobe	d ɔ b ɛ
dobede	d ɔ b ɛ d ɛ
dobeño	d ɔ b ɛ ɲ ɔ
doboyi	d ɔ b ɔ d͡ʒ i
dotaakade	d ɔ t aː k a d ɛ
dotade	d ɔ t a d ɛ
duiko	d u i̯ k ɔ
dute	d u t ɛ
dutɨmɨe	d u t ɯ m ɯ ɰ ɛ
dɨga	d ɯ ɡ a
dɨo	d ɯ ɰ ɔ
dɨokaɨ	d ɯ ɰ ɔ k a ɯ̯
dɨona	d ɯ ɰ ɔ n a
eede	ɛː d ɛ
efa	ɛ ɸ a
efuaɨ	ɛ ɸ u w a ɯ̯
egaɨ	ɛ ɡ a ɯ̯
ei	ɛ i̯
eikaño	ɛ i̯ k a ɲ ɔ
eimo	ɛ i̯ m ɔ
eiño	ɛ i̯ ɲ ɔ
ekade	ɛ k a d ɛ
enaize	ɛ n a i̯ θ ɛ
enaizeño	ɛ n a i̯ θ ɛ ɲ ɔ
eo	ɛ ɔ
epejo	ɛ p ɛ h ɔ
epejo	ɛ p ɛ h ɔ
ere	ɛ ɾ ɛ
erezi	ɛ ɾ ɛ θ i
ereño	ɛ ɾ ɛ ɲ ɔ
eruaɨde	ɛ ɾ u w a ɯ̯ d ɛ
eto	ɛ t ɔ
etoño	ɛ t ɔ ɲ ɔ
evu	ɛ β u
evuño	ɛ β u ɲ ɔ
fakade	ɸ a k a d ɛ
fakai	ɸ a k a i̯
fakaina	ɸ a k a i̯ n a
fate	ɸ a t ɛ
faɨraɨ	ɸ a ɯ̯ ɾ a ɯ̯
faɨraɨma	ɸ a ɯ̯ ɾ a ɯ̯ m a
faɨte	ɸ a ɯ̯ t ɛ
fee	ɸ ɛː
feede	ɸ ɛː d ɛ
feeko	ɸ ɛː k ɔ
feekuize	ɸ ɛː k u i̯ θ ɛ
feeya	ɸ ɛː d͡ʒ a
feeɨ	ɸ ɛː ɯ
feko	ɸ ɛ k ɔ
fekoda	ɸ ɛ k ɔ d a
fekorai	ɸ ɛ k ɔ ɾ a i̯
fereaiño	ɸ ɛ ɾ ɛ a i̯ ɲ ɔ
ferejaiño	ɸ ɛ ɾ ɛ h a i̯ ɲ ɔ
fetode	ɸ ɛ t ɔ d ɛ
fetodɨno	ɸ ɛ t ɔ d ɯ n ɔ
fiodaite	ɸ i j ɔ d a i̯ t ɛ
fiodaiya	ɸ i j ɔ d a i̯ d͡ʒ a
foo	ɸ ɔː
fuirɨ	ɸ u i̯ ɾ ɯ
fuue	ɸ uː w ɛ
fɨdo	ɸ ɯ d ɔ
fɨdɨa	ɸ ɯ d ɯ ɰ a
fɨdɨde	ɸ ɯ d ɯ d ɛ
fɨmaide	ɸ ɯ m a i̯ d ɛ
fɨnoakade	ɸ ɯ n ɔ a k a d ɛ
fɨnode	ɸ ɯ n ɔ d ɛ
fɨnuaɨbide	ɸ ɯ n u w a ɯ̯ b i d ɛ
fɨvui	ɸ ɯ β u i̯
fɨɨide	ɸ ɯː ɰ i d ɛ
gare	ɡ a ɾ ɛ
gareda	ɡ a ɾ ɛ d a
garede	ɡ a ɾ ɛ d ɛ
guina	ɡ u i̯ n a
guira	ɡ u i̯ ɾ a
guiragɨ	ɡ u i̯ ɾ a ɡ ɯ
guite	ɡ u i̯ t ɛ
guiye	ɡ u i̯ d͡ʒ ɛ
i	i
iama	i j a m a
iaɨmaiaɨ	i j a ɯ̯ m a j a ɯ̯
idu	i d u
ie	i j ɛ
iemo	i j ɛ m ɔ
ikɨ	i k ɯ
ikɨkɨ	i k ɯ k ɯ
ikɨna	i k ɯ n a
iraɨ	i ɾ a ɯ̯
ite	i t ɛ
iya	i d͡ʒ a
iyaɨma	i d͡ʒ a ɯ̯ m a
izo	i θ ɔ
izoide	i θ ɔ i d ɛ
iɨfe	i j ɯ ɸ ɛ
jaa	h aː
jaaide	h aː i̯ d ɛ
jaanote	h aː n ɔ t ɛ
jae	h a ɛ
jai	h a i̯
jaie	h a i̯ j ɛ
